create_time,alert_name,description,severity
2021-09-23T23:32:31.237592Z,"RBA:  ATT&CK Tactic threshold exceeded (>=3) over previous 7 days for user=fyodor@froth.ly spanning 5 Risk Rules, 4 ATT&CK tactics, and 4 ATT&CK techniques",RBA:  ATT&CK tactic Threshold Exceeded for an object over the previous 7 days,High
2021-09-23T23:32:30.546755Z,Unusual Volume of Network Activity Detected on 52.219.28.46,"An unusual volume of network activity was detected. 52.219.28.46  has generated 9008485776.0 bytes of network traffic in the past day, which is anomalous",High
2021-09-23T23:32:19.887919Z,"RBA:  ATT&CK Tactic threshold exceeded (>=3) over previous 7 days for system=FYODOR-L.froth.ly spanning 2 Risk Rules, 2 ATT&CK tactics, and 2 ATT&CK techniques",RBA:  ATT&CK tactic Threshold Exceeded for an object over the previous 7 days,High
2021-09-23T23:24:29.955574Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Medium
2021-09-23T23:24:29.587373Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:29.545624Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:29.180228Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:29.069935Z,Malware,UEBA Threat: . A host on your network has been compromised and is attempting to communicate with a malicious domain or address.,High
2021-09-23T23:24:29.063365Z,Suspicious Behavior,"UEBA Threat: Detected anomaly patterns that might indicate the following suspicious behaviors: Unusual Activity, Infection, Beaconing, Suspicious Pattern. Detected a combination of anomalies that might represent high-risk activity to investigate further. The high-risk activity consists of **2 ** days with anomalies involving multiple entities that stand out when compared to other days with anomalies, are related to each other through common entities, and are relatively close to each other in time. Based on the anomalies observed, the potentially malicious behaviors involved are:** Unusual Activity, Infection, Beaconing, Suspicious Pattern**. The activity is classified as **Suspicious Behavior** because it is the only behavior observed.  The activity is higher risk because the following suspicious patterns were detected: ** Infection Contains Beaconing **. A suspicious pattern occurs when the anomalies happen in a specific order that matches known attack scenarios. Based on the number of days with anomalous activity, the main entities in this threat are: ${""value"": ""-4220079489628242457"", ""entityType"": ""Device""}, ${""value"": ""-121144067256527905"", ""entityType"": ""Device""}, ${""value"": ""-6518873000078800825"", ""entityType"": ""Device""}. The investigation of the threat should start from these entities.",Medium
2021-09-23T23:24:28.798728Z,Possible Data Exfiltration Attempt,UEBA Threat: . Possible Data Exfiltration Attempt,Critical
2021-09-23T23:24:28.586557Z,Suspicious Behavior,"UEBA Threat: Detected anomaly patterns that might indicate the following suspicious behaviors: Unusual Activity, Infection, Suspicious Pattern, Lateral Movement. Detected a combination of anomalies that might represent high-risk activity to investigate further. The high-risk activity consists of **1** day with anomalies involving multiple entities that stands out when compared to other days with anomalies. Based on the anomalies observed, the potentially malicious behaviors involved are:** Unusual Activity, Infection, Suspicious Pattern, Lateral Movement**. The activity is classified as **Suspicious Behavior** because observed a mix of behaviors that is hard to characterise.  The activity is higher risk because the following suspicious patterns were detected: ** Infection Contains Lateral Movement **. A suspicious pattern occurs when the anomalies happen in a specific order that matches known attack scenarios. Based on the number of days with anomalous activity, the main entities in this threat are: ${""value"": ""7302071430144130246"", ""entityType"": ""User""}. The investigation of the threat should start from these entities.",Low
2021-09-23T23:24:28.157406Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:27.995621Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:27.970293Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:27.651232Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Medium
2021-09-23T23:24:27.474489Z,Suspicious Behavior,"UEBA Threat: Detected anomaly patterns that might indicate the following suspicious behaviors: Unusual Activity, Infection, External Alarm. Detected a combination of anomalies that might represent high-risk activity to investigate further. The high-risk activity consists of **2 ** days with anomalies involving multiple entities that stand out when compared to other days with anomalies, are related to each other through common entities, and are relatively close to each other in time. Based on the anomalies observed, the potentially malicious behaviors involved are:** Unusual Activity, Infection, External Alarm**. The activity is classified as **Suspicious Behavior** because observed a mix of behaviors that is hard to characterise.  Based on the number of days with anomalous activity, the main entities in this threat are: ${""value"": ""-4757715922677445602"", ""entityType"": ""User""}. The investigation of the threat should start from these entities.",Low
2021-09-23T23:24:27.467979Z,Malware,UEBA Threat: . A host on your network has been compromised and is attempting to communicate with a malicious domain or address.,High
2021-09-23T23:24:27.406772Z,Possible Phishing Attack,UEBA Threat: . Possible DGA domain accepting traffic.,High
2021-09-23T23:24:27.192324Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:27.033480Z,Malware,UEBA Threat: . A host on your network has been compromised and is attempting to communicate with a malicious domain or address.,High
2021-09-23T23:24:26.883235Z,Possible Phishing Attack,UEBA Threat: . Possible DGA domain accepting traffic.,High
2021-09-23T23:24:26.610536Z,Malware Activity,UEBA Threat: There are signs of malware activity. Activity could indicate malware infection,Low
2021-09-23T23:24:26.495842Z,Windows Process Execution from Temp Directory,UEBA Threat: . Windows Process Execution from Temp Directory - processes should usually not execute from a TEMP directory on the machine. This is usually a sign of malware or something malicious.,Medium
2021-09-23T23:24:26.255851Z,Suspicious Behavior,"UEBA Threat: Detected anomaly patterns that might indicate the following suspicious behaviors: Unusual Activity, Infection, Suspicious Pattern, Lateral Movement. Detected a combination of anomalies that might represent high-risk activity to investigate further. The high-risk activity consists of **1** day with anomalies involving multiple entities that stands out when compared to other days with anomalies. Based on the anomalies observed, the potentially malicious behaviors involved are:** Unusual Activity, Infection, Suspicious Pattern, Lateral Movement**. The activity is classified as **Suspicious Behavior** because observed a mix of behaviors that is hard to characterise.  The activity is higher risk because the following suspicious patterns were detected: ** Infection Contains Lateral Movement **. A suspicious pattern occurs when the anomalies happen in a specific order that matches known attack scenarios. Based on the number of days with anomalous activity, the main entities in this threat are: ${""value"": ""1935715920865229886"", ""entityType"": ""Device""}. The investigation of the threat should start from these entities.",Low
