Event_ID,SonicOS_Category_Name,SonicOS_Group_Name,Syslog_Legacy_Category,Priority_Level,SNMP_Trap_Type,Event_Name,Log_Event_Message,Network_Traffic,mv_tag,action,result,change_type,object_category
4,System,Status,Maintenance,ALERT,---,Activate Firewall,Network Security Appliance activated,,,,,,
5,Log,General,Maintenance,INFO,---,Clear Log,Log Cleared,,change suspicious,,,,Log
6,Log,E-mail,Maintenance,INFO,---,E-mail Log,Log successfully sent via E-mail,,,,,,
10,Security Services,General,System Error,ERROR,602,Setting Error on Load,Problem loading the URL List; check Filter settings,,,,,,
12,Log,E-mail,System Error,WARNING,604,E-mail Check Error on Load,Problem sending log E-mail; check log settings,,,,,,
14,Security Services,Content Filter,Blocked Sites,ERROR,701,Website Blocked,Web site access denied,TRUE,,,,,
16,Security Services,Content Filter,Blocked Sites,NOTICE,703,Website Accessed,Web site access allowed,,,allowed,,,
22,Security Services,Attacks,Attack,ALERT,501,Ping of Death Blocked,Ping of death dropped,,,blocked,,,
23,Security Services,Attacks,Attack,ALERT,502,IP Spoof Detected,IP spoof dropped,TRUE,,blocked,,,
24,Users,Authentication Access,User Activity,INFO,---,User Disconnect Detected,User logged out - user disconnect detected,,,,,,
25,Firewall Settings,Flood Protection,Attack,WARNING,503,Possible SYN Flood,Possible SYN flood attack detected,,,,,,
27,Security Services,Attacks,Attack,ALERT,505,Land Attack,Land attack dropped,,,blocked,,,
28,Network,IP,TCP | UDP | ICMP,NOTICE,---,Fragmented Packet,Fragmented packet dropped,,,blocked,,,
29,Users,Authentication Access,User Activity,INFO,---,Successful Admin Login,Administrator login allowed,,,success,,,
30,Users,Authentication Access,Attack,ALERT,560,Wrong Admin Password,Administrator login denied due to bad credentials,,,failure,,,
31,Users,Authentication Access,User Activity,INFO,---,Successful User Login,User login from an internal zone allowed,,,success,,,
32,Users,Authentication Access,User Activity,INFO,---,Wrong User Password,User login denied due to bad credentials,,,failure,,,
33,Users,Authentication Access,User Activity,INFO,---,Unknown User Login Attempt,User login denied due to bad credentials,,,failure,,,
34,Users,Authentication Access,User Activity,INFO,---,Login Timeout,Pending login timed out,,,failure,,,
35,Users,Authentication Access,Attack,ALERT,506,Admin Login Disabled,Administrator login denied from %s; logins disabled from this interface,,,failure,,,
36,Network,TCP,TCP,NOTICE,---,TCP Packets Dropped,TCP connection dropped,TRUE,,blocked,,,
37,Network,UDP,UDP,NOTICE,---,UDP Packets Dropped,UDP packet dropped,TRUE,,blocked,,,
38,Network,ICMP,ICMP,NOTICE,---,ICMP Packets Dropped,ICMP packet dropped due to Policy,TRUE,,blocked,,,
