path,description,purpose,protocol_type,deployment,security_considerations,cyber_risk
bacnet,"BACnet (Building Automation and Control Networks) is a standardized communication protocol designed for managing and integrating building automation systems such as HVAC, lighting, access control, and fire detection. It allows devices from different manufacturers to interoperate within a single, unified building system.","BACnet enables different building systems (e.g., temperature sensors, door controls, lighting) to share data and operate cohesively, reducing energy usage and improving building efficiency.","It is a data communication protocol based on a client-server model, operating over IP (BACnet/IP), Ethernet, or serial (MS/TP) networks.","Globally dominant in Commercial Real Estate (CRE), hospitals, universities, and industrial facilities for environmental control. It is often deployed in a hierarchical structure where field controllers (controlling fans, valves, and sensors) communicate via MS/TP to network routers, which then uplink to a central BMS workstation via BACnet/IP.","Standard BACnet implementations lack native encryption and authentication, transmitting all commands and data in cleartext while relying on broadcast traffic that simplifies network mapping; although the newer BACnet/SC standard introduces TLS security, most environments remain on legacy versions, leaving them vulnerable to spoofing, eavesdropping, and unauthorized device manipulation.","BACnet devices are increasingly being targeted due to weak authentication, open ports (commonly 47808/UDP), and their critical role in building operations. Threats range from unauthorized device control to physical access manipulation."
bsap,"Used primarily in energy and utility sectors, BSAP is a proprietary communication protocol developed by Bristol Babcock (now Emerson) for monitoring and controlling critical infrastructure such as oil & gas pipelines, electric utilities, and water treatment facilities.","BSAP facilitates data exchange between supervisory control systems (like SCADA) and field devices such as RTUs (Remote Terminal Units), enabling real-time monitoring and automation in distributed control environments.","It is a binary, asynchronous protocol often used over serial or TCP/IP links. Though proprietary, it plays a crucial role in legacy OT environments.","Common in North American utility operations, BSAP is embedded deeply in legacy infrastructure, which makes replacing or upgrading these systems complex and costly.","BSAP lacks native encryption, authentication, and integrity validation—making it vulnerable to spoofing, replay, and manipulation if not isolated or monitored.","Due to its proprietary nature and infrequent updates, BSAP often escapes scrutiny in traditional IT security models. It can be targeted for reconnaissance or manipulation in targeted attacks on energy infrastructure."
cotp,COTP (Connection-Oriented Transport Protocol) is an implementation of the ISO 8073 standard used to encapsulate and transport Siemens S7comm payloads. It operates directly on top of TPKT (ISO on TCP) and manages the logical session establishment before any S7 application data is exchanged.,COTP is responsible for negotiating connections between engineering stations (or SCADA) and PLCs. It manages Transport Service Access Points (TSAPs) to map network connections to specific rack and slot coordinates and negotiates the Protocol Data Unit (PDU) size for the session.,"An implementation of the ISO 8073 Class 0 Transport Protocol, typically encapsulated within TPKT headers and transmitted over TCP port 102.","Mandatory for all Siemens S7 communication (S7-300, S7-400, S7-1200, S7-1500) as the transport wrapper that carries both classic S7comm and S7comm-Plus traffic.",COTP establishes sessions in cleartext and lacks native authentication mechanisms. This allows any device with network access to initiate connection requests (CR/CC) and query the PLC without valid credentials.,Attackers frequently use COTP for reconnaissance to identify PLC hardware configurations (via TSAP scanning) or to perform Denial of Service (DoS) attacks by exhausting the limited number of available connection resources on the PLC.
dnp3,"DNP3 (Distributed Network Protocol v3) is a robust communications protocol used primarily between components in electric and water utilities. It was designed for reliable, time-synchronized communication between control systems (like SCADA) and field devices (like RTUs and IEDs), especially over unreliable or noisy networks.","DNP3 enables robust telemetry and control between central control systems and distributed devices in critical infrastructure, supporting real-time data collection, command execution, and event reporting.","DNP3 is a layered, binary protocol designed for high reliability over noisy or unreliable communication links. It supports features like unsolicited reporting, time synchronization, and (in newer versions) secure authentication.","Commonly used across electric utilities, water/wastewater systems, and oil & gas sectors. DNP3 can operate over serial (RS-232/RS-485) and IP networks, with many legacy deployments still relying on serial links.","Traditional DNP3 lacks built-in encryption and uses weak or no authentication. However, Secure DNP3 (with IEEE 1815-2012) adds support for cryptographic authentication. Many organizations have yet to upgrade.","DNP3 has been included in past ICS-targeting malware campaigns. Without segmentation and secure configurations, it’s susceptible to spoofing, message manipulation, and unauthorized command injection."
ecat,"EtherCAT (Ethernet for Control Automation Technology) is a high-performance industrial Ethernet protocol designed for real-time automation control. Developed by Beckhoff, it is engineered for ultra-fast communication with low latency, making it ideal for motion control and robotics in industrial environments.","EtherCAT provides deterministic, real-time communication between controllers (e.g., PLCs) and field devices like drives and sensors, enabling synchronized operations down to microsecond precision.","It uses standard Ethernet frames but with a unique processing method—nodes read and write data ""on the fly"" as the frame passes through, drastically reducing communication delays. Operates over Layer 2 (Ethernet) rather than TCP/IP.","Widely used in robotics, semiconductor manufacturing, printing machines, and other high-speed, synchronized automation systems. Popular in environments demanding sub-millisecond cycle times.","EtherCAT lacks built-in encryption and authentication. Because it bypasses IP-layer protections, it’s especially vulnerable if bridged to IT networks or exposed externally. Most security must come from network segmentation and monitoring.","Due to its speed-focused design, EtherCAT devices are often minimally hardened. An attacker with network access can disrupt time-sensitive operations or manipulate data if no compensating controls (like Corelight visibility) are in place."
enip,"EtherNet/IP is a widely adopted industrial automation protocol built on standard Ethernet and TCP/IP. It’s used for real-time control and data exchange between industrial devices like PLCs, sensors, and actuators in manufacturing and process control systems.","ENIP enables seamless communication and control between industrial devices across Ethernet networks, supporting both cyclic (real-time) and acyclic (on-demand) messaging for automation tasks.",ENIP is an application-layer protocol that uses the Common Industrial Protocol (CIP) over standard TCP/UDP transport (usually ports 44818 and 2222). It supports explicit messaging for configuration and implicit messaging for time-critical I/O data.,"Extensively deployed in manufacturing, automotive, food processing, and material handling sectors. ENIP supports both IT-style Ethernet infrastructure and OT requirements for deterministic performance.","ENIP does not include native encryption or strong authentication. Devices often respond to unauthenticated requests, making it vulnerable to reconnaissance, device manipulation, and denial-of-service if not segmented and monitored.","Due to its openness and widespread use, ENIP is a frequent target in OT reconnaissance efforts and vulnerable to tools like Censys or Shodan. Misconfigurations or flat networks can expose sensitive industrial systems to external threats."
genisys,Genisys is a proprietary industrial communication protocol primarily associated with Johnson Controls’ building automation systems (BAS). It is often found in legacy HVAC systems and facility management infrastructures.,"Genisys enables communication between supervisory building automation systems and field-level devices like HVAC controllers, thermostats, and sensors, supporting centralized environmental and energy control.","It is typically a proprietary serial protocol, operating over RS-485 or similar physical layers. Genisys uses structured command-and-response messaging for control and telemetry.","Most commonly deployed in older commercial buildings, universities, and facilities using legacy Johnson Controls systems. While many have migrated to modern protocols (like BACnet/IP), Genisys persists in systems where upgrade costs are prohibitive.","Genisys was designed before cybersecurity was a primary concern in building automation. It has no native authentication, encryption, or integrity checks. If bridged onto a converged network, it becomes vulnerable to sniffing, spoofing, and replay attacks.","Though niche, Genisys represents a hidden risk in legacy BAS environments. Its obscurity can lead to blind spots in OT visibility and monitoring—making it a potential attack vector in larger coordinated intrusions if not accounted for."
modbus,"Modbus is one of the oldest and most widely adopted OT protocols used in industrial automation systems. Originally developed by Modicon (now Schneider Electric) in 1979, it remains a foundational protocol for communication between supervisory systems (like SCADA) and field devices such as PLCs and sensors.","Modbus enables the exchange of data between control systems and field devices, such as reading sensor values or writing control signals. It is commonly used for monitoring and controlling industrial equipment.","Modbus is a simple, open application-layer protocol that operates over serial (Modbus RTU/ASCII) or TCP/IP networks (Modbus TCP). It uses a master/slave or client/server architecture with function codes defining operations.","Widely deployed in manufacturing, energy, water treatment, and building automation systems. Its simplicity, openness, and vendor support have made it nearly ubiquitous in legacy and modern industrial environments.","Modbus lacks encryption, authentication, or integrity checks. This makes it highly vulnerable to spoofing, command injection, and replay attacks, especially when exposed to IT networks or external access.","Due to its unprotected design and critical role in process control, Modbus is frequently targeted for reconnaissance, unauthorized control, and disruption. It is a high-priority protocol for monitoring in OT cybersecurity strategies, especially where segmentation is weak or absent."
mqtt,"MQTT (Message Queuing Telemetry Transport) is a lightweight, publish-subscribe messaging protocol designed for efficient communication in constrained networks and IoT environments.","MQTT facilitates reliable, low-bandwidth, real-time messaging between devices and applications, making it ideal for telemetry, remote monitoring, and control in OT and IoT systems.","An application-layer protocol that operates over TCP/IP, commonly using port 1883 (unencrypted) or 8883 (encrypted with TLS).","Widely adopted across industrial automation, smart buildings, and IoT deployments due to its minimal overhead and flexibility in connecting sensors, controllers, and cloud platforms.","By default, MQTT lacks strong security features; encryption, authentication, and authorization must be implemented via TLS and broker-level controls to prevent interception, spoofing, or unauthorized access.","Insecure MQTT implementations can expose OT environments to data leakage, command injection, or denial-of-service attacks, underscoring the importance of monitoring and securing MQTT traffic."
opcua,"OPC UA (OPC Unified Architecture) is a modern, platform-independent communication protocol designed for secure and reliable data exchange in industrial automation and OT environments. It’s the successor to the classic OPC protocol, addressing many of its security and interoperability limitations.","OPC UA facilitates seamless, standardized communication between industrial devices, control systems, and enterprise applications, enabling data modeling, monitoring, and control across diverse vendor equipment.","A service-oriented, client-server protocol supporting multiple transport layers including TCP/IP and UDP. OPC UA defines rich information models and supports encryption, authentication, and integrity to ensure secure data exchange.","Widely used across manufacturing, energy, and smart infrastructure sectors. OPC UA enables integration from sensors to cloud systems, supporting Industry 4.0 and IIoT initiatives with scalability and vendor neutrality.","OPC UA includes built-in security features such as user authentication, message encryption, and signed data to protect against eavesdropping, tampering, and unauthorized access.","Despite strong native security, OPC UA implementations can be misconfigured or run on insecure networks, making them susceptible to attacks like man-in-the-middle, unauthorized access, or denial of service. Continuous monitoring is essential for secure OT operations."
