ssl_ext_sig_algorithm_scheme,Signature_Algorithm
1537,rsa_pkcs1_sha512
1027,ecdsa_secp256r1_sha256
257,MD5 RSA
514,SHA1 DSA
515,ecdsa_sha1
769,SHA224 RSA
770,SHA224 DSA
771,SHA224 ECDSA
1025,rsa_pkcs1_sha256
1026,SHA256 DSA
1281,rsa_pkcs1_sha384
1282,SHA384 DSA
1283,ecdsa_secp384r1_sha384
1538,SHA512 DSA
1539,ecdsa_secp521r1_sha512
2052,rsa_pss_rsae_sha256
2053,rsa_pss_rsae_sha384
2054,rsa_pss_rsae_sha512
2055,ed25519
2056,ed448
2057,rsa_pss_pss_sha256
2058,rsa_pss_pss_sha384
2059,rsa_pss_pss_sha512
2570,GREASE
0,Anonymous
