options,order,question,type,description
,0,"# Incident Triage Form\n**Complete all fields** to ensure accurate tracking.\n\n- Use the most specific answer available\n- Add context in Notes when unsure\n- Review the [Splunk docs](https://docs.splunk.com/) if you need field guidance",markdown,
"This standalone description row uses the **question** column as the heading and the **options** column as the body. It supports inline *italic*, **bold**, and [links](https://www.splunk.com/).",1,How this example works,description,
,2,Affected hostname?,freetext,"Use the hostname exactly as it appears in your SIEM.\n\nExamples:\n- `WIN-DC01`\n- `linux-web-02`"
"low,medium,high,critical",3,Severity level,dropdown,"Select the highest applicable severity based on **business impact**."
"yes,no,unknown",4,Confirmed malicious?,radio,"Choose `unknown` when the evidence is still inconclusive."
"phishing,malware,lateral movement,data exfil,ransomware,other",5,Attack techniques observed,checkbox,"Select all that apply. Checkbox answers are saved as a comma-separated list."
,6,Date first observed,date,"Use the first timestamp where suspicious activity was seen."
,7,Number of affected systems,number,"Approximate count is fine if exact impact is unknown."
"index=security sourcetype=wineventlog EventCode=4625 | stats count by src_ip user | where count > 5 | sort - count",8,Reference detection SPL,description,"Read-only description-style SPL reference. The options column holds the SPL; Form Viz renders it as formatted Splunk code."
,9,Containment SPL run,spl,"Multi-line SPL input. Paste the SPL you ran to investigate or contain this incident, then use **Format SPL** if you want to tidy it before submitting."
"analyst1,analyst2,analyst3,unassigned",10,Assigned analyst,dropdown,"Pick the current owner for follow-up."
,11,Notes,freetext,"Add extra context, assumptions, or links to supporting evidence."
