"_time","Down_time _mins","H_W problem","INCIDENT_DATE_KEY","INCIDENT_FC_KEY","Incident_Day","Incident_Day Type","Incident_Month","Incident_Quarter","Incident_Region","Incident_Town","Incident_Week","Incident_Weekday","Incident_Year","Incident_YearQuarter",LAT,LON,Latitude,Longitude,"New Duplicate Incident","New Ticket",No,PostCode,"PostCode_2","Reviewed_main_category","Reviewed_sub_category","SW_Reviewed_main_category","SW_Reviewed_sub_category",StreetName,"TERMINAL_ID","Ticket Down time","Ticket Start time","Ticket Stop time","Ticket_R2","Total Down","bay_BKK_UPC","bay_device_priority","bay_region","bay_type_of_device","bay_vault_code","closed_dtimestamp","component_profile","device_id","fault_id","fault_text","first_line_service_profile","incident_id",latitude,longitude,"model_number","opened_dtimestamp",postcode,"second_line_service_profile","ticket_id","type_location"
"2019-12-31T22:49:37.000+0000","22.15000800672",Others,41639,1263R,31,"Working Day",Dec,Q4,"Greater London","East Ham",1,Tue,2019,"2019-Q4","51.5367167","0.0523715","51.5367167","0.0523715","New ticket",101676759,818,"E6 2HX",2HX,Others,"Device_info",Others,"Device_info","118 High Street North, East Ham",S1A1263R,"22.15000800672","12/31/2019 10:49:37 PM","12/31/2019 11:11:47 PM",101676759,"0.015381950004667",BKK,"High Priority",M305,"R-ATM",700,"41639.9665162",Diebold,S1A1263R,110,"The ATM changed mode to Supervisor.","Brinks_BKK_FLM",13625785,"51.5367167","0.0523715","OPTEVA 378","41639.95113425",E6,"Diebold_BKK_SLM",101676759,Branch
"2019-12-31T20:50:33.000+0000","3.666657601716",Network,41639,1435R,31,"Working Day",Dec,Q4,"City of London",,1,Tue,2019,"2019-Q4","51.5142028","-0.1085036","51.5142028","-0.1085036","1st_level",,,"EC4A 2DY",2DY,Power,"Power_Fail",Network,"Power_Fail","165 Fleet Street",S1A1435R,"3.666657601716","12/31/2019 8:50:33 PM","12/31/2019 8:54:12 PM",,"0.0025462900011917",BKK,Standard,M303,"R-ATM",700,"41639.87098379",Omron,S1A1435R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",13625552,"51.5142028","-0.1085036","ADM1.5","41639.8684375",EC4A,"IBM_BKK_SLM",101677798,Branch
"2019-12-31T20:45:12.000+0000","3.6499968089629",Network,41639,1437R,31,"Working Day",Dec,Q4,"Greater London","Camden Town",1,Tue,2019,"2019-Q4","51.5188409","-0.132935","51.5188409","-0.132935","1st_level",,,"W1T 2AR",2AR,Power,"Power_Fail",Network,"Power_Fail","39 Tottenham Court Road",S1A1437R,"3.6499968089629","12/31/2019 8:45:12 PM","12/31/2019 8:48:51 PM",,"0.0025347200062242",BKK,Standard,M205,"R-ATM",700,"41639.86726851",Omron,S1A1437R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",13625533,"51.5188409","-0.132935","ADM1.5","41639.86473379",W1T,"IBM_BKK_SLM",101677749,Branch
"2019-12-31T20:22:35.000+0000","2.6500032073818",Network,41639,1254R,31,"Working Day",Dec,Q4,"Greater London",Wandsworth,1,Tue,2019,"2019-Q4","51.4603463","-0.2150016","51.4603463","-0.2150016","1st_level",,,"SW15 2SH",2SH,Network,"1st_level",Network,"1st_level","172 Upper Richmond Road, Putney",S1A1254R,"2.6500032073818","12/31/2019 8:22:35 PM","12/31/2019 8:25:15 PM",,"0.0018402800051263",BKK,"High Priority",M305,"R-ATM",700,"41639.85086805",Diebold,S1A1254R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13625489,"51.4603463","-0.2150016","OPTEVA 378","41639.84902777",SW15,"Diebold_BKK_SLM",101678103,Branch
"2019-12-31T19:17:00.000+0000","38.650003199",Network,41639,1061R,31,"Working Day",Dec,Q4,"Greater London",Poplar,1,Tue,2019,"2019-Q4","51.4921822","-0.0241566","51.4921822","-0.0241566","1st_level",,,"E14 5AH",5AH,Power,"Power_Fail",Network,"Power_Fail","Unit 8, Canary Wharf",S1A1061R,"38.650003199","12/31/2019 7:17:00 PM","12/31/2019 7:55:40 PM",,"0.026840279999305",BKK,"High Priority",M206,"R-ATM",700,"41639.83032407",Omron,S1A1061R,18,"Power failure reported , Entering Service initiated","Brinks_BKK_FLM",13625325,"51.4921822","-0.0241566",ADM2,"41639.80348379",E14,"IBM_BKK_SLM",101676760,Branch
"2019-12-31T18:17:06.000+0000","1.649995209882",Network,41639,1234R,31,"Working Day",Dec,Q4,"Greater London",Wandsworth,1,Tue,2019,"2019-Q4","51.427917","-0.1686517","51.427917","-0.1686517","1st_level",,,"SW17 0RN",0RN,Network,"1st_level",Network,"1st_level","56 Tooting High Street, Tooting",S1A1234R,"1.649995209882","12/31/2019 6:17:06 PM","12/31/2019 6:18:45 PM",,"0.0011458300068625",BKK,"High Priority",M102,"R-ATM",700,"41639.76302083",Diebold,S1A1234R,109,"The ATM changed mode to Off-Line.","G4S_BKK_FLM",13625167,"51.427917","-0.1686517","OPTEVA 378","41639.761875",SW17,"Diebold_BKK_SLM",101677891,Branch
"2019-12-31T18:07:40.000+0000","1.3833360036369",Others,41639,1083R,31,"Working Day",Dec,Q4,"Greater London",Islington,1,Tue,2019,"2019-Q4","51.5327172","-0.106394","51.5327172","-0.106394","New ticket",101669244,326,"N1 9LJ",9LJ,Others,"Device_info",Others,"Device_info","Lion House, 25 Islington High Street, Islington",S1A1083R,"1.3833360036369","12/31/2019 6:07:40 PM","12/31/2019 6:09:03 PM","101669244-326","0.00096065000252565",BKK,"High Priority",M201,"R-ATM",700,"41639.75628472",Diebold,S1A1083R,110,"The ATM changed mode to Supervisor.","Brinks_BKK_FLM",13625136,"51.5327172","-0.106394","OPTEVA 378","41639.75532407",N1,"Diebold_BKK_SLM",101669244,Branch
"2019-12-31T17:53:43.000+0000","94.200004806044",Hardware,41639,1052R,31,"Working Day",Dec,Q4,"Greater London",Lambeth,1,Tue,2019,"2019-Q4","51.4615771","-0.1158532","51.4615771","-0.1158532","New ticket",101677845,63,"SW9 8ER",8ER,Hardware,"Cash_Jam",Hardware,"Cash_Jam","512 Brixton Road, Brixton",S1A1052R,"94.666665599216","12/31/2019 5:53:43 PM","12/31/2019 7:28:23 PM",101677845,"0.065740739999455",BKK,"High Priority",M203,"R-ATM",450,"41639.81105324",Omron,S1A1052R,178,"Terminal closed Casset,CardR,Depos,Trap,or Present not available","Brinks_BKK_FLM",13625110,"51.4615771","-0.1158532",ADM2,"41639.74563657",SW9,"IBM_BKK_SLM",101677845,Branch
"2019-12-31T17:50:21.000+0000","1.4166575996205",Network,41639,1225R,31,"Working Day",Dec,Q4,"Greater London",Lambeth,1,Tue,2019,"2019-Q4","51.4387177","-0.1263901","51.4387177","-0.1263901","1st_level",,,"SW2 4UE",4UE,Network,"1st_level",Network,"1st_level","103 Streatham Hill, Streatham",S1A1225R,"1.4166575996205","12/31/2019 5:50:21 PM","12/31/2019 5:51:45 PM",,"0.00098378999973647",BKK,"High Priority",M205,"R-ATM",700,"41639.7442824",Diebold,S1A1225R,109,"The ATM changed mode to Off-Line.","Brinks_BKK_FLM",13625099,"51.4387177","-0.1263901","OPTEVA 378","41639.74329861",SW2,"Diebold_BKK_SLM",101677542,Branch
"2019-12-31T17:50:06.000+0000","105.84999359446",Hardware,41639,1058R,31,"Working Day",Dec,Q4,"Greater London",Hounslow,1,Tue,2019,"2019-Q4","51.4925054","-0.2670554","51.4925054","-0.2670554","New ticket",101653185,145,"W4 4HJ",4HJ,Hardware,"Cash_Jam",Hardware,"Cash_Jam","281 Chiswick High Road, Chiswick",S1A1058R,"106.33332959726","12/31/2019 5:50:06 PM","12/31/2019 7:36:26 PM","101653185-145","0.073842589998094",BKK,"High Priority",M202,"R-ATM",253,"41639.81663194",Omron,S1A1058R,178,"Terminal closed Casset,CardR,Depos,Trap,or Present not available","Brinks_BKK_FLM",13625096,"51.4925054","-0.2670554",ADM2,"41639.743125",W4,"IBM_BKK_SLM",101653185,Branch
