"perf_item","nmon_section","formula (or field name if not evaluated)","long_description",unity
"KERNEL STATISTICS",VM,allocstall,"allocstall: Number of direct reclaim calls (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"kswapd_inodesteal","kswapd_inodesteal: Number of pages reclaimed by kswapd via inode freeing (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"kswapd_steal","kswapd_steal: Number of pages reclaimed by kswapd (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"nr_bounce","nr_bounce: Miscellaneous statistics","Pages/sec"
"KERNEL STATISTICS",VM,"nr_dirty","nr_dirty: Number of pages that are dirty","Pages/sec"
"KERNEL STATISTICS",VM,"nr_mapped","nr_mapped: Number of pages mapped by files","Pages/sec"
"KERNEL STATISTICS",VM,"nr_page_table_pages","nr_page_table_pages: Number of pages allocated to page tables","Pages/sec"
"KERNEL STATISTICS",VM,"nr_slab","nr_slab: allocated by the kernel slab allocator","Pages/sec"
"KERNEL STATISTICS",VM,"nr_unstable","nr_unstable: Number of pages that are unstable","Pages/sec"
"KERNEL STATISTICS",VM,"nr_writeback","nr_writeback: Number of pages that are under writeback","Pages/sec"
"KERNEL STATISTICS",VM,pageoutrun,"pageoutrun: Number of kswapd's calls to page reclaim (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pgactivate,"pgactivate: Number of page activations (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgalloc_dma","pgalloc_dma: Number of page allocations per zone (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgalloc_dma32","pgalloc_dma32: Number of page allocations per zone (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgalloc_high","pgalloc_high: Number of page allocations per zone (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgalloc_normal","pgalloc_normal: Number of page allocations per zone (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pgdeactivate,"pgdeactivate: Number of page deactivations (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pgfault,"pgfault: Number of minor page faults (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pgfree,"pgfree: Number of page frees (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pginodesteal,"pginodesteal: Number of pages reclaimed via inode freeing (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pgmajfault,"pgmajfault: Number of major page faults (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pgpgin,"pgpgin: Number of pageins (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pgpgout,"pgpgout: Number of pageouts (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgrefill_dma","pgrefill_dma: Number of page refills (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgrefill_dma32","pgrefill_dma32: Number of page refills (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgrefill_high","pgrefill_high: Number of page refills (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgrefill_normal","pgrefill_normal: Number of page refills (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pgrotated,"pgrotated: Miscellaneous statistics","Pages/sec"
"KERNEL STATISTICS",VM,"pgscan_direct_dma","pgscan_direct_dma: Number of pages reclaimed directly (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgscan_direct_dma32","pgscan_direct_dma32: Number of pages reclaimed directly (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgscan_direct_high","pgscan_direct_high: Number of pages reclaimed directly (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgscan_direct_normal","pgscan_direct_normal: Number of pages reclaimed directly (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgscan_kswapd_dma","pgscan_kswapd_dma: Number of pages scanned by the kswapd daemon (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgscan_kswapd_dma32","pgscan_kswapd_dma32: Number of pages scanned by the kswapd daemon (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgscan_kswapd_high","pgscan_kswapd_high: Number of pages scanned by the kswapd daemon (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgscan_kswapd_normal","pgscan_kswapd_normal: Number of pages scanned by the kswapd daemon (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgsteal_dma","pgsteal_dma: Number of page steals (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgsteal_dma32","pgsteal_dma32: Number of page steals (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgsteal_high","pgsteal_high: Number of page steals (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"pgsteal_normal","pgsteal_normal: Number of page steals (per zone, since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pswpin,"pswpin: Number of swapins (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,pswpout,"pswpout: Number of swapouts (since the last boot)","Pages/sec"
"KERNEL STATISTICS",VM,"slabs_scanned","slabs_scanned: Number of slab objects scanned (since the last boot)","Pages/sec"
