"metric_name","metric_filter","metric_calculation","metric_type_of_calculation","metric_data_field","metric_primary_statsmode","metric_groupby","metric_table_groupby","metric_timechart_groupby","metric_charting_chart","metric_charting_stackmode","is_AIX","is_Linux","is_Solaris"
"os.unix.nmon.cpu.cpu_all.cpu_load_percent","metric_name=os.unix.nmon.cpu.cpu_all.Sys_PCT OR metric_name=os.unix.nmon.cpu.cpu_all.User_PCT OR metric_name=os.unix.nmon.cpu.cpu_all.Wait_PCT OR metric_name=os.unix.nmon.cpu.cpu_all.Steal_PCT","`def_cpu_load_percent`","02 – extended metric","cpu_load_percent","avg","metric_name, host","host","host","line","default","True","True","True"
"os.unix.nmon.cpu.lpar.lpar_load_percent","metric_name=os.unix.nmon.cpu.lpar.*","`def_lpar_load_percent`","02 – extended metric","lpar_load_percent","avg","OStype, metric_name, host","host","host","line","default","True","False","False"
"os.unix.nmon.cpu.lpar.lpar_vp_usage","metric_name=os.unix.nmon.cpu.lpar.*","`def_lpar_load_cores`","02 – extended metric","lpar_load_cores","avg","OStype, metric_name, host","host","host","line","default","True","False","False"
"os.unix.nmon.cpu.lpar.lpar_pool_vp_usage","metric_name=os.unix.nmon.cpu.lpar.*","`def_lpar_pool_load_aix_cores`","02 – extended metric","lpar_pool_usage","avg","OStype, metric_name, host","host","host","line","default","True","False","False"
"os.unix.nmon.cpu.lpar.lpar_pool_vp_usage_percent","metric_name=os.unix.nmon.cpu.lpar.*","`def_all_os_lpar_pool_load_percent`","02 – extended metric","lpar_pool_vp_usage_PCT","avg","OStype, metric_name, host","host","host","line","default","True","False","False"
"os.unix.nmon.memory.mem.mem_used_effective_PCT","metric_name=os.unix.nmon.memory.mem.*","`def_memory_load_percent`","02 – extended metric","mem_used_effective_PCT","avg","metric_name, host","host","host","line","default","True","True","True"
"os.unix.nmon.memory.mem.swap_used_effective_PCT","metric_name=os.unix.nmon.memory.mem.*","`def_memory_load_percent`","02 – extended metric","swap_used_effective_PCT","avg","metric_name, host","host","host","line","default","True","True","True"
"os.unix.nmon.memory.mem.mem_used_effective","metric_name=os.unix.nmon.memory.mem.*","`def_memory_volume_MB`","02 – extended metric","mem_used_effective","avg","metric_name, host","host","host","line","default","True","True","True"
"os.unix.nmon.memory.mem.swap_used_effective","metric_name=os.unix.nmon.memory.mem.*","`def_memory_volume_MB`","02 – extended metric","swap_used_effective","avg","metric_name, host","host","host","line","default","True","True","True"
"os.unix.nmon.processes.top.aggreg_cpu_cores_per_process","metric_name=os.unix.nmon.processes.top.pct_CPU","eval usage_per_core=(value/100)","02 – extended metric","usage_per_core","sum","dimension_Command, host","host, dimension_Command","dimension_Command","column","stacked","True","True","True"
"os.unix.nmon.processes.top.aggreg_mem_MB_per_process","metric_name=os.unix.nmon.processes.top.Res*","`def_all_os_top_memory`","02 – extended metric","mem_usage_mb","sum","OStype, metric_name, dimension_Command,host","host, dimension_Command","dimension_Command","column","stacked","True","True","True"
"os.unix.nmon.storage.diskreadxfer","metric_name=os.unix.nmon.storage.diskread OR metric_name=os.unix.nmon.storage.diskbsize","`def_disk_read_xfer_by_device` | setfields metric_name=os.unix.nmon.storage.diskreadxfer","02 – extended metric","disk_read_iops","avg","metric_name, dimension_device, host","host","host","line","default","True","True","True"
"os.unix.nmon.storage.diskwritexfer","metric_name=os.unix.nmon.storage.diskwrite OR metric_name=os.unix.nmon.storage.diskbsize","`def_disk_write_xfer_by_device` | setfields metric_name=os.unix.nmon.storage.diskwritexfer","02 – extended metric","disk_write_iops","avg","metric_name, dimension_device, host","host","host","line","default","True","True","True"
"os.unix.nmon.storage.dgreadxfer","metric_name=os.unix.nmon.storage.dgread OR metric_name=os.unix.nmon.storage.dgsize","`def_dg_read_xfer_by_device` | setfields metric_name=os.unix.nmon.storage.dgreadxfer","02 – extended metric","disk_read_iops","avg","metric_name, dimension_device, host","host","host","line","default","False","True","False"
"os.unix.nmon.storage.dgwritexfer","metric_name=os.unix.nmon.storage.dgwrite OR metric_name=os.unix.nmon.storage.dgsize","`def_dg_write_xfer_by_device` | setfields metric_name=os.unix.nmon.storage.dgwritexfer","02 – extended metric","disk_write_iops","avg","metric_name, dimension_device, host","host","host","line","default","False","True","False"
