indicator,indicator_description
1-ICMP:1-UDP:2:4-SYN-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-SYN-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and SYN-ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood
1-ICMP:1-UDP:2:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:2:4-ACK:4-PSH-ACK:7-TCP-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:2:4-ACK:4-PSH-ACK:7-UDP-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-ACK:4-PSH-ACK:7-TSU-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:2:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,UDP flood from a large attacking population and Abnormal ICMP traffic and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:2:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:2:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and PSH - ACK flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:2:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,UDP flood from a large attacking population and Abnormal ICMP traffic and TCP-based application level protocol (e.g. HTTP) flood and UDP-based application level protocol (e.g. DNS) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and ACK flood and PSH - ACK flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-ACK:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and ACK flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-ACK:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-ACK:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and PSH - ACK flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and PSH - ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:4-PSH-ACK:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and PSH - ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:7-TCP-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-SYN-ACK:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and SYN-ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-ACK:4-PSH-ACK:7-TCP-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN:4-ACK:4-PSH-ACK:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and PSH - ACK flood
1-ICMP:1-UDP:3:4-SYN:4-ACK:4-PSH-ACK:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and PSH - ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-ACK:4-PSH-ACK:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and PSH - ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-ACK:7-TCP-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-ACK:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-ACK:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-PSH-ACK:7-TCP-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and PSH - ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:4-PSH-ACK:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and PSH - ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:4-PSH-ACK:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and PSH - ACK flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and PSH - ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:4-PSH-ACK:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and PSH - ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:7-TCP-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:4-ACK:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and PSH - ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and PSH - ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:4-PSH-ACK:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-SYN-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and SYN-ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:3:4-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-ACK:4-PSH-ACK:7-TCP-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-ACK:4-PSH-ACK:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-ACK:4-PSH-ACK:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:3:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and Abnormal network traffic entropy value and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:3:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and Abnormal network traffic entropy value and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TCP-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and ACK flood and PSH - ACK flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and ACK flood and PSH - ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:4-PSH-ACK:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and ACK flood and PSH - ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:7-TCP-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-ACK:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-UDP-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:7-TSU-<protocol>,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TCP-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and PSH - ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and PSH - ACK flood and "Tsunami" SYN flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-PSH-ACK:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and PSH - ACK flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:4-PSH-ACK:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and PSH - ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:7-TSU-<protocol>,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-UDP-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:7-TCP-<protocol>:7-TSU-<protocol>:9-LS,Abnormal ICMP traffic and Abnormal UDP traffic and SYN flood and SYN-ACK flood and TCP-based application level protocol (e.g. HTTP) flood and "Tsunami" SYN flood and "Low and Slow" attack
1-ICMP:1-UDP:4-SYN:4-SYN-ACK:7-UDP-<protocol>:7-TSU-<protocol>:9-LS,Application level UDP flood attack and Abnormal ICMP traffic and SYN flood and SYN-ACK flood and "Tsunami" SYN flood and "Low and Slow" attack
