cve,last_modified_date,vulnerability_type,cvss_v3,severity,attack_vector,attack_complexity,vendor,message,host_name,site,ticket_id
CVE-2014-3888,10-08-15,Buffer Errors,8.3,High,Network,Medium,Yokogawa,"Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.",TUS-FA-M3V_1-LINE1,Tuas,90dc8b-55f7f8-d0cc5b00-5509
CVE-2014-3888,10-08-15,Buffer Errors,8.3,High,Network,Medium,Yokogawa,"Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.",TUS-FA-M3V_2-LINE1,Tuas,90dc8b-55f7f8-d0cc5b00-5509
CVE-2014-3888,10-08-15,Buffer Errors,8.3,High,Network,Medium,Yokogawa,"Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.",TUS-FA-M3V_1-LINE2,Tuas,90dc8b-55f7f8-d0cc5b00-5509
CVE-2014-3888,10-08-15,Buffer Errors,8.3,High,Network,Medium,Yokogawa,"Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.",TUS-FA-M3V_2-LINE2,Tuas,90dc8b-55f7f8-d0cc5b00-5509
CVE-2014-3888,10-08-15,Buffer Errors,8.3,High,Network,Medium,Yokogawa,"Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.",TUS-FA-M3V_1-LINE3,Tuas,90dc8b-55f7f8-d0cc5b00-5509
CVE-2014-3888,10-08-15,Buffer Errors,8.3,High,Network,Medium,Yokogawa,"Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.",TUS-FA-M3V_2-LINE3,Tuas,90dc8b-55f7f8-d0cc5b00-5509
CVE-2014-3888,10-08-15,Buffer Errors,8.3,High,Network,Medium,Yokogawa,"Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.",TUS-FA-M3V_1-LINE4,Tuas,90dc8b-55f7f8-d0cc5b00-5509
CVE-2014-3888,10-08-15,Buffer Errors,8.3,High,Network,Medium,Yokogawa,"Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.",TUS-FA-M3V_2-LINE4,Tuas,90dc8b-55f7f8-d0cc5b00-5509
CVE-2012-4690 ,5/20/2013,Configuration,7.1,High,Network,Medium,Rockwell,"Rockwell Automation Allen-Bradley MicroLogix controller 1100, 1200, 1400, and 1500; SLC 500 controller platform; and PLC-5 controller platform, when Static status is not enabled, allow remote attackers to cause a denial of service via messages that trigger modification of status bits.",PHL-AB1400-PALLETIZER01,Philadelphia,4f2705-a6aa2f-972ecfc3-0a9b
CVE-2012-4690 ,5/20/2013,Configuration,7.1,High,Network,Medium,Rockwell,"Rockwell Automation Allen-Bradley MicroLogix controller 1100, 1200, 1400, and 1500; SLC 500 controller platform; and PLC-5 controller platform, when Static status is not enabled, allow remote attackers to cause a denial of service via messages that trigger modification of status bits.",PHL-AB1400-CAMERA01,Philadelphia,4f2705-a6aa2f-972ecfc3-0a9b
