_time,action,avg,dest_ip,lower_bound,message_id,src_ip,stdev,upper_bound
2019-02-14T00:00:00.000-0500,blocked,4,126.65.222.60,0,106012,10.128.70.229,1,8
2019-02-14T00:00:00.000-0500,blocked,5,126.65.222.60,1,106012,10.128.70.229,1,9
2019-02-14T00:00:00.000-0500,blocked,4,212.144.104.111,0,106012,10.128.70.229,1,8
2019-02-14T00:00:00.000-0500,blocked,5,212.144.104.111,1,106012,10.128.70.229,1,9
2019-02-14T00:00:00.000-0500,blocked,4,46.84.63.3,0,106012,10.128.70.229,1,8
2019-02-14T00:00:00.000-0500,blocked,5,46.84.63.3,1,106012,10.128.70.229,1,9
2019-02-14T00:00:00.000-0500,blocked,4,56.230.190.44,0,106012,10.128.70.229,1,8
2019-02-14T00:00:00.000-0500,blocked,5,56.230.190.44,1,106012,10.128.70.229,1,9
2019-02-15T00:00:00.000-0500,blocked,200,1.215.21.158,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,240,1.215.21.158,160,106012,10.128.70.229,20,320
2019-02-15T00:00:00.000-0500,blocked,220,11.226.138.105,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,220,11.226.138.105,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,200,114.171.34.64,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,230,114.171.34.64,150,106012,10.128.70.229,20,310
2019-02-15T00:00:00.000-0500,blocked,220,134.17.252.49,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,220,134.17.252.49,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,200,16.234.134.251,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,16.234.134.251,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,166.143.14.25,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,166.143.14.25,120,106012,10.128.70.229,20,280
2019-02-15T00:00:00.000-0500,blocked,200,175.8.146.16,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,175.8.146.16,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,180.105.188.89,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,180.105.188.89,120,106012,10.128.70.229,20,280
2019-02-15T00:00:00.000-0500,blocked,200,186.166.30.224,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,186.166.30.224,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,187.228.212.240,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,187.228.212.240,120,106012,10.128.70.229,20,280
2019-02-15T00:00:00.000-0500,blocked,200,201.232.118.104,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,201.232.118.104,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,212.218.87.32,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,212.218.87.32,120,106012,10.128.70.229,20,280
2019-02-15T00:00:00.000-0500,blocked,200,22.69.89.210,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,22.69.89.210,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,246.231.167.144,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,246.231.167.144,120,106012,10.128.70.229,20,280
2019-02-15T00:00:00.000-0500,blocked,200,29.115.68.104,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,29.115.68.104,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,33.248.173.206,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,33.248.173.206,120,106012,10.128.70.229,20,280
2019-02-15T00:00:00.000-0500,blocked,200,54.130.240.219,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,54.130.240.219,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,59.13.80.9,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,59.13.80.9,120,106012,10.128.70.229,20,280
2019-02-15T00:00:00.000-0500,blocked,200,71.0.178.141,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,71.0.178.141,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,85.206.42.108,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,85.206.42.108,120,106012,10.128.70.229,20,280
2019-02-15T00:00:00.000-0500,blocked,200,9.130.192.211,104,106012,10.128.70.229,24,296
2019-02-15T00:00:00.000-0500,blocked,220,9.130.192.211,140,106012,10.128.70.229,20,300
2019-02-15T00:00:00.000-0500,blocked,220,97.76.242.188,124,106012,10.128.70.229,24,316
2019-02-15T00:00:00.000-0500,blocked,200,97.76.242.188,120,106012,10.128.70.229,20,280
2019-02-16T00:00:00.000-0500,blocked,10,1.203.153.126,10,710003,10.128.70.229,0,10
2019-02-16T00:00:00.000-0500,blocked,12,1.203.153.126,12,710003,10.128.70.229,0,12
2019-02-16T00:00:00.000-0500,blocked,10,1.84.63.115,10,710003,10.128.70.229,0,10
2019-02-16T00:00:00.000-0500,blocked,12,1.84.63.115,12,710003,10.128.70.229,0,12
2019-02-16T00:00:00.000-0500,blocked,14,10.37.162.227,14,710003,10.128.70.229,0,14
