_key,device_type,site,city,country,site_criticality,zone,subnet,host_ip,asset_criticality,location,physical_addr,host_name,device_name,manufacturer,model,operating_system,firmware_version,cpe_uri,applicable_cves,depreciated_applicable_cves,legacy_os,antivirus_definition_status,patch_status,default_credentials_detected,first_communication,last_communication,inbound_communications,outbound_communications,purdue_level,is_running,force_installed,is_in_remote_access_mode,is_programmable,plc_mode,status,vlan,originating_source,auto_merge,originating_source,auto_merge
004ad9-178017-c29e5f76-e680,HMI,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.47,Medium,Annex K,00:40:03:04:1C:21,DUB-HMI01-LINE3,DUB-HMI01-LINE3,Emerson,UNI-HMI091U2,Windows NT,,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512387000,today-1:4759,,,3,,,,,,,,,,,
00b8ad-8bf431-057444b6-da73,PLC,San Juan,San Juan,Puerto Rico,High,Controller LAN,10.128.80.64/26,10.128.80.68,Critical,Building A,00:24:3D:0E:73:23,SJN-SE3007_1-FILL1,SJN-SE3007_1-FILL1,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512403200,today-5:295,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
040f61-091c6f-15ac6350-8f23,HMI,San Juan,San Juan,Puerto Rico,High,Manufacturing LAN,10.128.80.32/27,10.128.80.46,Low,Building C,00:D0:7C:42:BF:05,SJN-HMI02-FINISH1,SJN-HMI02-FINISH1,C-more,EA7-T8C,Windows NT,1.21 Build 6.18E,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512295200,today-2:47656,,,3,,,,,,,,,,,
062d9c-6e9e85-c49faab2-20e0,Server,San Juan,San Juan,Puerto Rico,High,DMZ,10.128.80.8/29,10.128.80.12,High,Building A,B4:E1:0F:DE:2D:EF,SJN-DELTAV-APP01,SJN-DELTAV-APP01,Dell,EMC PowerEdge R740,Windows Server 2012 R2,,cpe:2.3:a:dell:emc_idrac7:*:*:*:*:*:*:*:*,,CVE-2018-1207,No,Up-to-Date,Up-to-Date,None Detected,1512315000,today-2:235,,,4,,,,,,,,,,,
06732c-7246b8-4f583c76-535a,Server,San Juan,San Juan,Puerto Rico,High,DMZ,10.128.80.8/29,10.128.80.13,Low,Building A,B4:E1:0F:4E:D0:7F,SJN-DELTAV-APP02,SJN-DELTAV-APP02,Dell,EMC PowerEdge R740,Windows Server 2012 R2,,cpe:2.3:a:dell:emc_idrac7:*:*:*:*:*:*:*:*,,CVE-2018-1207,No,Up-to-Date,Up-to-Date,None Detected,1512316800,today-3:375,,,4,,,,,,,,,,,
080319-af6d89-a97b7951-8c2b,Server,Tuas,Tuas,Singapore,Low,Enterprise LAN,10.128.70.32/28,10.128.70.37,Low,Telecom,90:B1:1C:E0:10:29,TUS-PIHISTORIAN-APP01,TUS-PIHISTORIAN-APP01,Dell,EMC PowerEdge R740,Windows Server 2003,,cpe:2.3:o:microsoft:windows_server_2003:*:*:*:*:*:*:*:*,,CVE-2008-4250,YES,Up-to-Date,Up-to-Date,None Detected,1512320400,today-5:2895,,,4,,,,,,,,,,,
082b06-5c9bd1-6f6f68e7-41cc,Server,Dublin,Dublin,Ireland,Critical,DMZ,10.128.30.8/29,10.128.30.14,Low,Annex L,30:8D:99:30:4F:86,DUB-DELTAV-APP04,DUB-DELTAV-APP04,HPE,ProLiant DL360,Windows Server 2008 R2,,cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1512475200,today-3:385,,,4,,,,,,,,,,,
086139-e70db6-15e13461-d866,Workstation,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.72,Medium,Room 1,28:92:4A:21:F4:EF,TUS-OWS01-LINE1,TUS-OWS01-LINE1,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1518170400,today-5:1958,,,3,,,,,,,,,,,
093a14-b33656-25d4bc50-924b,Switch,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.35,High,Annex L,78:8A:20:CA:BA:BE,DUB-SWITCH-LINE1,DUB-SWITCH-LINE1,Ubiquiti,EdgeSwitch ES-24-250W,EdgeSwitch,1.7.3,cpe:2.3:o:ubnt:edgeswitch_firmware:*:*:*:*:*:*:*:*,CVE-2018-12590,CVE-2018-12590,No,Up-to-Date,Up-to-Date,None Detected,1512388800,today-3:28457,,,3,,,,,,,,,,,
096db0-fb041c-928eb317-fbc1,Firewall,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,"10.128.70.66,10.128.70.97",High,Telecom,18:B1:69:26:BA:82,TUS-SONICWALL-FW02,TUS-SONICWALL-FW02,SonicWall,01-SSC-1705,SonicOS,,cpe:2.3:o:sonicwall:sonicos:*:*:*:*:*:*:*:* ,,CVE-2018-9867,No,Up-to-Date,Up-to-Date,None Detected,1512385200,today-1:67893,,,3,,,,,,,,,,,
