Column1,Column2,alert_category,alert_id,alert_importance,asset_criticality,asset_fix_status,asset_id,business_unit,comment,country,creation_time,description,event_id,host_name,last_modified_time,responder,response_status,severity,severity_value,site_name,src_ip,ticket_id,ticket_status,triggering_event,triggering_event3,zone,zone4
BER-WONDERW-MES02:10.137.128.20:af1a0b-fea0a5-935ee11b-02a7:Medium:Enterprise LAN:New,New,Network Data,[AL-9016],Critical,Medium,BER-WONDERW-MES02:10.137.128.20:af1a0b-fea0a5-935ee11b-02a7:Medium:Enterprise LAN:New,af1a0b-fea0a5-935ee11b-02a7,,,Germany,today-6:33843,"Detected network scanning from Internal host (BER-WONDERW-MES02, 10.137.128.20) to Internal IP 10.137.128.11.",,BER-WONDERW-MES02,today-6:33843,Morgan Depp,Complete,High,480000000,Berlin,10.137.128.20,364ce2-1172f7-9c754572-83a2,Closed,-,,Enterprise LAN,Manufacturing LAN
BER-ASA-FW02:10.137.128.2:88c3f8-f10886-62eb2287-14d7:High:DMZ:New,New,Network Data,[AL-9017],Info,High,BER-ASA-FW02:10.137.128.2:88c3f8-f10886-62eb2287-14d7:High:DMZ:New,88c3f8-f10886-62eb2287-14d7,,,Germany,today-16:76548,Detected network scanning from External host 6.6.6.6 to Internal IP 10.137.128.2.,,BER-ASA-FW02,today-16:76548,System,New,Info,640,Berlin,10.137.128.2,2b536f-70ef98-a8581aac-d309,Open,-,,DMZ,Controller LAN
BER-ASA-FW02:10.137.128.2:88c3f8-f10886-62eb2287-14d7:High:DMZ:New,New,Firewall,[AL-9021],Info,High,BER-ASA-FW02:10.137.128.2:88c3f8-f10886-62eb2287-14d7:High:DMZ:New,88c3f8-f10886-62eb2287-14d7,,,Germany,today-15:19384,"The firewall (BER-ASA-FW02, 10.137.128.2) at the Berlin site has been modified by a user (CAPRAP).",,BER-ASA-FW02,today-4:19384,System,New,Info,640,Berlin,10.137.128.2,5deda2-6e8c7f-448b2d69-ed58,Open,-,,DMZ,Manufacturing LAN
BER-ENG-EWS01:10.137.128.36:b299a5-304160-de3fdb49-3a06:High:Manufacturing LAN:New,New,CMDB,[AL-9047],Medium,High,BER-ENG-EWS01:10.137.128.36:b299a5-304160-de3fdb49-3a06:High:Manufacturing LAN:New,b299a5-304160-de3fdb49-3a06,,,Germany,today-7:76565,"A workstation (BER-ENG-EWS01, 10.137.128.36) at the Berlin site that is assigned to the 10.137.128.32/28 subnet block has been seen communicating from outside of its designated block to 6.6.6.6.",,BER-ENG-EWS01,today-7:76565,System,New,Low,3200000,Berlin,10.137.128.36,6a53be-c8e5b2-5c0cbf2a-82ce,Open,-,,Manufacturing LAN,Controller LAN
BER-HMI-LABELER01:10.137.128.37:948d03-286f0a-a0fcfdb5-c301:Low:Manufacturing LAN:Fixed,New,CMDB,[AL-9049-MultiHomed],Low,Low,BER-HMI-LABELER01:10.137.128.37:948d03-286f0a-a0fcfdb5-c301:Low:Manufacturing LAN:Fixed,948d03-286f0a-a0fcfdb5-c301,Unit 5,,Germany,today-24:77525,"Multiple active IP addresses are assigned to a HMI (BER-HMI-LABELER01, 10.137.128.37, 10.137.128.74) at the Berlin site.",,BER-HMI-LABELER01,today-19:30225,Samuel Willis,Complete,Info,80000,Berlin,10.137.128.37,d113c3-99dac6-1b43599c-3e92,Closed,-,,Manufacturing LAN,Controller LAN
BER-OWS01-LINE1:10.137.128.34:f4ca02-aa00d1-92d482d6-92ad:Medium:Manufacturing LAN:New,New,Network Data,[AL-9030-Internal>External],High,Medium,BER-OWS01-LINE1:10.137.128.34:f4ca02-aa00d1-92d482d6-92ad:Medium:Manufacturing LAN:New,f4ca02-aa00d1-92d482d6-92ad,Unit 5,,Germany,today-26:39062,"A significant increase of denied internal network connections has been detected coming from Internal workstation (BER-OWS01-LINE1, 10.137.128.34) while attempting to communicate with an External device (6.6.6.6) at the Berlin site.",,BER-OWS01-LINE1,today-26:39062,Samuel Willis,Complete,Medium,36000000,Berlin,10.137.128.34,fe63cf-b94e53-e4495958-f2bd,Closed,-,,Manufacturing LAN,Controller LAN
BER-OWS01-LINE2:10.137.128.35:b7e61d-fb93cb-036f1de5-f078:Medium:Manufacturing LAN:New,New,CMDB,[AL-9049-MultiHomed],Low,Medium,BER-OWS01-LINE2:10.137.128.35:b7e61d-fb93cb-036f1de5-f078:Medium:Manufacturing LAN:New,b7e61d-fb93cb-036f1de5-f078,,,Germany,today-7:29287,Multiple active IP addresses are assigned to a desktop (BER-OWS01-LINE2) at the Berlin site.,,BER-OWS01-LINE2,today-7:29287,System,New,Info,120000,Berlin,10.137.128.35,08dc41-c82b7d-e6da7925-9605,Open,-,,Manufacturing LAN,Manufacturing LAN
BER-SIEMENS-APP1:10.137.128.11:dd7728-dde6ad-b27c6b15-80fa:High:DMZ:New,New,Network Data,[AL-9018],High,High,BER-SIEMENS-APP1:10.137.128.11:dd7728-dde6ad-b27c6b15-80fa:High:DMZ:New,dd7728-dde6ad-b27c6b15-80fa,,,Germany,today-7:29482,Detected network scanning from External host 6.6.6.6 to Internal IP 10.137.128.11 (BER-SIEMENS-APP1).,,BER-SIEMENS-APP1,today-7:29482,Morgan Depp,Complete,Medium,48000000,Berlin,10.137.128.11,85a690-e42617-d2d4067b-4d94,Closed,-,,DMZ,Controller LAN
BER-SIEMENS-APP2:10.137.128.12:e09feb-7af357-b766cba3-9ecf:Low:DMZ:Fixed,New,Vulnerability,[AL-9019-MEDIUM],Medium,Low,BER-SIEMENS-APP2:10.137.128.12:e09feb-7af357-b766cba3-9ecf:Low:DMZ:Fixed,e09feb-7af357-b766cba3-9ecf,Unit 5,,Germany,today-2:2215,"A ""MEDIUM"" vulnerability has been added to the National Vulnerability Database (NVD) that potentially affects 1 asset(s) at the Berlin site.",,BER-SIEMENS-APP2,today-2:5215,Samuel Willis,Complete,Low,1600000,Berlin,10.137.128.12,417685-5b9801-a433a08f-7f70,Closed,-,,DMZ,DMZ
BER-SIEMENS-APP2:10.137.128.12:e09feb-7af357-b766cba3-9ecf:Low:DMZ:New,New,Network Connections,[AL-9024-ICSProtocol&Device],Medium,Low,BER-SIEMENS-APP2:10.137.128.12:e09feb-7af357-b766cba3-9ecf:Low:DMZ:New,e09feb-7af357-b766cba3-9ecf,,,Germany,today-5:80122,"External device (6.6.6.6) was denied while attempting to establish an inbound connection through the firewall to server (BER-SIEMENS-APP2, 10.137.128.12) over 88 (commonly used for HTTP).",,BER-SIEMENS-APP2,today-5:80122,Morgan Depp,Complete,Low,1600000,Berlin,10.137.128.12,fa7233-111308-ace3b83f-07f8,Closed,-,,DMZ,Controller LAN
