cidr,description,"ip_address","ip_cidr",site,"subnet_name",vlan,zone
30,"","10.137.128.0","10.137.128.0/30",Berlin,"Berlin External Gateway","-",DMZ
29,,"10.137.128.8","10.137.128.8/29",Berlin,"Berlin DMZ","-",DMZ
28,,"10.137.128.16","10.137.128.16/28",Berlin,"Berlin Enterprise LAN","-","Enterprise LAN"
28,,"10.137.128.32","10.137.128.32/28",Berlin,"Berlin Manufacturing LAN","-","Manufacturing LAN"
26,,"10.137.128.64","10.137.128.64/26",Berlin,"Berlin Controller LAN","-","Controller LAN"
30,"","10.128.30.0","10.128.30.0/30",Dublin,"Dublin External Gateway","-",DMZ
29,"","10.128.30.8","10.128.30.8/29",Dublin,"Dublin DMZ","-",DMZ
28,"","10.128.30.16","10.128.30.16/28",Dublin,"Dublin Enterprise LAN","-","Enterprise LAN"
27,,"10.128.30.32","10.128.30.32/27",Dublin,"Dublin Manufacturing LAN","-","Manufacturing LAN"
26,,"10.128.30.64","10.128.30.64/26",Dublin,"Dublin Controller LAN","-","Controller LAN"
30,"","10.128.90.0","10.128.90.0/30",Philadelphia,"Philadelphia External Gateway","-",DMZ
29,,"10.128.90.8","10.128.90.8/29",Philadelphia,"Philadelphia DMZ","-",DMZ
28,,"10.128.90.16","10.128.90.16/28",Philadelphia,"Philadelphia Enterprise LAN","-","Enterprise LAN"
28,,"10.128.90.32","10.128.90.32/28",Philadelphia,"Philadelphia Manufacturing LAN","-","Manufacturing LAN"
26,,"10.128.90.64","10.128.90.64/26",Philadelphia,"Philadelphia Controller LAN","VLAN502","Controller LAN"
30,"","10.128.80.0","10.128.80.0/30","San Juan","San Juan External Gateway","-",DMZ
29,,"10.128.80.8","10.128.80.8/29","San Juan","San Juan DMZ","-",DMZ
28,,"10.128.80.16","10.128.80.16/28","San Juan","San Juan Enterprise LAN","-","Enterprise LAN"
27,,"10.128.80.32","10.128.80.32/27","San Juan","San Juan Manufacturing LAN","-","Manufacturing LAN"
26,,"10.128.80.64","10.128.80.64/26","San Juan","San Juan Controller LAN","-","Controller LAN"
30,"","10.128.70.0","10.128.70.0/30",Tuas,"Tuas External Gateway","-",DMZ
28,,"10.128.70.16","10.128.70.16/28",Tuas,"Tuas DMZ","-",DMZ
28,,"10.128.70.32","10.128.70.32/28",Tuas,"Tuas Enterprise LAN","-","Enterprise LAN"
27,,"10.128.70.64","10.128.70.64/27",Tuas,"Tuas Manufacturing LAN","-","Manufacturing LAN"
27,,"10.128.70.96","10.128.70.96/27",Tuas,"Tuas Controller LAN","VLAN502","Controller LAN"
