"cve_id","cve_details","cve_description","percent_of_affected_assets_by_criticality","percent_of_affected_assets_by_criticality_by_site","percent_of_affected_assets_by_zone","percent_of_affected_assets_by_zone_by_site","total_affected_assets","total_affected_assets_by_site"
"CVE-2012-3016","Berlin:0:0:0:2:c2736a-b2c006-16a3f118-721b","Siemens SIMATIC S7-400 PN CPU devices with firmware 6 before 6.0.3 allow remote attackers to cause a denial of service (defect-mode transition and service outage) via crafted ICMP packets.","Critical:2","Berlin;Critical:2","Controller LAN:2","Berlin;Controller LAN:2",2,"Berlin:2"
"CVE-2012-4690","Philadelphia:0:0:0:5:4f2705-a6aa2f-972ecfc3-0a9b","Rockwell Automation Allen-Bradley MicroLogix controller 1100, 1200, 1400, and 1500; SLC 500 controller platform; and PLC-5 controller platform, when Static status is not enabled, allow remote attackers to cause a denial of service via messages that trigger modification of status bits.","Critical:3,High:1,Medium:1","Philadelphia;Critical:3,High:1,Medium:1","Controller LAN:5","Philadelphia;Controller LAN:5",5,"Philadelphia:5"
"CVE-2014-3888","Tuas:0:0:0:8:90dc8b-55f7f8-d0cc5b00-5509","Stack-based buffer overflow in BKFSim_vhfd.exe in Yokogawa CENTUM CS 1000, CENTUM CS 3000 R3.09.50 and earlier, CENTUM VP R5.03.20 and earlier, Exaopc R3.72.00 and earlier, B/M9000CS R5.05.01 and earlier, and B/M9000 VP R7.03.01 and earlier, when FCS/Test Function is enabled, allows remote attackers to execute arbitrary code via a crafted packet.","Critical:4,High:4","Tuas;Critical:4,High:4","Controller LAN:8","Tuas;Controller LAN:8",8,"Tuas:8"
"CVE-2015-3322","Berlin:0:0:0:1:dd9e51-b62333-11df1911-3d4b,San Juan:0:0:0:1:4bc3f6-4cf368-53dbca4d-2cd0","Lenovo ThinkServer RD350, RD450, RD550, RD650, and TD350 servers before 1.26.0 use weak encryption to store (1) user and (2) administrator BIOS passwords, which allows attackers to decrypt the passwords via unspecified vectors.","Medium:2","Berlin;Medium:1|San Juan;Medium:1","Enterprise LAN:1,DMZ:1","Berlin;Enterprise LAN:1|San Juan;DMZ:1",2,"Berlin:1,San Juan:1"
"CVE-2018-0024","Tuas:0:0:0:2:368ffd-ef3244-094a77b7-dcde","An Improper Privilege Management vulnerability in a shell session of Juniper Networks Junos OS allows an authenticated unprivileged attacker to gain full control of the system. Affected releases are Juniper Networks Junos OS: 12.1X46 versions prior to 12.1X46-D45 on SRX Series; 12.3X48 versions prior to 12.3X48-D20 on SRX Series; 12.3 versions prior to 12.3R11 on EX Series; 14.1X53 versions prior to 14.1X53-D30 on EX2200/VC, EX3200, EX3300/VC, EX4200, EX4300, EX4550/VC, EX4600, EX6200, EX8200/VC (XRE), QFX3500, QFX3600, QFX5100;; 15.1X49 versions prior to 15.1X49-D20 on SRX Series.","Critical:2","Tuas;Critical:2","Controller LAN:1,Manufacturing LAN:1","Tuas;Controller LAN:1, Manufacturing LAN:1",2,"Tuas:2"
"CVE-2018-0161","Philadelphia:0:0:0:1:6c477a-73d08a-3e0f1745-b6b6,San Juan:0:0:0:2:b09dc1-d45fd6-f6ce8c0c-4f54","A vulnerability in the Simple Network Management Protocol (SNMP) subsystem of Cisco IOS Software running on certain models of Cisco Catalyst Switches could allow an authenticated, remote attacker to cause a denial of service (DoS) condition, aka a GET MIB Object ID Denial of Service Vulnerability. The vulnerability is due to a condition that could occur when the affected software processes an SNMP read request that contains a request for the ciscoFlashMIB object ID (OID). An attacker could trigger this vulnerability by issuing an SNMP GET request for the ciscoFlashMIB OID on an affected device. A successful exploit could cause the affected device to restart due to a SYS-3-CPUHOG. This vulnerability affects the following Cisco devices if they are running a vulnerable release of Cisco IOS Software and are configured to use SNMP Version 2 (SNMPv2) or SNMP Version 3 (SNMPv3): Cisco Catalyst 2960-L Series Switches, Cisco Catalyst Digital Building Series Switches 8P, Cisco Catalyst Digital Building Series Switches 8U. Cisco Bug IDs: CSCvd89541.","Critical:3","Philadelphia;Critical:1|San Juan;Critical:2","Controller LAN:2,Manufacturing LAN:1","Philadelphia;Controller LAN:1|San Juan;Manufacturing LAN:1,Controller LAN:1",3,"Philadelphia:1,San Juan:2"
"CVE-2018-1207","Dublin:0:0:0:1:efc2ce-c9adf3-898cf9d2-aad9","Dell EMC iDRAC7/iDRAC8, versions prior to 2.52.52.52, contain CGI injection vulnerability which could be used to execute remote code. A remote unauthenticated attacker may potentially be able to use CGI variables to execute remote code.","Critical:1","Dublin;Critical:1","Enterprise LAN:1","Dublin;Enterprise LAN:1",1,"Dublin:1"
"CVE-2018-12590","Dublin:3:0:0:0:532e1d-2b0dd1-b0106205-1e4b","Ubiquiti Networks EdgeSwitch version 1.7.3 and prior suffer from an externally controlled format-string vulnerability due to lack of protection on the admin CLI, leading to code execution and privilege escalation greater than administrators themselves are allowed. An attacker with access to an admin account could escape the restricted CLI and execute arbitrary code.","High:3","Dublin;High:3","Enterprise LAN:1,Manufacturing LAN:1,Controller LAN:1","Dublin;Enterprise LAN:1,Manufacturing LAN:1,Controller LAN:1",3,"Dublin:3"
"CVE-2018-9867","Dublin:1:0:0:0:5b210c-12d911-a0ec3248-7219,Tuas:0:0:0:1:15945c-f18d39-062d7d31-f6a9","In SonicWall SonicOS, administrators without full permissions can download imported certificates. Occurs when administrators who are not in the SonicWall Administrators user group attempt to download imported certificates. This vulnerability affected SonicOS Gen 5 version 5.9.1.10 and earlier.","Critical:1,High:1","Dublin;Critical:1|Tuas;High:1","DMZ:2","Dublin;DMZ:1|Tuas;DMZ:1",2,"Dublin:1,Tuas:1"
"CVE-2019-0654","Berlin:0:1:0:0:417685-5b9801-a433a08f-7f70","A spoofing vulnerability exists when Microsoft browsers improperly handles specific redirects, aka 'Microsoft Browser Spoofing Vulnerability'.","Low:1","Berlin;Low:1","DMZ:1","Berlin;DMZ:1",1,"Berlin:1"
