relative_time,site,host_name,ip_address,device_type,manufacturer,former_value,new_value,change_type
today-9:3747,Berlin,BER-SIM1200-PALLETIZER2,10.137.128.70,PLC,Siemens,1,-,Data Overwritten
today-5:28384,Dublin,DUB-SE3007_1-LINE1,10.128.30.68,PLC,Emerson,0,1,Logic Changed
today-6:342,Dublin,DUB-SE3007_1-LINE3,10.128.30.74,PLC,Emerson,14,10,Firmware Downgraded
today-3:69872,Dublin,DUB-SE3007_2-LINE2,10.128.30.72,PLC,Emerson,0,1,Force Installed
today-6:8134,Dublin,DUB-SE3007_2-LINE3,10.128.30.75,PLC,Emerson,RUNNING,STOP,Status Mode Change 
today-6:342,Dublin,DUB-SE3007_2-LINE3,10.128.30.74,PLC,Emerson,0,1,Firmware Upgraded
today-13:14500,Dublin,DUB-SE3007_2-LINE3,10.128.30.75,PLC,Emerson,0,1,Firmware Upgrade
today-7:63384,Dublin,DUB-SE3007_3-LINE1,10.128.30.82,PLC,Emerson,10.128.30.82,10.128.30.70,IP Address Change
today-3:84573,Dublin,DUB-SE3007_3-LINE2,10.128.30.73,PLC,Emerson,1,-,Data Overwritten
today-6:38475,Philadelphia,PHL-AB1400-CONVEYER02,10.128.90.71,PLC,Rockwell,0,1,Force Installed 
today-29:59657,Philadelphia,PHL-AB1400-LABELER01,10.128.90.72,PLC,Rockwell,RUNNING,STOP,Status Mode Change 
today-4:19283,Philadelphia,PHL-AB1400-LABELER01,10.128.90.72,PLC,Rockwell,0,1,Firmware Upgrade
today-5:39558,San Juan,SJN-SE3007_1-FINISH1,10.128.80.21,PLC,Emerson,10.128.80.21,10.128.80.71,IP Address Change
today-7:29222,Tuas,TUS-FA-M3V_1-LINE4,10.128.70.106,PLC,Yokogawa,0,1,Logic Changed
today-8:78254,Tuas,TUS-FA-M3V_2-LINE1,10.128.70.101,PLC,Yokogawa,RUNNING,REMOTE,Status Mode Change 
today-7:73954,Tuas,TUS-FA-M3V_2-LINE4,10.128.70.107,PLC,Yokogawa,10.128.70.107,10.128.70.200,IP Address Change
today-6:48559,Tuas,TUS-HMI01-LINE2,10.128.70.93,HMI,Yokogawa,10.128.70.93,10.128.70.70,IP Address Change
today-1:1200,Dublin,DUB-SE3007_1-LINE3,10.128.30.74,PLC,Emerson,RUNNING,REMOTE,Status Mode Change 
today-1:1400,Dublin,DUB-SE3007_1-LINE3,10.128.30.74,PLC,Emerson,0,1,Logic Changed
today-1:1600,Dublin,DUB-SE3007_1-LINE3,10.128.30.74,PLC,Emerson,0,1,Fault Recognized
