_key,first_communication,is_running,operating_system,purdue_level,zone,host_ip,device_name,status,manufacturer,firmware_version,model,location,vlan,force_installed,physical_addr,is_in_remote_access_mode,originating_source,asset_criticality,conflict_keys,is_programmable,device_type,subnet,cpe_uri,site,host_name,plc_mode,auto_merge
004ad9-178017-c29e5f76-e680,,,Windows Server 2012 R2 DC,2,Facility Operations & Control,10.137.128.49,,null,VMware,1.2,VM,Building C,,,00:50:56:BF:71:3A,,,Medium,,,HMI,10.137.128.0/24,cpe:/o:vmware:esx:2.1.2,NBP,piserver,,
00b8ad-8bf431-057444b6-da73,,,,,"[""Control Devices"", ""Control Devices""]","[""10.128.70.224"", ""192.168.100.224""]","[""MicroLogix_Channel.TravelBox MicroLogix_1400"", ""Travel_Demo.MicroLogix1400""]",,"[""Allen-Bradley"", ""Allen-Bradley""]",,"[""1766-L32BWA B/16.00 MicroLogix140..."", ""1766-L32BWA B/16.00 MicroLogix140...""]","[""TravelDemo1"", ""TravelDemo1""]",,FALSE,"[""NULL"", ""NULL""]",,,"[""High"", ""High""]",671fc4-7cb9b7-bfbcf0c7-8600,,"[""PLC"", ""PLC""]","[""10.128.70.0/24"", ""192.168.100.0/24""]",cpe:/h:rockwellautomation:micrologix_1400:-,"[""London"", ""London""]","[""PLC_MicroLogic1400"", ""PLC_MicroLogic1400""]",,
040f61-091c6f-15ac6350-8f23,,,Windows XP,,Process I/O,192.168.2.10,,,,,Test VM,,,,4b:c7:9b:ae:7e:35,,,High,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 10,,
062d9c-6e9e85-c49faab2-20e0,,,,,Process I/O,NULL,,,,,,,,,NULL,,,Low,,,Unknown,,,McLean,testingNewDevice,,
06732c-7246b8-4f583c76-535a,,FALSE,,,Control Devices,10.128.70.165,MicroLogix_Channel.MicroLogix_1100_2,,Allen-Bradley,10,MicroLogix1100 MicroPelican,4085,,,NULL,TRUE,,Low,,TRUE,PLC,10.128.70.0/24,cpe:/h:rockwellautomation:micrologix_1100:-,McLean,MicroLogix1100 MicroPelican,,
082b06-5c9bd1-6f6f68e7-41cc,,,Windows 10 Pro,,DMZ,10.137.128.17,,,VMware,,VM,CSN,,,00:50:56:BF:44:64,,,Low,,,Desktop,10.137.128.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,NBP,otdr_analyst_07,,
097a7d-22ebb4-d3b925f3-10c0,,,Windows XP,,Process I/O,192.168.2.1,,,,,Test VM,,,,6c:52:1e:e9:34:2d,,,Low,,,Desktop,,cpe:/o:microsoft:windowst:vista:sp1:x64-ultimate,McLean,Test Host 01,,
09c5d6-e2b664-20c1f9af-9a05,,,,,DMZ,192.168.100.226,,,,,,TravelDemo1,,,NULL,,,Medium,,,Firewall,192.168.100.0/28,,London,eagle-one,,
0c1021-da7c75-6ee5943e-9b66,,,,,Process I/O,10.128.70.229,,,,,,,,,NULL,,,Low,,,Unknown,,,McLean,10.128.70.229,,
0da748-275fd8-e6856188-9067,,,,,Area Supervisory Control,10.128.70.228,,,VMware,,VM,TravelDemo1,,,NULL,,,Low,,,Laptop,10.128.70.0/24,cpe:/o:vmware:photon_os:1.0:2016-08-14,London,DESKTOP-REVBK2J,,
0f4f0e-65b662-b61f6dc4-96ea,,,,,Internet,10.128.70.180,,,,,,4083,,,NULL,,,Low,,,Laptop,10.128.70.0/24,,McLean,desktop-tlg93ub,,
1a91ab-21043c-0fb973d9-b44c,,,,,Corporate LAN,192.168.100.227,,,,,,TravelDemo1,,,NULL,,,High,,,Laptop,192.168.100.0/29,,London,ubuntu,,
1f6266-3f9d27-a9aeb0a1-e6e6,,,,,Area Supervisory Control,10.128.70.150,,,Allen-Bradley,,,ICS1,,,NULL,,,Low,,,HMI,10.128.70.0/24,cpe:/h:rad:asm-40:-,McLean,PanelView800,,
204ffc-55846b-22eb9d7e-8d07,,,,,Area Supervisory Control,10.128.70.181,,,,,,4085,,,NULL,,,Low,,,Laptop,10.128.70.0/24,,McLean,lab530-laptop,,
