Policy ID, Policy, Description, Recommendation, CQL, URL
AWS_000001,Security groups that allow access from all external sources(0.0.0.0/0).,"Allowing Inbound traffic from any IPv4 address - 0.0.0.0/0 can lead to attacks like DoS, Brute Force, Smurf, and reconnaissance. It is a best practice to restrict inbound traffic from the required source IP address(es).","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule",SecurityGroup should not have inboundRules with [sourceIPv4Ranges with [cidr='0.0.0.0/0']], https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html
AWS_000002,Security groups that allow access to all external sources(0.0.0.0/0).,"Allowing Outbound traffic to any IPv4 address - 0.0.0.0/0 can lead to internal resources accessing unwanted and untrusted resources. If a system is compromised, an attacker can use it to exfiltrate data or conduct spam or phishing campaigns. It is a best practice to restrict outbound traffic to only required IP address(es).","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Outbound"" tab and click Edit. Replace the rule with Destination as 0.0.0.0/0 with specific IP address or delete the rule",SecurityGroup should not have outboundRules with [destIPv4Ranges with [cidr='0.0.0.0/0']], https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html
AWS_000003,Security groups that allow access to entire port range(0-65535) from external sources.,"Allowing Inbound traffic on ALL ports increases the attack surface of your environment. It is a best practice to follow the principle of least privilege, and grant access on only required ports.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Add the new rule with specific ports, and delete the rule granting access to port range 0-65535",SecurityGroup should not have inboundRules with [fromPort=0 and toPort=65535], https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html
AWS_000004,Security groups that allow access to entire port range(0-65535) of external sources.,"Allowing Outbound traffic to ALL ports can lead to internal resources accessing unwanted and untrusted resources. It is a best practice to follow the principle of least privilege, and grant access to only required ports.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Outbound"" tab and click Edit. Add the new rule with specific ports, and delete the rule granting access to port range 0-65535",SecurityGroup should not have outboundRules with [fromPort=0 and toPort=65535], https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html
AWS_000005,EC2 instances that allow access to port 22 from external sources.,"SSH (Secure Shell) port - 22 is used to get CLI access to Linux Instances. Allowing access from all IP addresses on the Internet to SSH port is vulnerable to ""banner grabbing"" and ""brute force"" attacks. As a best practice, it is recommended to restrict access from specific IP addresses to port 22.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=22 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000006,EC2 instances that allow access to port 3389 from external sources.,"RDP (Remote Desktop Protocol) port - 3389 is used to get remote control access to Windows Instances. Allowing access from all IP addresses on the Internet to RDP port is vulnerable to “remote code execution”, “privilege elevation” and “flooding attacks”. It is a best practice to restrict access from specific  IP addresses to port 3389.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=3389 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000007,EC2 instances that allow access to port 20 from external sources.,"FTP (File Transfer Protocol) port - 20 is used to setup FTP connection between the client and the server. Allowing access from all IP addresses on the Internet to FTP port makes it vulnerable to “FTP brute force attacks”, “Packet Sniffing” using  Man-In-The-Middle (MITM) attacks. It is a best practice to restrict access from specific IP addresses to port 20.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=20 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000008,EC2 instances that allow access to port 21 from external sources.,"FTP (File Transfer Protocol) port - 21 is used to transfer data between the client and the server. Allowing access from all IP addresses on the Internet to FTP port makes it vulnerable to “FTP brute force attacks”, “Packet Sniffing” using  Man-In-The-Middle (MITM) attacks. It is a best practice to restrict access from specific IP addresses to port 21.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=21 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000009,EC2 instances that allow access to port 23 from external sources.,"TELNET port - 23 is used to gain CLI access to the machines. Allowing access from all IP addresses on the Internet to TELNET port is vulnerable to “communication sniffing”, “brute force"" & ""DoS attacks”. It is a best practice to restrict access from specific IP addresses to port 23.","Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=23 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
AWS_000010,EC2 instances that allow access to port 25 from external sources.,SMTP port - 25 is used to send/receive emails. Allowing access from all IP addresses on the Internet to TCP Port 25 can be vulnerable to DoS and reconnaissance attacks. It is a best practice to restrict access from specific IP addresses to port 25.,"Log in to Amazon Console https://console.aws.amazon.com/, Choose EC2 or VPC Service. In the Navigation pane, choose ""Security Groups"". Select the security group to edit, click on the ""Inbound"" tab and click Edit. Replace the rule with Source as 0.0.0.0/0 with specific IP address or delete the rule","EC2Instance where isPublic=true should not have publicInboundRules with [port=25 and protocol in ('tcp', 'udp')]",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html
