time,planid,partnb,id,type,idsymbol,actual,nominal,uppertol,lowertol,deviation,exceed,warningLimitCF,featureid,featuresigma,comment,link,linkmode,mmc,useruppertol,userlowertol,fftphi,fftphiunit,zoneroundnessangle,groupname,groupname2,datumAid,datumBid,datumCid,natuppertolid,natlowertolid,featurePosX,featurePosY,featurePosZ,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10
1:00:00,Cyl Block,1,X ValueCircle1,X-Wert,xValue,38.409,38.4,0.05,-0.05,0.009,,100,Circle1,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,8.208,-2.2870692,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle1,Y-Wert,yValue,8.209,8.2,0.05,-0.05,0.009,,100,Circle1,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,8.208,-2.2870692,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle1,Durchmesser,diameter,12.011,12,0.05,-0.05,0.011,,100,Circle1,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,8.208,-2.2870692,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle2,X-Wert,xValue,38.409,38.4,0.05,-0.05,0.009,,100,Circle1,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,8.208,-2.2870692,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle2,Y-Wert,yValue,8.209,8.2,0.05,-0.05,0.009,,100,Circle1,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,8.208,-2.2870692,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle2,Durchmesser,diameter,12.09,12,0.05,-0.05,0.011,,100,Circle1,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,8.208,-2.2870692,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle3,X-Wert,xValue,38.409,38.4,0.05,-0.05,0.009,,100,Circle2,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,55.608,-2.930106,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle3,Y-Wert,yValue,55.609,55.6,0.05,-0.05,0.009,,100,Circle2,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,55.608,-2.930106,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle3,Durchmesser,diameter,12.011,12,0.05,-0.05,0.011,,100,Circle2,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,55.608,-2.930106,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle4,X-Wert,xValue,38.409,38.4,0.05,-0.05,0.009,,100,Circle2,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,55.608,-2.930106,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle4,Y-Wert,yValue,55.609,55.6,0.05,-0.05,0.009,,100,Circle2,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,55.608,-2.930106,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle4,Durchmesser,diameter,12.011,12,0.05,-0.05,0.011,,100,Circle2,0,,,,,0.05,-0.05,,,,,,,,,1,1,38.408,55.608,-2.930106,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle5,X-Wert,xValue,71.459,71.45,0.05,-0.05,0.009,,100,Circle3,0,,,,,0.05,-0.05,,,,,,,,,1,1,71.458,12.558,-1.8267137,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle5,Y-Wert,yValue,12.559,12.55,0.05,-0.05,0.009,,100,Circle3,0,,,,,0.05,-0.05,,,,,,,,,1,1,71.458,12.558,-1.8267137,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle5,Durchmesser,diameter,12.011,12,0.05,-0.05,0.011,,100,Circle3,0,,,,,0.05,-0.05,,,,,,,,,1,1,71.458,12.558,-1.8267137,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle6,X-Wert,xValue,71.459,71.45,0.05,-0.05,0.009,,100,Circle3,0,,,,,0.05,-0.05,,,,,,,,,1,1,71.458,12.558,-1.8267137,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle6,Y-Wert,yValue,12.559,12.55,0.05,-0.05,0.009,,100,Circle3,0,,,,,0.05,-0.05,,,,,,,,,1,1,71.458,12.558,-1.8267137,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle6,Durchmesser,diameter,12.011,12,0.05,-0.05,0.011,,100,Circle3,0,,,,,0.05,-0.05,,,,,,,,,1,1,71.458,12.558,-1.8267137,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle7,X-Wert,xValue,51.809,51.8,0.05,-0.05,0.009,,100,Circle4,0,,,,,0.05,-0.05,,,,,,,,,1,1,51.808,32.008,-3.5719082,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle7,Y-Wert,yValue,32.009,32,0.05,-0.05,0.009,,100,Circle4,0,,,,,0.05,-0.05,,,,,,,,,1,1,51.808,32.008,-3.5719082,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle7,Durchmesser,diameter,30.011,30,0.05,-0.05,0.011,,100,Circle4,0,,,,,0.05,-0.05,,,,,,,,,1,1,51.808,32.008,-3.5719082,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle8,X-Wert,xValue,51.809,51.8,0.05,-0.05,0.009,,100,Circle4,0,,,,,0.05,-0.05,,,,,,,,,1,1,51.808,32.008,-3.5719082,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle8,Y-Wert,yValue,32.009,32,0.05,-0.05,0.009,,100,Circle4,0,,,,,0.05,-0.05,,,,,,,,,1,1,51.808,32.008,-3.5719082,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle8,Durchmesser,diameter,30.011,30,0.05,-0.05,0.011,,100,Circle4,0,,,,,0.05,-0.05,,,,,,,,,1,1,51.808,32.008,-3.5719082,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle9,X-Wert,xValue,42.009,42,0.05,-0.05,0.009,,100,Circle5,0,,,,,0.05,-0.05,,,,,,,,,1,1,42.008,3.0435043,-33.992,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle9,Y-Wert,yValue,3.0445043,3.0355043,0.05,-0.05,0.009,,100,Circle5,0,,,,,0.05,-0.05,,,,,,,,,1,1,42.008,3.0435043,-33.992,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle9,Durchmesser,diameter,30.011,30,0.05,-0.05,0.011,,100,Circle5,0,,,,,0.05,-0.05,,,,,,,,,1,1,42.008,3.0435043,-33.992,,,,,,,,,,
1:00:00,Cyl Block,1,X ValueCircle10,X-Wert,xValue,42.009,42,0.05,-0.05,0.009,,100,Circle5,0,,,,,0.05,-0.05,,,,,,,,,1,1,42.008,3.0435043,-33.992,,,,,,,,,,
1:00:00,Cyl Block,1,Y ValueCircle10,Y-Wert,yValue,3.0445043,3.0355043,0.05,-0.05,0.009,,100,Circle5,0,,,,,0.05,-0.05,,,,,,,,,1,1,42.008,3.0435043,-33.992,,,,,,,,,,
1:00:00,Cyl Block,1,DiameterCircle10,Durchmesser,diameter,30.011,30,0.05,-0.05,0.011,,100,Circle5,0,,,,,0.05,-0.05,,,,,,,,,1,1,42.008,3.0435043,-33.992,,,,,,,,,,
