"table_name","user_name","manager_name","role_name","app_name","job_name","index_name","host_name",label,"custom_key","custom_name","biz_unit","biz_division","biz_dep","biz_desc","biz_owner","biz_email","perc_ownership",name,type,status,title,email,manager,"manager_id",entitlement,"yearly_cost","is_admin",notes,"service_name","tag_name","team_name","source_name","sourcetype_name"
"access_control",,,"*admin",,,,,,,,"*",,,,,,,,,,,,,,,,yes,"Users in roles ending with admin are able to see all bunits and administer the app",,,,,
"access_control",,,"*roles_containing*",,,,,,,,"Business Unit 5",,,,,,,,,,,,,,,,no,"Users in roles matching a string can only see bunit5",,,,,
"access_control",,,"*roles_ending_with",,,,,,,,"Business Unit 4",,,,,,,,,,,,,,,,no,"Users in roles ending with a string can only see bunit4",,,,,
"access_control",,,role1,,,,,,,,"Business Unit 1,Global Information Security",,,,,,,,,,,,,,,,no,"Users in role1 can only see bunit1",,,,,
"access_control",,,role2,,,,,,,,"Business Unit 2",,,,,,,,,,,,,,,,no,"Users in role2 can only see bunit2",,,,,
"access_control",,,role3,,,,,,,,"Business Unit 1,Business Unit 2",,,,,,,,,,,,,,,,no,"Users in role3 can see both bunit1 and bunit2",,,,,
"access_control",,,"roles_starting_with*",,,,,,,,"ABC*,XYZ",,,,,,,,,,,,,,,,no,"Users in roles starting with a string can see all bunits starting with ABC and XYZ",,,,,
app2bunit,,,,app1,,,host123,,,,bunit1,division1,department1,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,app2,,,host456,,,,bunit2,division2,department2,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"apps_starting_with*",,,,,,,bunit3,division3,department3,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"*apps_ending_with",,,,,,,bunit4,division4,department4,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"*apps_containing*",,,,,,,bunit5,division5,department5,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"*global_monitoring_console*",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"chargeback_app_splunk_cloud",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"cloud_administration",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"data_manager",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,dmc,,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"dynamic-data-self-storage-app",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
app2bunit,,,,"introspection_generator_addon",,,,,,,Splunk,Splunk,Splunk,,,,100,,,,,,,,,,,,,,,,
