asset_category,tags,description,asset,related_info,contributor,asset_type
splunk_internal,dashboard audit,Dashboards that have not been viewed in over 21 days or are orphaned.,"| rest splunk_server=local /servicesNS/-/-/data/ui/views
| stats count values(eai:acl.sharing) values(eai:acl.owner) AS owner by title, eai:acl.app
| rename eai:acl.app AS app
| eval last_view_time_days_ago=-1
| eval last_view_time_days_ago_pretty=""no views in last 30 days""
| join type=outer title app
    [ search index=""_internal"" sourcetype=splunk_web_access GET app earliest=-30d@d
    | rex ""GET /[^/]+/app/(?<app>[^/ ?]+)/(?<title>[^\/\?\s]+)""
    | search app=* AND title=* AND user=* AND user!=""-""
    | stats latest(_time) AS last_view_time latest(user) AS last_user by app, title
    | eval last_view_time_days_ago=round(abs(now()-last_view_time),0)
    | eval last_view_time_days_ago_pretty=tostring(last_view_time_days_ago, ""duration"")
    | convert ctime(last_view_time)]
| where last_view_time_days_ago > (60*60*24*21) OR last_view_time_days_ago=-1",,Splunk,1
splunk_internal,search audit,Spread out scheduled searches.,"index=_internal source=*metrics.log group=searchscheduler
| timechart partial=false span=10m sum(dispatched) AS Started sum(skipped) AS Skipped",,Splunk,1
splunk_internal,search audit user,Number of users who can run real-time searches.,"index=_internal host=acdc-sec-splk-shcp2.cdc.gov source=*metrics.log group=search_concurrency ""system total"" NOT user=*
| timechart max(active_realtime_searches) AS ""Max Real-Time Searches""",,Splunk,1
splunk_internal,search audit,"User training for overall search best practices (e.g. specifying indexes/sourcetypes, when wildcards are appropriate, and using proper time ranges).","index=_audit [|rest /services/server/info splunk_server=local
| fields host]  action=search user=* user!=splunk-system-user search_id=* (info=granted OR info=completed)
|rex field=apiStartTime ""'(?<start_time>[^']+)'""
|rex field=apiEndTime ""'(?<end_time>[^']+)'""
|rex ""search\=(?<search_string>.+)\,\sautojoin""
|eval range=if(start_time==""ZERO_TIME"",""All Time"", tostring(strptime(end_time, ""%a %b %d %H:%M:%S %Y"") - strptime(start_time, ""%a %b %d %H:%M:%S %Y""),""duration""))
|eval range2=if(start_time==""ZERO_TIME"",""All Time"", strptime(end_time, ""%a %b %d %H:%M:%S %Y"") - strptime(start_time, ""%a %b %d %H:%M:%S %Y""))
|stats max(event_count) AS event_count values(start_time) AS ""Search Earliest"" values(end_time) AS ""Search Latest"" count values(range) AS range values(range2) AS range2 values(search) AS Search values(user) AS User max(total_run_time) AS run_time(sec) by search_id savedsearch_name
| convert ctime(*Time) ctime(""Search Start"") ctime(""Search End"")
|where count>1 |rename search_id AS SID range AS ""Search Range""
| eval ""Run Time""=tostring('run_time(sec)',""duration"")
| eval ""Overran?""=if('run_time(sec)'>range2,""Overran its range!!!"", ""NO"")
| eval SID = trim(SID, ""'"")
| table SID savedsearch_name event_count ""Search Earliest"" ""Search Latest"" ""Search Range"" Search User ""run_time(sec)"" ""Overran?"" ""Run Time""
| sort - ""Run Time""",,Splunk,1
splunk_internal,sourcetype index,Sourcetypes within an index,"| metadata type=sourcetypes index=""INDEX""",,Splunk,1
splunk_internal,sourcetype,"Return the values of ""sourcetypes"" for events in the ""_internal"" index.",| metadata type=sourcetypes index=_internal,,Splunk,1
splunk_internal,sourcetype,"Return the values of ""sourcetypes"" for events in the non internal indexes.",| metadata type=sourcetypes index=* NOT _internal,,Splunk,1
splunk_internal,typeahead,Typeahead values for an index.,| typeahead prefix=source count=10 index=_internal,http://docs.splunk.com/Documentation/Splunk/6.1/SearchReference/Typeahead,Splunk,1
splunk_internal,events,Indexes an event counts within an app,| eventcount summarize=false index=* | dedup index | fields index count,,Splunk,1
splunk_internal,index,Get a high level summary of your indexes (must be run on the indexer):,| dbinspect,,Splunk,1
splunk_internal,hosts splunkd,Find out what hosts (or sources or sourcetypes) have sent data to Splunk:,| metadata type=hosts,,Splunk,1
splunk_internal,web access,Check indexers to see if web access is available,"| btool web
| where app!=""learned"" AND ([| inputlookup assets.csv where search_group=""dmc_customgroup_Indexer""
| stats count by host
| fields + host
| rename host AS sos_server
| format])
|  stats dc(app) AS app_count count AS stanza_count sum(linecount) AS setting_count by sos_server
| eventstats mode(stanza_count) AS mode_st mode(setting_count) AS mode_lc mode(app_count) AS mode_app
| eval Status=if(mode_st!=stanza_count OR mode_lc!=setting_count OR mode_app!=app_count,""elevated!!!deviation found"", ""low!!!ok"")
| eval ""Application Deviation""=app_count-mode_app
| eval ""Setting Deviation""=setting_count-mode_lc
| eval ""Stanza Deviation""=stanza_count-mode_st
| fields - mode*
| rename sos_server AS Host app_count AS ""Unique Applications"" stanza_count AS ""Stanza Count"" setting_count AS ""Setting Count""
| sort Status",,Splunk,1
splunk_internal,epoch,Convert ctime(*Time)” to make the epoch time readable:,"| metadata type=hosts
 | convert ctime(*Time)",,Splunk,1
splunk_internal,user audit,Shows users by search time,"index=_audit action=search (id=* OR search_id=*)
| eval search_id = if(isnull(search_id), id, search_id)
| replace '*' with * in search_id
| rex ""search='(?<search>.*?)', autojoin""
| search search_id!=scheduler_*
| convert num(total_run_time)
| rex ""\,\s+user=(?<user>\S+),""
| eval user = if(user=""n/a"", null(), user)
| stats min(_time) as _time first(user) as user max(total_run_time) as total_run_time first(search) as search by search_id host
| search search=search* search!=*_internal* search!=*_audit*
| stats median(total_run_time) as ""Median search time"" perc95(total_run_time) as ""95th Percentile search time"" sum(total_run_time) as ""Total search time"" count as ""Search count"" max(_time) as ""Last use"" by user host
| fieldformat ""Last use"" = strftime('Last use', ""%F %T.%Q %:z"")
| rename host AS ""Search Head""
| sort - ""Median search time""",,Splunk,1
splunk_internal,user audit,Shows what user did what over time and what was the outcome,index=_audit | table _time user action info,,Splunk,1
splunk_internal,field,Create a field whose name is the value of another field.,| eval {aName}=aValue,http://answers.splunk.com/answers/103700/how-do-i-create-a-field-whose-name-is-the-value-of-another-field-like-backticks-or-eval-in-other-languages,Splunk,1
splunk_internal,sourcetypes,Top Five Sourcetypes,"index=_internal (source=*/metrics.log* OR source=*\\metrics.log*) group=per_sourcetype_thruput
| chart sum(kb) by series
| sort -sum(kb)
| head 5",,Splunk,1
splunk_internal,splunkd errors,Splunk Errors,index=_internal  error  NOT debug source=*splunkd.log*,,Splunk,1
splunk_internal,errors,Errors in the last 24 hours,index=* error OR failed OR severe OR ( sourcetype=*access* ( 404 OR 500 OR 503 ) ),,Splunk,1
splunk_internal,license,License Usage Data Cube,"index=_internal source=*license_usage.log type=""Usage""
| eval h=if(len(h)=0 OR isnull(h),""(SQUASHED)"",h)
| eval s=if(len(s)=0 OR isnull(s),""(SQUASHED)"",s)
| eval idx=if(len(idx)=0 OR isnull(idx),""(UNKNOWN)"",idx)
| bin _time span=1d
| stats sum(b) as b by _time, pool, s, st, h, idx",,Splunk,1
splunk_internal,server roles pwn,"Return a list of all Splunk Hosts their ROLES in the cluster, GUID, and Version","index=_internal sourcetype=splunkd component=ServerRoles role!=license_slave* role!=search_peer*
| rex field=role ""(?<role>\S+)\.""
| dedup host role
| join host
[ |rest splunk_server=* /services/server/info
| rename serverName AS host
| fields host guid version]
| rename server_role AS role
| table host role guid version",,,
splunk_internal,uf inputs,"Are my forwarders connecting to my receiver? Which IP addresses are connecting to
Splunk as inputs, and how many times is each IP logged in metrics.log?","index=_internal source=*metrics.log* tcpin_connections
| stats count by sourceIp",http://docs.splunk.com/Documentation/Splunk/latest/Troubleshooting/Cantfinddata,Splunk,1
splunk_internal,hosts nodata,What hosts (not forwarder/TCP inputs) have logged an event to Splunk in the last 10 minutes? (Including rangemap.),"| metadata type=hosts index=INDEX
| eval diff=now()-recentTime
| where diff < 600
| convert ctime(*Time)
| stats count
| rangemap field=count low=800-2000 elevated=100-799 high=50-99 server=0-49",http://docs.splunk.com/Documentation/Splunk/latest/Troubleshooting/Cantfinddata,Splunk,1
splunk_internal,internal,Are you SURE your time range is correct? (You wouldn't be the first!) Search over all time to double check. Check for lag.,"index=*
| eval time=_time
| eval itime=_indextime
| eval lag=(itime - time)/60
| stats avg(lag), min(lag), max(lag) by index host sourcetype",http://docs.splunk.com/Documentation/Splunk/latest/Troubleshooting/Cantfinddata,Splunk,1
splunk_internal,bucket eps stats _time pwn,Do  a splunk search over the index you are putting messages into and bucket it up by seconds to get the event per second rate.,"index=*
 | bucket _time span=1s | stats count by _time",,Splunk,1
splunk_internal,sourcetype,Sourcetype Searches,"index=*
 | stats count by sourcetype",,Splunk,1
splunk_internal,license,Data Consumption,"index=_internal source=*license_usage.log type=Usage
| eval GB = b/1024/1024/1024
| timechart sum(GB) as GBytes
| streamstats sum(GBytes) as GB_Used
| predict GB_Used as GB_Expected algorithm=LLT future_timespan=14
| fields – Gbytes",,Splunk,1
splunk_internal,license,Counted against license,"index=_internal source=* license_usage.log type=Usage
| stats sum(b) as bytes by date_wday, date_mday, date_month, idx
| eval GB = round(bytes/1024/1024/1024,5)
| table date_wday, date_mday, date_month, GB, idx",,Splunk,1
splunk_internal,splunkd events,Count number of events of Splunk processes,| eventcount index=_internal,,Splunk,1
splunk_internal,meta,Metadata Searches,| metadata index=* type=sources,,Splunk,1
dev,dev,Clears browser cache.,| rest /servicesNS/-/-/configs/conf-props/_reload,,Splunk,1
dev,dev,Clears browser cache.,| rest /servicesNS/-/-/admin/monitor/_reload(splunkURL)/en-us/debug/refresh,,Splunk,1
dev,cache,Clears browser cache.,| extract reload=t,,Splunk,1
dev,cache,Clears browser cache.,../enUs/debug/refresh,,Splunk,2
web,referer,Top Referer,"index=""*"" sourcetype=*access*
| top referer
| fields referer percent","The HTTP referer is an HTTP header field that identifies the address of the webpage (i.e. the URI or IRI) that linked to the resource being requested. By checking the referer, the new webpage can see where the request originated.",grdhg24,1
web,gets posts,Gets vs Posts,"index=* sourcetype=*access*
| chart count(eval(method=""GET"")) AS GET,count(eval(method=""POST"")) AS POST",Easy Pie Chart,grdhg24,1
web,sparkline,Sparkline by Client IP,"index=*  sourcetype=""*access*""
| stats sparkline count by clientip | sort -count",Sparkline by IP,grdhg24,1
web,host,Who has accessed in the last 7 days.,"index=* sourcetype=*access* earliest=-7d@d latest=now
| timechart count by host",External access by outside sources.,grdhg24,1
web,predict,Prediction of traffic based on the Kalman Algorithm.,"index=* sourcetype=""*access*""
| timechart count(bytes) as traffic
| streamstats sum(traffic) as total_traffic
| predict total_traffic as expected_traffic algorithm=LLT future_timespan=14",,grdhg24,1
web,predict,Prediction of traffic based on the Kalman Algorithm w/explicit fields assigned to display.,"index=* sourcetype=""*access*""
| timechart count(bytes) as traffic
| streamstats sum(traffic) as total_traffic
| predict total_traffic as expected_traffic algorithm=LLT future_timespan=14
| fields total_traffic, expected_traffic",,grdhg24,1
web,host access,Hits by Host without Internal access for last 7 days.,"index=* sourcetype=*access* earliest = -7d@d latest = now clientip != 192*
| timechart count by host",,grdhg24,1
web,host hits,Hits by host for last 7 days.,"index=* sourcetype=*access* earliest = -7d@d latest = now
| timechart count by host",,grdhg24,1
web,status,Traffic with Good HTTP status for last 7 days.,"index=* sourcetype=*access* earliest=-7d@d latest=now status>100 status<300
| timechart count BY status",,grdhg24,1
web,status,Traffic with Bad HTTP status for last 7 days.,"index=* sourcetype=*access* earliest = -7d@d latest = now status>300
| timechart count BY status",,grdhg24,1
web,status bad,Top pages by bad HTTP status for last 7 days.,"index=* sourcetype=*access* earliest = -7d@d latest = now status>=300
| stats dc(clientip) as ""unique ips"" count as ""total count"" by uri, status",,grdhg24,1
web,web realtime users tag,Real Time Users,"index=* tag=web
| timechart dc(clientip) AS unique_visitors by host",,grdhg24,1
web,web,Average Queue Size,"index=* sourcetype=""*access*""
| eval bytes = bytes / 170
| timechart avg(bytes)",https://serverfault.com/questions/tagged/splunk,grdhg24,1
web,web status sparkline rename,Top Statuses Sparklines,"index=* sourcetype=""*access*""
| stats count(status) as count sparkline(count) by status_description
|  rename status_description as ""http status code""
| sort - count",https://docs.splunk.com/Documentation/SplunkCloud/6.6.1/Search/Addsparklinestosearchresults,grdhg24,1
web,web geo ui map,User Demographics by Region: Geo Map,"index=* sourcetype=""*access*""
| iplocation clientip
| geostats count by Country",https://www.splunk.com/blog/2017/04/25/mapping-with-splunk.html,grdhg24,1
web,ui chloropleth geo,User Demographics by Region: Chloropleth,"index=* sourcetype=""*access*""
| iplocation clientip
| stats count by Country
| geom geo_countries featureIdField=""Country""",https://www.splunk.com/blog/2017/04/25/mapping-with-splunk.html,grdhg24,1
web,web bounce,Bounce Rate (Enters and exits on the same page) (Pie Chart),"index=""*"" sourcetype=""*access*""
| transaction clientip maxpause=1h keepevicted=t mvlist=t
| eval user_type=case (eventcount=1,""Bounced"", eventcount<=5, ""2-5 pages"", eventcount<=10, ""6-10 pages"")
| top  limit=5000 user_type",,grdhg24,1
web,web unique,Total Unique Client IPs Over Time,"index=""*"" sourcetype=""*access*""
| timechart distinct_count(FIELD) span=1h",,grdhg24,1
web,security,Detect ShellShock Attempts in Apache Logs,"index=""*"" sourcetype=""*access*"" http_method=POST request=""*{ :;};*"" OR request=""*/bin/*""",,mjeffery,1
web,web catenation strcat,"Add the field: ""comboIP"". Values of ""comboIP"" = ""sourceIP"" + ""/"" + ""destIP"".","index=""*""
|  strcat source* ""/"" dest* combo*",,grdhg24,1
web,web,"Keep the ""host"" and ""ip"" fields, and display them in the order: ""host"", ""ip""","index=""*"" sourcetype=""*access*""
| fields + host, ip",,grdhg24,1
web,rare,"Return the least common values of the ""url"" field.","index=* sourcetype=*access*
| rare url",,grdhg24,1
web,web referrer,"Search the access logs, and return the number of hits from the top 100 values of ""referer_domain""","index=""*"" sourcetype=""*access*""
| top limit=100 referer_domain
| stats sum(count)",,grdhg24,1
web,streamstats,"For each event, add a count field that represent the number of event seen so far (including that event). i.e., 1 for the first event, 2 for the second, 3, 4 ... and so on","index=""*"" sourcetype=""*access*""
| streamstats count",,grdhg24,1
web,timechart,"Create a timechart of the count of from ""web"" sources by ""host""","index=""*"" sourcetype=""*access*""
| timechart count by host",,grdhg24,1
web,stats,Search Web / Total KB / # of Unique IPs. Replace the wildcard * and or field names to be applicable to your data set(s.),"index=* sourcetype=*access*
| eval kb=bytes/1024
|  stats sum(kb) dc(clientip)
|  rename sum(kb) AS ""Total KB"" dc(FIELD) AS ""Unique Customers""",http://docs.splunk.com/Documentation/Splunk/latest/SearchReference/stats,grdhg24,1
web,web stats duration,"A ""transaction"" search using the ""stats"" command instead. Its less resources and more flexibility.","index=* sourcetype=*access*
| stats min(_time) AS earliest max(_time) AS latest by FIELD
| eval duration=latest-earliest | stats min(duration) max(duration) avg(duration)",http://docs.splunk.com/Documentation/Splunk/latest/SearchReference/stats,grdhg24,1
misc,duration,"More than a day between events
Add a field to each event which is the time between this event and the previous one.
The only field required here is _time.","index=* sourcetype=*
| sort _time
| streamstats current=f global=f window=1 last(_time) as last_ts
| eval time_since_last = _time - last_ts
| fieldformat time_since_last = tostring(time_since_last, ""duration"")
| where time_since_last > 60*60*24",,grdhg24,1
misc,duration,"Time between events
Add a field to each event which is the time between this event and the previous one.
The only field required here is _time.","index=* sourcetype=*  Error
| sort _time
| streamstats current=f global=f window=1 last(_time) as last_ts
| eval time_since_last = _time - last_ts
| fieldformat time_since_last = tostring(time_since_last, ""duration"")",http://www.bbosearch.com/searches/12,gpburdell,1
splunk_internal,_internal,Get information on all indexes.,"| rest splunk_server=local /servicesNS/-/-/configs/conf-indexes
| rename eai:appName as app eai:acl.sharing as sharing
| table app sharing author title homePath coldPath thawedPath frozenTimePeriodInSecs maxDataSize maxHotBuckets maxTotalDataSizeMB
| foreach * [eval FIELD = if(len(FIELD)>0, 'FIELD', ""-"")]
| join app type=left [| rest splunk_server=local /servicesNS/-/-/apps/local
| rename title as app label as app_label
| table app app_label]
| eval app_label = if(isnotnull(app_label), app_label, app)",,grdhg24,1
splunk_internal,rest indexes,Look for a specific index .,"| rest /services/data/indexes
| stats sum(totalEventCount) as Events dc(splunk_server) as NumServers by title",,grdhg24,1
splunk_internal,dbinspect buckets,Returns information about the buckets in the Splunk index that you specify.,| dbinspect index=_internal span=1d,http://docs.splunk.com/Documentation/Splunk/latest/SearchReference/Dbinspect,grdhg24,1
splunk_internal,internal hosts meta,Index meta data,| metadata type=hosts index=_internal,http://docs.splunk.com/Documentation/Splunk/latest/SearchReference/Metadata,grdhg24,1
splunk_internal,meta dbinspect addinfo append,Combine dbinspect and REST api data for buckets. The dbinspect API doesn't return consistent information about the size of buckets.,"| dbinspect index=*
| foreach *
    [eval dbinspect_FIELD = 'FIELD']
| table dbinspect_*
| append    [
	| rest splunk_server_group=dmc_group_cluster_master ""/services/cluster/master/buckets""
	| foreach *
	    [eval rest_api_FIELD = 'FIELD']
| table rest_api_*    ]
| eval bucketId=if(isNull(rest_api_title),dbinspect_bucketId,rest_api_title)
| stats values(*) as * by bucketId
| foreach rest_api_peers.*.*    [eval rest_api_<<MATCHSEG2>>=""""]
| foreach rest_api_peers.*.*    [eval rest_api_<<MATCHSEG2>>=if (""<<MATCHSEG1>>""=dbinspect_bucketId,'FIELD','<<MATCHSEG2>>')]
| fields - rest_api_peers.*",,grdhg24,1
analytics,stats eval makeresults bin,Create a Normal Curve,"| makeresults count=50000
| eval r = random() / (pow(2,31)-1)
| eval r2 = random() / (pow(2,31)-1)
| eval normal = sqrt(-2 * ln(r)) * cos(2 * pi() * r2)
| bin normal span=0.1
| stats count by normal
| makecontinuous normal",,grdhg24,1
analytics,machine learning predictive streamstats,"How to move a field through time for prediction purposes.
Align a future value with the features in the past based on some time delta (Time to Decision, Time to Action) for machine learning or predictive analytics in general.","| inputlookup SOMECSV
| reverse
| streamstats window=1 current=f first(RemoteAccess) as RemoteAccessFromFuture
| reverse
| ...",,grdhg24,1
splunk_internal,errors pwn,"Search to end all errors.
Identifies frequently occurring errors in your splunk instance. LSS knocking out the top 10 on this list will make your splunk instance very happy.","index=_internal sourcetype=""splunkd"" log_level=""ERROR""
| stats sparkline count dc(host) as hosts last(_raw) as last_raw_msg values(sourcetype) as sourcetype last(_time) as last_msg_time first(_time) as first_msg_time values(index) as index by punct
| eval delta=round((first_msg_time-last_msg_time),2)
| eval msg_per_sec=round((count/delta),2)
| convert ctime(last_msg_time) ctime(first_msg_time)
| table last_raw_msg count hosts sparkline msg_per_sec sourcetype index first_msg_time last_msg_time delta
| sort -count",,grdhg24,1
network,security,"Machines with Multiple Services.
You can also filter it down with a additional | where ""Different Ports"" > 5.  Replace the wildcard * and or field names to be applicable to your data set(s.)","index=*
| stats count by src_ip dst_ip dst_port protocol
| stats dc(dst_port) as ""Different Ports"" by dst_ip",,grdhg24,1
mv,"json,rename,fields,rex",json mv extraction,"index=*
 | rename events{}.code AS a_c, events{}.message AS a_m, events{}.timestamp AS a_ts, events{}.priority as a_p # combine mv fields together using mvzip (to get tuples as comma-delim'd strings)
| eval b_combined = mvzip(mvzip(mvzip(a_c, a_m), a_ts), a_p) # get rid of the a_* fields, simply b/c we don't need them clogging up the ui
| fields - a_* # expand out the combined fields
| mvexpand b_combined # extract nicely named fields from the results (using the comma from mvzip as the delimiter)
| rex field=b_combined ""(?<e_c>[^,]*),(?<e_m>[^,]*),(?<e_ts>[^,]*),(?<e_p>[^,]*)"" # get rid of the combined field b/c we don't need it
| fields - b_* # urldecode the field that you care about
| eval e_m = urldecode(e_m)",,grdhg24,1
security,"geoip,map",Detect unauthorized admin activity via foreign country.,"index=*
| geoip clientip as clientip
| table _time clientip client_country
| where client_country NOT (""Germany"" OR ""Austria"" OR ""Switzerland"")",,grdhg24,1
database,stream sql rex eval timechart,"Extract SQL Insert Params
Extracts fields from a SQL Insert statement so that the values inserted into the database can be manipulated via splunk searches. In this case, it is used in conjunction with splunk stream & mysql, but should work with any source / database technology.","index=*
sourcetype=stream:mysql* query=""insert into*""
| rex ""insert into \S* \((?<aaa>[^)]+)\) values \((?<bbb>[^)]+)\)""
| rex mode=sed field=bbb ""s/\\\\\""//g""
| makemv aaa delim="",""
| makemv bbb delim="",""
| eval a_kvfield = mvzip(aaa, bbb)
| extract jam_kv_extract
| timechart span=1s per_second(m_value) by m_name",,grdhg24,1
misc,spath makemv where strptime,"XML with SPATH
Searches for events which contain a field called ""message"" that composite field is expanded via a call to spath. Then a value from the resulting expansion is used to find events that contain a date meeting certain criteria.","index=* sourcetype=""SOURCETYPE""
| spath input=FIELD
| where strptime('FIELD.updated_at', ""%Y-%m-%d %H:%M:%S %z"") > strptime(""2013-08-07 00:00:00"", ""%Y-%m-%d %H:%M:%S"")",,grdhg24,1
security,threat security,"Detect Account Sharing
Detect Users who login from multiple IP's / User account Sharing.  Replace the wildcard * and or field names to be applicable to your data set(s.)","index=* sourcetype=""*access*""
| stats dc(src_ip) as ip_count by user",,grdhg24,
security,threat security,"Detect machines/applications who are potentially infected and have active running malware on it. Even use it to detect fraud for shopping site orders coming from bad IP's. requirements:
machine data with external IP's + IP Reputation App","index=*
| stats count by src_ip dst_ip dst_port protocol
| lookup threatscore clientip as dst_ip
| sort –threatscore
| where threatscore>0",,grdhg24,1
security,threat security security,Find the top 5 ip addresses that are attempting to attack us. Requires juniper:idp data,"index=*
sourcetype = ""juniper:idp"" attack*
| top limit=5 src_ip",,grdhg24,1
splunk_internal,utils,"Detect Clock Skew. If delta is anything other than about 00:00:01 (which is easy to account for when processing a lot of indexers), you may have clock skew.","| rest /services/server/info
| eval updated_t=round(strptime(updated, ""%Y-%m-%dT%H:%M:%S%z""))
| eval delta_t=now()-updated_t
| eval delta=tostring(abs(delta_t), ""duration"")
| table serverName, updated, updated_t, delta, delta_t",,grdhg24,1
security,windows security,"Detect Account Sharing.
Detect Users who login from multiple IP's / User account Sharing
Requires: Login logs with Username + Source IP field extractions","index=*
| stats dc(src_ip) as ip_count by user",,grdhg24,1
security,rare security windows,Find Rare Processes (windows). Find rarely seen windows processes. Might indicate custom malware.,"index=*
sourcetype=winregistry
| rare process_image",,grdhg24,1
web,status,Apache access_logs status code reporting ,"index=* sourcetype=""*access*""
| chart count(eval(like(status,""2%""))) AS Success, count(eval(like(status,""4%"") OR like(status,""5%""))) AS Error by status",,grdhg24,1
web,status,Find web site status over time.,"index=* sourcetype=""*access*""
| timechart count by status_type limit=10 usenull=f",,grdhg24,1
web,devices usage,Reports on most used devices / platforms.,"index=* sourcetype=""*access*""
| dedup useragent
| eval device=useragent
| replace *Windows* with Windows, *Macintosh* with Apple, *Android* with Android, *iPhone* with iPhone, *iPad* with iPad in device
| top limit=5 useother=t device",,grdhg24,1
web,ui map,"Worldmap with unique visitors last 24 hours. Example uses clientip and an ""access"" sourcetype.","index=""*"" sourcetype=""*access*""
| iplocation clientip
| stats dc(clientip) by Country
| geom geo_countries featureIdField=""Country"" earliest=-24h",,grdhg24,1
security,linux login,List IPs that had Successful and Failed SSH Attempts,"index=* sourcetype=""*secure"" process=sshd ""password for""
| rex field=_raw ""(?Accepted|Failed) password for (?\w+) from (?[0-9A-Fa-f:\.]+)""
| eval success=if(result==""Failed"",0,1)
| stats count as total,sum(success) as success by ipaddr
| where total!=success AND success!=0",,grdhg24,1
