Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,CNG kWh (Gross CV),0.18387
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,CNG kWh (Gross CV),0.00025
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,CNG kWh (Gross CV),0.18352
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,CNG kWh (Gross CV),0.00010
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,CNG kWh (Net CV),0.20374
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,CNG kWh (Net CV),0.00027
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,CNG kWh (Net CV),0.20336
Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,CNG kWh (Net CV),0.00011
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CO2e,CNG litres,0.44327
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CH4,CNG litres,0.00059
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg CO2,CNG litres,0.44245
Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,litres,kg N2O,CNG litres,0.00023
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CO2e,CNG tonnes,2533.00000
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CH4,CNG tonnes,3.40000
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CO2,CNG tonnes,2528.26000
Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg N2O,CNG tonnes,1.33000
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LNG kWh (Gross CV),0.18455
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LNG kWh (Gross CV),0.00025
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LNG kWh (Gross CV),0.18421
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LNG kWh (Gross CV),0.00010
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LNG kWh (Net CV),0.20449
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LNG kWh (Net CV),0.00027
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LNG kWh (Net CV),0.20411
Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LNG kWh (Net CV),0.00011
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,litres,kg CO2e,LNG litres,1.15041
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,litres,kg CH4,LNG litres,0.00154
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,litres,kg CO2,LNG litres,1.14827
Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,litres,kg N2O,LNG litres,0.00060
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg CO2e,LNG tonnes,2542.41000
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg CH4,LNG tonnes,3.40000
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg CO2,LNG tonnes,2537.68000
Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg N2O,LNG tonnes,1.33000
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LPG kWh (Gross CV),0.21448
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,LPG kWh (Gross CV),0.00016
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,LPG kWh (Gross CV),0.21419
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,LPG kWh (Gross CV),0.00014
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LPG kWh (Net CV),0.23030
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,LPG kWh (Net CV),0.00017
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,LPG kWh (Net CV),0.22999
Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,LPG kWh (Net CV),0.00015
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg CO2e,LPG litres,1.55537
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg CH4,LPG litres,0.00113
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg CO2,LPG litres,1.55325
Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,litres,kg N2O,LPG litres,0.00099
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CO2e,LPG tonnes,2938.81000
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CH4,LPG tonnes,2.14000
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CO2,LPG tonnes,2934.82000
Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg N2O,LPG tonnes,1.86000
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Natural gas kWh (Gross CV),0.18387
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Natural gas kWh (Gross CV),0.00025
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Natural gas kWh (Gross CV),0.18352
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Natural gas kWh (Gross CV),0.00010
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Natural gas kWh (Net CV),0.20374
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Natural gas kWh (Net CV),0.00027
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Natural gas kWh (Net CV),0.20336
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Natural gas kWh (Net CV),0.00011
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CO2e,Natural gas cubic metres,2.02266
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CH4,Natural gas cubic metres,0.00271
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg CO2,Natural gas cubic metres,2.01888
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg N2O,Natural gas cubic metres,0.00107
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CO2e,Natural gas tonnes,2533.00000
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CH4,Natural gas tonnes,3.40000
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CO2,Natural gas tonnes,2528.26000
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg N2O,Natural gas tonnes,1.33000
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Other petroleum gas kWh (Gross CV),0.18486
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Other petroleum gas kWh (Gross CV),0.00008
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Other petroleum gas kWh (Gross CV),0.18468
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Other petroleum gas kWh (Gross CV),0.00010
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Other petroleum gas kWh (Net CV),0.20094
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Other petroleum gas kWh (Net CV),0.00009
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Other petroleum gas kWh (Net CV),0.20074
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Other petroleum gas kWh (Net CV),0.00011
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CO2e,Other petroleum gas litres,0.95279
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CH4,Other petroleum gas litres,0.00043
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CO2,Other petroleum gas litres,0.95185
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg N2O,Other petroleum gas litres,0.00051
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CO2e,Other petroleum gas tonnes,2601.11000
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CH4,Other petroleum gas tonnes,1.17000
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CO2,Other petroleum gas tonnes,2598.56000
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg N2O,Other petroleum gas tonnes,1.39000
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation spirit kWh (Gross CV),0.24514
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation spirit kWh (Gross CV),0.00466
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation spirit kWh (Gross CV),0.23822
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation spirit kWh (Gross CV),0.00227
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation spirit kWh (Net CV),0.25805
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation spirit kWh (Net CV),0.00490
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation spirit kWh (Net CV),0.25076
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation spirit kWh (Net CV),0.00239
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg CO2e,Aviation spirit litres,2.29082
