Attack_Description,Attack_Severity
INVALID_URL_CHARSET,MEDIUM
BRUTE_FORCE_FROM_IP,HIGH
BRUTE_FORCE_FROM_ALL_SOURCES,HIGH
NO_DOMAIN_MATCH_IN_PROFILE,HIGH
NO_URL_PROFILE_MATCH,HIGH
HEADER_META_VIOLATION,HIGH
CUSTOM_ATTACK_PATTERN_IN_HEADER,HIGH
SQL_INJECTION_IN_HEADER,HIGH
SQL_INJECTION_IN_URL,HIGH
CROSS_SITE_SCRIPTING_IN_HEADER,HIGH
OS_CMD_INJECTION_IN_PARAM,HIGH
DIRECTORY_TRAVERSAL_IN_HEADER,HIGH
READ_ONLY_PARAM_TAMPERED,HIGH
SESSION_INVARIANT_PARAM_TAMPERED,HIGH
SESSION_CHOICE_PARAM_TAMPERED,HIGH
TOO_MANY_PARAM_INSTANCES,HIGH
MISSING_MANDATORY_PARAM,HIGH
PARAM_VAL_NOT_ALLOWED,HIGH
FILE_EXTENSION_NOT_ALLOWED,HIGH
FILE_UPLOAD_SIZE_EXCEEDED,HIGH
METACHARACTER_IN_PARAMETER,HIGH
PARAM_NAME_LENGTH_EXCEEDED,HIGH
CUSTOM_ATTACK_PATTERN_IN_PARAM,HIGH
CUSTOM_ATTACK_PATTERN_IN_URL,HIGH
PARAM_INPUT_VALIDATION_FAILED,HIGH
SQL_INJECTION_IN_PARAM,HIGH
CROSS_SITE_SCRIPTING_IN_PARAM,HIGH
CROSS_SITE_SCRIPTING_IN_URL,HIGH
OS_CMD_INJECTION_IN_HEADER,HIGH
OS_CMD_INJECTION_IN_URL,HIGH
DIRECTORY_TRAVERSAL_IN_PARAM,HIGH
DIRECTORY_TRAVERSAL_IN_URL,HIGH
SESSION_CONTEXT_NOT_FOUND,HIGH
REMOTE_FILE_INCLUSION_IN_URL,HIGH
REMOTE_FILE_INCLUSION,HIGH
CROSS_SITE_REQUEST_FORGERY,HIGH
DIRECTORY_TRAVERSAL_BEYOND_ROOT,HIGH
POST_WITHOUT_CONTENT_LENGTH,HIGH
PRE_1_0_REQUEST,HIGH
INVALID_MALFORMED_REQUEST,HIGH
INVALID_OR_MALFORMED_REQUEST,HIGH
METHOD_NOT_ALLOWED,HIGH
MALFORMED_VERSION,HIGH
MALFORMED_REQUEST_LINE,HIGH
MALFORMED_HEADER_LINE,HIGH
INVALID_HEADER,HIGH
MALFORMED_CONTENT_LEN,HIGH
MALFORMED_COOKIE,HIGH
GET_REQUEST_WITH_CONTENT_LENGTH,HIGH
MISSING_HOST_HEADER,HIGH
MULTIPLE_CONTENT_LENGTH,HIGH
MALFORMED_PARAM,HIGH
PARAM_TOO_LARGE,HIGH
REQUEST_LINE_LENGTH_EXCEEDED,HIGH
HEADER_VALUE_LENGTH_EXCEEDED,HIGH
INVALID_URL_ENCODING,HIGH
SLASH_DOT_IN_URL,MEDIUM
TILDE_IN_URL,HIGH
UNRECOGNIZED_COOKIE,MEDIUM
COOKIE_TAMPERED,MEDIUM
COOKIE_EXPIRED,MEDIUM
COOKIE_LENGTH_EXCEEDED,HIGH
URL_LENGTH_EXCEEDED,HIGH
QUERY_LENGTH_EXCEEDED_URL,HIGH
HEADER_COUNT_EXCEEDED,HIGH
COOKIE_RELPAY_MISMATCHED_HEADER,MEDIUM
COOKIE_REPLAY_MISMATCHED_IP,MEDIUM
COOKIE_REPLAY_MISMATCHED_HEADER,MEDIUM
REQUEST_LENGTH_EXCEEDED,HIGH
COOKIE_COUNT_EXCEEDED,HIGH
COOKIE_NAME_LENGTH_EXCEEDED,HIGH
HEADER_NAME_LENGTH_EXCEEDED,HIGH
TOO_MANY_SESSIONS_FOR_IP,HIGH
ERROR_RESPONSE_SUPPRESSED,LOW
RESPONSE_HEADER_SUPPRESSED,VERY LOW
IDENTITY_THEFT_PATTERN_MATCHED,VERY LOW
INVALID_METHOD,HIGH
UNKNOWN_CONTENT_TYPE,HIGH
CONTENT_LENGTH_EXCEEDED,HIGH
QUERY_STRING_NOT_ALLOWED,HIGH
QUERY_STR_NOT_ALLOWED,HIGH
PARAM_LENGTH_EXCEEDED,HIGH
TOO_MANY_UPLOADED_FILES,HIGH
TOO_MANY_PARAMS,HIGH
SESSION_NOT_FOUND,HIGH
NO_PARAM_PROFILE_MATCH,HIGH
SOAP_REQUEST_VALIDATION_FAILED,HIGH
SOAP_RESPONSE_VALIDATION_FAILED,VERY LOW
ACCESS_CONTROL_COOKIE_EXPIRED,MEDIUM
ACCESS_CONTROL_COOKIE_INVALID,MEDIUM
ACCESS_CONTROL_ACCESS_DENIED,MEDIUM
ACCESS_CONTROL_NO_COOKIE,MEDIUM
DENY_ACL_MATCHED,HIGH
REDIRECT_ACL_MATCHED,VERY LOW
CUSTOM_ERR_RESPONSE_PAGE,LOW
RATE_CONTROL_INTRUSION,LOW
FTP_ACL_DENY_ACL_MATCH,HIGH
FTP_ACL_NO_ACL_MATCH,HIGH
FTP_DIRECTORY_TRAVERSAL_ATTACK,HIGH
FTP_COMMAND_BLOCKED,HIGH
FTP_ACL_NO_ACLS_DEFINED,HIGH
XML_VALIDATION_SCHEMA_REQUEST,HIGH
XML_VALIDATION_SCHEMA_RESPONSE,HIGH
XDOS_MAX_ELEMENT_DEPTH,HIGH
XDOS_MAX_ELEMENT_NAME_LENGTH,HIGH
