customurl,from,nodetext,to,type
/static/app/network-diagram-viz/customimages/user.png,user,User,website,customimagecircular
/static/app/network-diagram-viz/customimages/website.png,website,Website,cart,customimagecircular
/static/app/network-diagram-viz/customimages/cart.png,cart,Cart,,customimagecircular
/static/app/network-diagram-viz/customimages/website.png,website,,firewall,customimagecircular
/static/app/network-diagram-viz/customimages/firewall1.png,firewall,Firewall,router,customimagecircular
/static/app/network-diagram-viz/customimages/router.png,router,Router,server1,customimagecircular
/static/app/network-diagram-viz/customimages/server.png,server1,Host 1,,customimagecircular
/static/app/network-diagram-viz/customimages/server.png,server2,Host 2,,
/static/app/network-diagram-viz/customimages/server.png,server3,Host 3,,customimagecircular
/static/app/network-diagram-viz/customimages/router.png,router,,server2,
/static/app/network-diagram-viz/customimages/router.png,router,,server3,
/static/app/network-diagram-viz/customimages/router.png,router,,voip,
/static/app/network-diagram-viz/customimages/voip.png,voip,VOIP,,customimagecircular
/static/app/network-diagram-viz/customimages/voip.png,voip,,phone,
/static/app/network-diagram-viz/customimages/phone.png,phone,VOIP Phone,,customimagecircular
