field,type,sourcetype,areas,pulldown_type,description
callingPartyLat,numeric,cucm_cdr,location,explicitSPL,"(added by the app) This gives the latitude of the calling party.  Depending on whether this is an internal or external party, it might be pulled from the Sites lookup via cidr-matching the IP Address, or it might be pulled from the country as recognized by the parsed callingPartyCountryCode."
callingPartyLATA,categorical,cucm_cdr,location,explicitSPL,(added by the app) This gives the LATA of the callingParty in inbound calls.
callingPartyLong,numeric,cucm_cdr,location,explicitSPL,"(added by the app) This gives the longitude of the calling party.  Depending on whether this is an internal or external party, it might be pulled from the Sites lookup via cidr-matching the IP Address, or it might be pulled from the country as recognized by the parsed callingPartyCountryCode."
callingPartyName,categorical,ALL,parties,,"(added by the app) This is an alias that attempts to hold the best name of the calling party. In CUCM, if the deviceName is in the devices lookup this will be the device's associated username. Failing that this will be the name associated with the extension in the groups lookup. In other data types this alias may also be present and pulled from different fields."
callingPartyNumber,categorical,"cucm_cdr,cube_cdr",core parties,,"Number or extension of the party originating the call. For calls that originate at a Cisco Unified IP Phone, this field shows the extension number of the line that is used. For incoming H.323 calls, this field specifies the value that is received in the Calling Party Number field in the Setup message. This field reflects any translations that are applied to the Calling Party Number before it arrives at the Cisco Unified Communications Manager (such as translations at the gateway).For server calls, where Cisco Unified Communications Manager originates a half call without a calling party, this field may remain empty."
callingPartyNumberPartition,categorical,cucm_cdr,parties,,"Identifies the partition name that is associated with the CallingPartyNumber field because Cisco Unified Communications Manager supports multiple Cisco Unified IP Phones with the same extension number in different partitions. For calls that ingress through an H.323 gateway, this field remains blank."
callingPartyNumberType,categorical,cucm_cdr,parties,explicitSPL,"(created by the app) If it can be determined by the libphonenumbers library, this will identify whether the callingPartyNumber is a fixed line, toll free, mobile number, shared cost, etc..  Contact support@sideviewapps.com if you would like more details"
callingPartyOCN,categorical,cucm_cdr,location,explicitSPL,(added by the app)  This identifies the OCN (Operating Company Number) of the callingParty in inbound calls.
callingPartyState,categorical,cucm_cdr,location core,explicitSPL,"(added by the app)  This gives the state of the callingParty in inbound calls from US parties, if it can be determined from area code and exchange."
callingPartyStateAbbr,categorical,cucm_cdr,location,explicitSPL,"(added by the app)  This gives the two letter abbreviation of the US state of the callingParty in inbound calls from US parties, if it can be determined from area code and exchange."
callingPartySubgroup,categorical,cucm_cdr,parties,,"(created by the app) If the groups lookup has been configured to). See the documentation under Setup>Groups. If you set up the groups lookup to have this field in addition to callingPartyGroup, then this field will exist"
callingPartyUnicodeLoginUserID,categorical,cucm_cdr,parties,,"The calling party login user ID. If the user ID does not exist, this field stays empty. NOTE: YOUR DATA MAY NOT HAVE ANY VALUES FOR THIS FIELD. IF THAT IS THE CASE THESE EXAMPLE REPORTS WILL NOT WORK."
callingPartyZip,categorical,cucm_cdr,location,explicitSPL,(added by the app) This gives the zipcode of the callingParty in inbound calls from within the US.
callingSearchSpace,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origCallingSearchSpace and destCallingSearchSpace fields.
callMediaType,categorical,cucm_cdr,core audio video,,Indicates whether the given call leg is from an audio or video call.
callSecuredStatus,categorical,cucm_cdr,security,,"The highest security status that is reached during a call. For example, if the call is originally unsecured, then later the call changes to secured, the CDR contains 1 for 'Secured' even though different portions of the call have different status values. (0 - Non-secured, 1 - Authenticated (not encrypted), 2 - Secured (encrypted)"
carrier_id,categorical,cube_cdr,cube reference,,ISUP carrier ID.
cause,categorical,cucm_cdr,call_release_codes,,"(added by the app) This field will be set to the value of destCause_value or origCause_value, whichever is nonzero.  This is part of how the app determines the overall call release cause code for the call leg - see cause_description."
cause_description,categorical,cucm_cdr,call_release_codes core,,"(added by the app) This field is the english description of the overall termination cause code. Specifically, it represents the description of whichever of the two integer cause codes is nonzero"
CCR,numeric,cucm_cmr,quality,,Cumulative Conceal Ratio -- the cumulative ratio of concealment time over speech time that is observed after starting a call.
cdr_type,categorical,cube_cdr,cube reference,,"Determines CDR template used:0=None, 1=Call history detail, 2=Custom template."
charge_number,categorical,cube_cdr,cube security,,Charge number used for call.
charged_units,categorical,cube_cdr,cube security,,"Number of charged units for this connection. For incoming calls or if charging information is not supplied by the switch, the value is zero."
cidr,categorical,cucm_cdr,network,,"(added by the app) Created from the app's sites lookup (aka cidr.csv), this field will hold the union of origCidr and destCidr, which are the subnets that were used to match the origSite and destSite fields respectively."
ciscoguid,categorical,cucm_cdr,reference,,(added by the app) this is a guid that can be used in some advanced cases to follow links to/from downstream and upstream voice systems.
clid,categorical,cube_cdr,cube parties,,Calling number.
clientMatterCode,categorical,cucm_cdr,security,,"Before the system extends a call, the user enters a client matter code that can be used for assigning account or billing codes to calls. This field displays the client matter code."
clusterGroup,categorical,"cucm_cdr,cucm_cmr",reference,,"(added by the app) Created by the app's cluster lookup, this field can be used to specify a more recognizable name than the value found in globalCallId_ClusterID."
clusterLocale,categorical,"cucm_cdr,cucm_cmr",reference,,(added by the app) This can be set per cluster in the clusters lookup (see App Settings > Clusters and locales).  It is  exposed as a field in the UI mostly for troubleshooting although it might be of some use in advanced reporting on very large UCM deployments.
clusterName,categorical,"cucm_cdr,cucm_cmr",reference,,"(added by the app) Created by the app's cluster lookup, this field can be used to specify a more recognizable name than the value found in globalCallId_ClusterID."
cmr_duration,numeric,cucm_cmr,time,,"(modified by the app) This reflects the duration field as reported by the CMR (Call Management Record), as opposed to the much more familiar duration as reported by the CDR (call Detail Record).  We are not quite sure what, if anything,  this can reliably represent.  For calls placed on hold, there does seem to be an additional CMR created where this value seems to closely match the hold duration but it's possible Cisco uses this field for other corner cases as well. Note that in the raw CDR files the field is called simply duration. In this app we rename this to cmr_duration so as to avoid conflicts and conflations with the actual call duration field."
codec_bytes,numeric,cube_cdr,cube codecs,,Payload size of the voice packet.
codec_type_rate,categorical,cube_cdr,cube codecs,,Negotiated coder rate. Transmit rate of voice/fax compression to its associated call leg for the call.
comment,categorical,cucm_cdr,reference,,"This field allows features to add text to the CDRs. This text can describe details about the call. For example, the following field flags malicious calls: Tag-CallFlag Value-MALICIOUS. The features in question may also have written semi-colon separated lists of additional fields here."
concurrency,numeric,cucm_cdr,custom,explicitSPL,"(added by the app) This field is calculated on the fly by the app and represents the number of concurrent calls at the given instant. However this field has some unusual behavior worth noting.  First it is not any kind of global concurrency but rather the concurrency the context of your current search results.  When you have this field active in Investigate Calls it represents the number of other concurrent calls that were connected at the moment that the given call started.  In the Chart page you can create reports of max concurrency over time where it presents a complete picture of the concurrency over the life of the calls however note that in the Chart page it can only be used with the 'max' statistic, so you must first set the pulldown to 'max' to use it at all. "
ConfControllerDeviceName,categorical,cucm_cdr,conferencing,,"(added by the app) In some conference calls, this field represents the deviceName of the party that is controlling the overall call"
ConfControllerDn,categorical,cucm_cdr,conferencing,,"(added by the app) In some conference calls, this field represents the DN of the party that is controlling the overall call"
ConfRequestorDeviceName,categorical,cucm_cdr,conferencing,,"(added by the app) In some conference calls, this field represents the deviceName of the party that added a new participant "
ConfRequestorDn,categorical,cucm_cdr,conferencing,,"(added by the app) In some conference calls, this field represents the DN of the party that added a new participant "
conversationId,categorical,cucm_cdr,conferencing,,(added by the app) This field is the union of origConversationId and destConversation. UCM uses these to denote chained conference bridge calls.
CS,numeric,cucm_cmr,quality,,Concealed Secs represents the time during which some concealment is observed during a call.
CS_total,numeric,cucm_cmr,quality,explicitSPL,(added by the app) This is calculated from the CS values and is just the total CS across all of the given call's CMR data. When the call has only one CMR then CS_total and CS are the same.
CSR_overall,numeric,cucm_cmr,quality,explicitSPL,"(added by the app) this is the CS Ratio, in other words the seconds of concealed speech divided by the total number of seconds. Note that this is calculated by the app and not on the individual CMR records but across all CMR's for the given call, as a single statistic on the call. It is calculated by taking CS_total and dividing by duration_total."
cube_cdr_type,numeric,cube_cdr,cube,,"It is not actually clear to us what this field is, nor can we find Cisco docs about it."
cube_duration,numeric,cube_cdr,cube,,This is the duration of a cube leg
cube_leg_type,categorical,cube_cdr,cube,,"It is not actually clear to us what this field is, nor can we find Cisco docs about it."
currentRoutingReason,categorical,cucm_cdr,routing,,This field is used with CUCM's external call control feature and represents the reason why the call was intercepted for the current call.
currentRoutingReasonName,categorical,cucm_cdr,routing,,(added by the app) This is the name corresponding to the currentRoutingReason code.  ie currentRoutingReason 5 corresponds to PDPDecision_Forward_Fulfilled.
cust_biz_grp_id,categorical,cube_cdr,cube security,,SIP business group ID.
data_type,categorical,ALL,core,,(added by the app) This indicates whether the given record is a CUCM record (CDR or CMR) or whether it is a CUBE record.  Note in future releases other values will become possible.
dateTimeConnect,time,cucm_cdr,time,,"The date and time that the call connects. The time gets stored as an epochtime integer. If the call is never answered, this value shows zero."
dateTimeDisconnect,time,cucm_cdr,time,,The date and time when the call is cleared. This field gets set even if the call never connects. The time gets stored as an epochtime integer
dateTimeOrigination,time,cucm_cdr,time,,"Only in CDR rows - the date and time when the user goes off hook or the date and time that the H.323 Setup message is received for an incoming call. epochtime-valued, (integer number of seconds since 1/1/1970 as measured in GMT)."
dateTimeStamp,time,cucm_cdr,time,,Only in CMR rows - the approximate time that the device goes on hook. Cisco Unified Communications Manager records the time when the phone responds to a request for diagnostic information.
day_of_month,categorical,ALL,core,,"(added by the app) This field represents the day of the month as calculated in the timezone of the Splunk server. Values are zeropadded"
day_of_week,categorical,ALL,core,,"(added by the app) This field represents the day of the week as calculated in the timezone of the Splunk server. Values are Sun,Mon,Tue,Wed,Thu,Fri,Sat"
day_of_year,categorical,ALL,core,,(added by the app) This field represents the day of the year as calculated in the timezone of the Splunk server. Values are integers from 1 to 366
dest_AALN,categorical,cucm_cdr,devices,,"(added by the app) A flag that may or may not be present on an MGCP gateway value, if present indicating that the type of endpoint is analog"
dest_cti_route_point,categorical,cucm_cdr,devices,,(added by the app) When destination devices involve UCCX this will contain the destination route point.
dest_device_type,categorical,cucm_cdr,core devices,,"(added by the app) This gives you the type of device receiving the call. Example values are hardphone, jabberphone, softphone, uccx. If the device does not match one of the extractions in transforms.conf then the field will be undefined."
dest_gateway,categorical,cucm_cdr,core,,(added by the app) This is the name of the gateway used in the outbound call
dest_gateway_port,categorical,cucm_cdr,devices,,(added by the app) One of the components of how MGCP gateways are listed - taken together port slot and sub_unit define an individual interface on the given MGCP gateway.
dest_gateway_slot,categorical,cucm_cdr,devices,,(added by the app) One of the components of how MGCP gateways are listed - taken together port slot and sub_unit define an individual interface on the given MGCP gateway.
dest_gateway_sub_unit,categorical,cucm_cdr,devices,,(added by the app) One of the components of how MGCP gateways are listed - taken together port slot and sub_unit define an individual interface on the given MGCP gateway.
dest_ip,categorical,cucm_cdr,network,,(added by the app) this is the CIM-compliant version of the destIPAddr field.
dest_mgcp_gateway,categorical,cucm_cdr,devices,,"(added by the app) The MGCP gateway name itself, stripped of the AALN, port slot and sub_unit components."
destAnalogMac,categorical,cucm_cdr,devices,,(added by the app) this is the mac address extracted from destination hardphone devices.
destAudioBandwidth,categorical,cucm_cdr,network audio,,"Specifies the bandwidth in kbps of the destination device's codec, if known. (to check manually, look at the calls destAudioCodec and then look that row up in codec_types.csv within the app)"
destAudioCodec,categorical,cucm_cdr,codecs audio,,(added by the app) Represents the audio codec used by the destination device.
destCallControlGroup,categorical,cucm_cdr,devices,,(added by the app) This field is extracted by default from devices whose names begin with CCG.
destCallingSearchSpace,categorical,cucm_cdr,devices parties,,"(added by the app) If the destDeviceName value is present in the devices lookup, this field will be the callingSearchSpace listed for that device. "
destCallTerminationOnBehalfOf,categorical,cucm_cdr,on_behalf_of_codes,,"Call release cause code specifying why the destination was terminated. For example, if the originator of the call hangs up the phone, the OnBehalfOf code shows '12' for Device. If the call terminates because of a transfer, the OnBehalfOf code shows '10' for Transfer."
destCallTerminationOnBehalfOf_description,categorical,cucm_cdr,on_behalf_of_codes,,(added by the app) The readable name of the reason why the destination was terminated. See the field 'destCallTerminationOnBehalfOf'.
destCause_description,categorical,cucm_cdr,call_release_codes,,(added by the app) This field is the english description of the appropriate call release cause code for calls cleared by the destination party
destCause_location,categorical,cucm_cdr,call_release_codes,,"For clearing causes that are received over ISDN signaling links, the ISDN release message indicates this location field. "
destCause_value,categorical,cucm_cdr,call_release_codes,,"For calls that are cleared by the destination party, this integer reflects the reason for clearance. For calls that are cleared by the originating party, this value will be zero."
destCidr,categorical,cucm_cdr,location,explicitSPL,"(added by the app) For calls whose destDeviceName matches one of the subnets in the Sites lookup,   this field holds the value of the matching subnet.  This can be useful when you have multiple subnets mapped to a single sites,   but where the individual subnets themselves remain occasionally interesting. You can add and edit subnets in the Sites lookup under 'App Settings >  Sites'"
destConversationId,categorical,cucm_cdr,conferencing,,"A unique identifier that is used to identify the parties of a conference call. For conference chaining scenarios, the origConversationId and destConversationId fields identify which conferences are chained together."
destDeviceDescription,categorical,cucm_cdr,devices parties,,"(added by the app) If the destDeviceName value is present in the devices lookup, this field will be the description listed for that device. "
destDeviceDirectoryNumber,categorical,cucm_cdr,devices,,"(added by the app) If the destDeviceName value is present in the devices lookup, this field will be the primary (or failing that secondary) DN or DiD number associated with the destination device."
destDeviceName,categorical,cucm_cdr,core,,"The name of the destination device, whether it's a soft phone, physical phone or gateway device."
destDevicePool,categorical,cucm_cdr,devices parties,,"(added by the app) If the destDeviceName value is present in the devices lookup, this field will be the devicePool listed for that device. "
destDeviceProtocol,categorical,cucm_cdr,devices parties,,"(added by the app) If the destDeviceName value is present in the devices lookup, this field will be the protocol listed for that device. "
destDTMFMethod,categorical,cucm_cdr,devices,,The DTMF method that the destination uses. (0 - No DTMF - Use ANY matched DTMF. 1 - OOB - Use OOB if endpoints behind SIPTrunk support it. 2 - 2833 - Use RFC2833 if endpoints behind SIPTrunk support it. 3 - OOB and 2833 - Use both KPML and RFC2833 if endpoints behind SIPTrunk can support both. 4 - Unknown.  See field destDTMFMethod_description  also.
destDTMFMethod_description ,categorical,cucm_cdr,devices,,(added by the app) The human readable version of the field destDTMFMethod.
destHardPhoneMac,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the destination device names that match the 'cisco-cdr-desthardphone' regex in transforms.conf, this represents the username of the destination hardphone. "
destIpAddr,categorical,cucm_cdr,network,explicitSPL,"(modified by the app) This field identifies the IP address of the device that terminates the call signaling. For Cisco Unified IP Phones, this field specifies the address of the phone. For PSTN calls, this field specifies the address of the H.323 gateway. For intercluster calls, this field specifies the address of the remote Cisco Unified Communications Manager. Although present in the CDR as an integer in most callmanager versions, the Sideview app automatically converts these values to real IP addresses."
destIpComDevice,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the destination device names that match the 'cisco-cdr-destipcom' regex in transforms.conf, this represents the username of the destination IP Communicator device. "
destIpv4v6Addr,categorical,cucm_cdr,network,,This field is sometimes present and when UCCE or UCCX is one of the parties on the call it will be populated with an IP Address from UCCX/UCCE.
destJabberDevice,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the destination device names that match the 'cisco-cdr-destjabberphone' regex in transforms.conf, this represents the username of the destination Jabber device. "
destLegIdentifier,categorical,cucm_cdr,reference,,"This field identifies the terminating leg of a call. This value remains unique within a cluster. If the leg of a call persists across several sub-calls and, consequently, several CDRs (as during a call transfer), this value remains constant."
destMediaCap_Bandwidth,numeric,cucm_cdr,network,,The media bandwidth that is used at the destination of the call.
destMediaCap_g723BitRate,numeric,cucm_cdr,network,,This field is not reported by CUCM
destMediaCap_maxFramesPerPacket,numeric,cucm_cdr,network,,"The number of milliseconds of data per packet that the terminating party of the call sends. This field normally gets set to 10, 20, or 30 for G.729 or G.711 codecs but can store any nonzero value."
destMediaCap_payloadCapability,categorical,cucm_cdr,codecs,,"The codec type that the terminating party uses to transmit media. Cisco Unified Communications Manager currently uses the following payload capability values: 0, 1-16, 18-20, 25, 32, 33, 81-86. "
destMediaTransportAddress_IP,categorical,cucm_cdr,network,,"The IP address of the device that terminates the media for the call. For Cisco Unified IP Phones, this field designates the address of the phone. For PSTN calls, this field designates the address of the H.323 gateway. For intercluster calls, this field shows the address of the remote phone."
destMediaTransportAddress_Port,categorical,cucm_cdr,network,,IP port number that is associated with the DestMediaTransportAddress_IP field.
destMobileCallDuration,numeric,cucm_cdr,mobility time,,"For mobility calls, specifies the destination mobile device's call duration."
destMobileDeviceName,categorical,cucm_cdr,devices mobility,,"For mobility calls, specifies the destination mobile device name."
destNodeId,categorical,cucm_cdr,reference,,"The location, or node within a cluster, to which the terminating party of the call is registered at the time that the call is made."
destPrecedenceLevel,categorical,cucm_cdr,network,,"For MLPP, each call leg has a precedence level. This field represents the destination legs precedence level.(0 = FLASH OVERRIDE, 1 = FLASH, 2 = IMMEDIATE, 3 = PRIORITY,4 = ROUTINE).  See field destPrecedenceLevel_description also."
destPrecedenceLevel_description,categorical,cucm_cdr,network,,"(added by the app) The human readable version of the destPrecendenceLevel.  FLASH OVERRIDE, EXECUTIVE OVERRIDE, FLASH, IMMEDIATE, PRIORITY, ROUTINE "
destProductName,categorical,cucm_cdr,devices parties,,"(added by the app) If the destDeviceName value is present in the devices lookup, this field will be the product name listed for that device."
destRSVPAudioStat,categorical,cucm_cdr,reference,,The status of the RSVP audio reservation from terminator to originator.  See field origRSVPAudioStat_description for more information and a human readable version of these values.
destRSVPAudioStat_description,categorical,cucm_cdr,reference,,"(added by the app) The human readable version of the Status of the RSVP audio reservation from terminator to originator.  0 - No reservation,1 - RSVP Reservation Failure condition at call setup or feature invocation, 2  - RSVP Reservation Success condition at call setup or feature invocation,3 - RSVP Reservation No Response (RSVP Agent) condition at call setup or feature invocation,4 - RSVP Mid Call Failure Preempted condition (preempted after call setup),5 - RSVP Mid Call Failure Lost Bandwidth condition (includes all mid-call failures except MLPP preemption)."
destRSVPVideoStat,categorical,cucm_cdr,reference,,The status of the RSVP video reservation from terminator to originator.  See field origRSVPVideoStat_description for more information and a human readable version of these values.
destRSVPVideoStat_description,categorical,cucm_cdr,reference,,"(added by the app) The human readable version of the Status of the RSVP video reservation from terminator to originator.  0 - No reservation,1 - RSVP Reservation Failure condition at call setup or feature invocation, 2  - RSVP Reservation Success condition at call setup or feature invocation,3 - RSVP Reservation No Response (RSVP Agent) condition at call setup or feature invocation,4 - RSVP Mid Call Failure Preempted condition (preempted after call setup),5 - RSVP Mid Call Failure Lost Bandwidth condition (includes all mid-call failures except MLPP preemption)."
destSecurityProfile,categorical,cucm_cdr,devices parties,,"(added by the app) If the destDeviceName value is present in the devices lookup, this field will be the security profile listed for that device. "
destSite,categorical,cucm_cdr,location,explicitSPL,(added by the app) This field is derived from matching the destIpAddr against the subnets specified in the app's Sites lookup.  You can add and edit subnets in the Sites lookup under 'App Settings > Sites'
destSpan,numeric,cucm_cdr,reference,,"For calls that are received at a gateway, this field indicates the B channel number of the T1, PRI, or BRI trunk where the call is received, or a zero value for FXS or FXO trunks. For H.323 gateways, the span number remains unknown, and this field contains the call leg ID of the destination. For calls not terminating at a gateway, the value specifies zero. If the destination cannot be reached, this field stays 0."
destUccxDevice,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the destination device names that match the 'cisco-cdr-destuccx' regex in transforms.conf, this represents the username of the destination UCCX device. "
destUnityVMDevice,categorical,cucm_cdr,devices,,"(added by the app) Extracted from the destination device names that match the 'cisco-cdr-destunityvm' regex in transforms.conf, this represents the username of the destination Unity Voicemail device. "
destUserDepartment,categorical,cucm_cdr,devices parties,,"(added by the app) If the devices lookup has been set up (Generally with Sideview's Supporting Add On for Cisco AXL), this will populate with the department of the given party"
destUserEmail,categorical,cucm_cdr,devices parties,,"(added by the app) If the devices lookup has been set up (Generally with Sideview's Supporting Add On for Cisco AXL), this will populate with the email address of the given party"
destUserId,categorical,cucm_cdr,devices parties,,"(added by the app) If the devices lookup has been set up (Generally with Sideview's Supporting Add On for Cisco AXL), this will populate with the userId  of the given party"
destUserName,categorical,cucm_cdr,devices parties,,"(added by the app) If the devices lookup has been set up (Generally with Sideview's Supporting Add On for Cisco AXL), this will populate with the userName of the given party"
destVideoBandwidth,categorical,cucm_cdr,network video,,"Specifies the bandwidth in kbps of the destination device's codec, if known. (to check manually, look at the call's destVideoCodec and then look that row up in codec_types.csv within the app)"
destVideoCap_Bandwidth,numeric,cucm_cdr,network video,,Bandwidth measured in kbps.
destVideoCap_Bandwidth_Channel2,numeric,cucm_cdr,network video,,"This field identifies the bandwidth measured in units of kbps for the second video channel. Default - 0. If media does not get established, this field displays 0. Also, if H.239 is not supported, this field displays 0."
destVideoCap_Codec,categorical,cucm_cdr,codecs video,,"The codec type that the terminating party uses to transmit video (100 = H.261, 101 = H.263,102 = Video)."
destVideoCap_Codec_Channel2,categorical,cucm_cdr,codecs video,,"This field identifies the codec type that the terminating party uses to transmit video for the second video channel (H.261, H.263, Vieo, H.264). Default - 0. If media does not get established, this field displays 0. Also, if H.239 is not supported, this field displays 0."
destVideoCap_Resolution,categorical,cucm_cdr,video,,"Indicates the transmitting resolution. In the case of H.264 codec or SIP device, this field refers to the max transmitting resolution the device can transmit for this call. See field destVideoCap_Resolution_description for more information and human-readable values. "
destVideoCap_Resolution_Channel2,categorical,cucm_cdr,video,,"Indicates the transmitting resolution for the second video channel. In the case of H.264 codec or SIP device, this field refers to the maximum transmitting resolution the device can transmit for this call.  \Default - 0. If media is not established, this field stays 0. Also, if H.239 and BFCP are not supported for this call, this field displays 0.   For more information and human-readable values, see field destVideoCap_Resolution_Channel2_description"
