index,source,sourcetype,host,_raw
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=HW_Inventory,rule=HW_Inventory/Main-Rule,since=1471934367,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=Send Endpoint and Policy Details to Splunk,rule=Send Endpoint and Policy Details to Splunk/Main-Rule,since=1473441853,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=Asset Classification,rule=Asset Classification/Linux/Unix,since=1473189086,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=ATD Stage 3: Percentage of Threat Match,rule=ATD Stage 3: Percentage of Threat Match/Main-Rule,since=1471934272,status=Unmatched"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=ATD Stage 1: Check Point Threat Emulation Threat Detections,rule=ATD Stage 1: Check Point Threat Emulation Threat Detections/Main-Rule,since=1472837893,status=Unmatched"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=HW_Inventory,rule=HW_Inventory/Main-Rule,since=1471934367,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=Send Endpoint and Policy Details to Splunk,rule=Send Endpoint and Policy Details to Splunk/Main-Rule,since=1473441853,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=Asset Classification,rule=Asset Classification/Linux/Unix,since=1473189086,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=ATD Stage 3: Percentage of Threat Match,rule=ATD Stage 3: Percentage of Threat Match/Main-Rule,since=1471934272,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=ATD Stage 1: Check Point Threat Emulation Threat Detections,rule=ATD Stage 1: Check Point Threat Emulation Threat Detections/Main-Rule,since=1472837893,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.214,policy=HW_Inventory,rule=HW_Inventory/Main-Rule,since=1471934367,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.214,policy=Send Endpoint and Policy Details to Splunk,rule=Send Endpoint and Policy Details to Splunk/Main-Rule,since=1473441853,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.214,policy=Asset Classification,rule=Asset Classification/Linux/Unix,since=1473189086,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.214,policy=ATD Stage 3: Percentage of Threat Match,rule=ATD Stage 3: Percentage of Threat Match/Main-Rule,since=1471934272,status=Unmatched"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.214,policy=ATD Stage 1: Check Point Threat Emulation Threat Detections,rule=ATD Stage 1: Check Point Threat Emulation Threat Detections/Main-Rule,since=1472837893,status=Unmatched"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.101,policy=HW_Inventory,rule=HW_Inventory/Main-Rule,since=1471934367,status=Unmatched"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.101,policy=Send Endpoint and Policy Details to Splunk,rule=Send Endpoint and Policy Details to Splunk/Main-Rule,since=1473441853,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.101,policy=Asset Classification,rule=Asset Classification/Linux/Unix,since=1473189086,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.101,policy=ATD Stage 3: Percentage of Threat Match,rule=ATD Stage 3: Percentage of Threat Match/Main-Rule,since=1471934272,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.101,policy=ATD Stage 1: Check Point Threat Emulation Threat Detections,rule=ATD Stage 1: Check Point Threat Emulation Threat Detections/Main-Rule,since=1472837893,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=HW_Inventory,rule=HW_Inventory/Main-Rule,since=1471934367,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=Send Endpoint and Policy Details to Splunk,rule=Send Endpoint and Policy Details to Splunk/Main-Rule,since=1473441853,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=Asset Classification,rule=Asset Classification/Linux/Unix,since=1473189086,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=ATD Stage 3: Percentage of Threat Match,rule=ATD Stage 3: Percentage of Threat Match/Main-Rule,since=1471934272,status=Unmatched"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.16,policy=ATD Stage 1: Check Point Threat Emulation Threat Detections,rule=ATD Stage 1: Check Point Threat Emulation Threat Detections/Main-Rule,since=1472837893,status=Unmatched"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=HW_Inventory,rule=HW_Inventory/Main-Rule,since=1471934367,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=Send Endpoint and Policy Details to Splunk,rule=Send Endpoint and Policy Details to Splunk/Main-Rule,since=1473441853,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=Asset Classification,rule=Asset Classification/Linux/Unix,since=1473189086,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=ATD Stage 3: Percentage of Threat Match,rule=ATD Stage 3: Percentage of Threat Match/Main-Rule,since=1471934272,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.114,policy=ATD Stage 1: Check Point Threat Emulation Threat Detections,rule=ATD Stage 1: Check Point Threat Emulation Threat Detections/Main-Rule,since=1472837893,status=Match"
fsctcenter,CounterACT,fsctcenter_avp,localhost,"ctupdate=policyinfo,ip=172.17.1.214,policy=HW_Inventory,rule=HW_Inventory/Main-Rule,since=1471934367,status=Match"
