"cl_option", "cl_description"
ato,  "antiques by owner"
atd, "antiques by dealer"
ata, "antiques by owner and dealer"
ppo,  "appliances by owner"
ppd, "appliances by dealer"
ppa, "appliances by owner and dealer"
aro,  "arts & crafts by owner"
ard, "arts & crafts by dealer"
ara, "arts & crafts by owner and dealer"
sno,  "atvs, utvs, snowmobiles by owner"
snd, "atvs, utvs, snowmobiles by dealer"
sna, "atvs, utvs, snowmobiles by owner and dealer"
pto,  "auto parts by owner"
ptd, "auto parts by dealer"
pta, "auto parts by owner and dealer"
cto,  "cars & trucks by owner"
ctd, "cars & trucks by dealer"
cta, "cars & trucks by owner + dealer"
bao,  "baby & kid stuff by owner"
bad, "baby & kid stuff by dealer"
baa, "baby & kid stuff by owner and dealer"
bar,  "barter"
bio,  "bicycles by owner"
bid, "bicycles by dealer"
bia, "bicycles by owner and dealer"
boo,  "boats by owner"
bod, "boats by dealer"
boa, "boats by owner and dealer"
bko,  "books & magazines by owner"
bkd, "books & magazines by dealer"
bka, "books & magazines by owner and dealer"
bfo,  "business by owner"
bfd, "business by dealer"
bfa, "business by owner and dealer"
emo,  "cd / dvds / vhs by owner"
emd, "cd / dvds / vhs by dealer"
ema, "cd / dvds / vhs by owner and dealer"
moo,  "cell phones by owner"
mod, "cell phones by dealer"
moa, "cell phones by owner and dealer"
clo,  "clothing & accessories by owner"
cld, "clothing & accessories by dealer"
cla, "clothing & accessories by owner and dealer"
cbo,  "collectibles by owner"
cbd, "collectibles by dealer"
cba, "collectibles by owner and dealer"
syo,  "computers by owner"
syd, "computers by dealer"
sya, "computers by owner and dealer"
elo,  "electronics by owner"
eld, "electronics by dealer"
ela, "electronics by owner and dealer"
gro,  "farm & garden by owner"
grd, "farm & garden by dealer"
gra, "farm & garden by owner and dealer"
zip,  "free stuff"
fuo,  "furniture by owner"
fud, "furniture by dealer"
fua, "furniture by owner and dealer"
gms,  "garage & moving sales"
foo,  "general for sale by owner"
fod, "general for sale by dealer"
foa, "general for sale by owner and dealer"
hao,  "health and beauty by owner"
had, "health and beauty by dealer"
haa, "health and beauty by owner and dealer"
hvo,  "heavy equipment by owner"
hvd, "heavy equipment by dealer"
hva, "heavy equipment by owner and dealer"
hso,  "household items by owner"
hsd, "household items by dealer"
hsa, "household items by owner and dealer"
jwo,  "jewelery by owner"
jwd, "jewelery by dealer"
jwa, "jewelery by owner and dealer"
mao,  "materials by owner"
mad, "materials by dealer"
maa, "materials by owner and dealer"
mpo,  "motorcycle parts & accessories by owner"
mpd, "motorcycle parts & accessories by dealer"
mpa, "motorcycle parts & accessories by owner and dealer"
mco,  "motorcycles/scooters by owner"
mcd, "motorcycles/scooters by dealer"
mca, "motorcycles/scooters by owner and dealer"
mso,  "musical instruments by owner"
msd, "musical instruments by dealer"
msa, "musical instruments by owner and dealer"
pho,  "photo/video by owner"
phd, "photo/video by dealer"
pha, "photo/video by owner and dealer"
rvo,  "recreational vehicles by owner"
rvd, "recreational vehicles by dealer"
rva, "recreational vehicles by owner and dealer"
sgo,  "sporting goods by owner"
sgd, "sporting goods by dealer"
sga, "sporting goods by owner and dealer"
tio,  "tickets by owner"
tid, "tickets by dealer"
tia, "tickets by owner and dealer"
tlo,  "tools by owner"
tld, "tools by dealer"
tla, "tools by owner and dealer"
tao,  "toys & games by owner"
tad, "toys & games by dealer"
taa, "toys & games by owner and dealer"
vgo,  "video gaming by owner"
vgd, "video gaming by dealer"
vga, "video gaming by owner and dealer"
wao,  "wanted by owner"
wad, "wanted by dealer"
waa, "wanted by owner and dealer"
