macro,definition,"_timediff",eventtypeId,productId,source,sourcetype,"total_rows"
admon,"source=ActiveDirectory","","DS034ApplicationLogs-ET01General","Microsoft__AD",ActiveDirectory,"",109
"amazon_security_lake","sourcetype=aws:asl","","VendorSpecific-aws-cloudtrail","AWS__Security_Lake","","aws:asl",109
"appdynamics_security","sourcetype=appdynamics_security","","DS020HostIntrustionDetection-ET01SigDetected|DS034ApplicationLogs-ET01General","AppDynamics__Security","","appdynamics_security",109
applocker,"(source=""WinEventLog:Microsoft-Windows-AppLocker/*"" OR source=""XmlWinEventLog:Microsoft-Windows-AppLocker/*"")","","VendorSpecific-winsec","Microsoft__Windows_AppLocker","WinEventLog:Microsoft-Windows-AppLocker/*|XmlWinEventLog:Microsoft-Windows-AppLocker/*","",109
"audit_searches","index=_audit sourcetype=audittrail action=search","","VendorSpecific-SplunkSearchActivity","Splunk_Search_Activity","",audittrail,109
audittrail,"index=_audit sourcetype=audittrail","","VendorSpecific-SplunkSearchActivity","Splunk_Search_Activity","",audittrail,109
"aws_cloudwatchlogs_eks","sourcetype=""aws:cloudwatchlogs:eks""","","VendorSpecific-aws-cloudwatch-eks","AWS__CloudWatch_EKS","","aws:cloudwatchlogs:eks",109
"aws_config","sourcetype=aws:config","","VendorSpecific-aws-config","AWS__Config","","aws:config",109
"aws_description","sourcetype=""aws:description""","","VendorSpecific-aws-description","AWS__Description","","aws:description",109
"aws_s3_accesslogs","sourcetype=aws:s3:accesslogs","","VendorSpecific-aws-s3-access","AWS__S3","","aws:s3:accesslogs",109
"aws_securityhub_finding","sourcetype=""aws:securityhub:finding""","","VendorSpecific-aws-securityhub","AWS__Securityhub","","aws:securityhub:finding",109
"aws_securityhub_firehose","sourcetype=""aws:securityhub:firehose""","","VendorSpecific-aws-securityhub","AWS__Securityhub_Firehose","","aws:securityhub:firehose",109
"azure_audit","sourcetype=mscs:azure:audit","","VendorSpecific-azure-audit","Azure__Audit","","mscs:azure:audit",109
"azure_monitor_aad","sourcetype=azure:monitor:aad","","DS003Authentication-ET01Success|DS003Authentication-ET02Failure","Azure__Active_Directory","","azure:monitor:aad",109
"azure_monitor_activity","sourcetype=azure:monitor:activity","","VendorSpecific-azure-audit|DS015ConfigurationManagement-ET01General","Azure__Monitor_Activity","","azure:monitor:activity",109
azuread,"sourcetype=mscs:azure:eventhub","","DS012NetworkIntrusionDetection-ET01SigDetection","Azure__Security_Audit","","mscs:azure:eventhub",109
"bootloader_inventory","sourcetype = PwSh:bootloader","","VendorSpecific-winsec-powershell","Microsoft__Windows_Powershell","","PwSh:bootloader",109
"bro_ssl_json","sourcetype=bro:ssl:json","","DS010NetworkCommunication-ET01TrafficAppAware","Bro__SSL","","bro:ssl:json",109
"capi2_operational","(source=XmlWinEventLog:Microsoft-Windows-CAPI2/Operational)","","VendorSpecific-winsec-powershell","Microsoft__Windows_Powershell","XmlWinEventLog:Microsoft-Windows-CAPI2/Operational)","",109
"certificateservices_lifecycle","(source=XmlWinEventLog:Microsoft-Windows-CertificateServicesClient-Lifecycle-System/Operational OR source=XmlWinEventLog:Microsoft-Windows-CertificateServicesClient-Lifecycle-User/Operational)","","VendorSpecific-winsec-certificateservices","Microsoft__Windows_Certificate_Services","XmlWinEventLog:Microsoft-Windows-CertificateServicesClient-Lifecycle-System/Operational|XmlWinEventLog:Microsoft-Windows-CertificateServicesClient-Lifecycle-User/Operational)","",109
circleci,"sourcetype=circleci","","VendorSpecific-circleci","CircleCI__CICD","",circleci,109
"cisco_ai_defense","sourcetype=cisco:ai:defense","","DS034ApplicationLogs-ET01General","Cisco__AI_Defense","","cisco:ai:defense",109
"cisco_asa","sourcetype=cisco:asa","","DS010NetworkCommunication-ET01Traffic","Cisco__ASA_Firewall","","cisco:asa",109
"cisco_duo_activity","sourcetype=cisco:duo:activity","","VendorSpecific-cisco-duo","Cisco__Duo_Activity","","cisco:duo:activity",109
"cisco_duo_administrator","sourcetype=cisco:duo:administrator","","VendorSpecific-cisco-duo","Cisco__Duo_Administrator","","cisco:duo:administrator",109
"cisco_network_visibility_module_flowdata","sourcetype=""cisco:nvm:flowdata""","","DS010NetworkCommunication-ET01Traffic|DS009EndPointIntel-ET01ProcessLaunch|DS009EndPointIntel-ET03ProcessLaunchwithCLI","Cisco__Network_Visibility_Module","","cisco:nvm:flowdata",109
