user,DatabaseName,dbinstance,HasDBAccess
sql_hax0r,sessions,mysql-1.splunktel.com,TRUE
sql_hax0r,customers,mysql-1.splunktel.com,TRUE
sql_hax0r,products,mysql-1.splunktel.com,TRUE
sql_hax0r,humanresources,mysql-1.splunktel.com,TRUE
hax0r,sessions,mysql-1.splunktel.com,TRUE
hax0r,customers,mysql-1.splunktel.com,FALSE
hax0r,products,mysql-1.splunktel.com,TRUE
hax0r,humanresources,mysql-1.splunktel.com,FALSE
sql_bob,sessions,mysql-1.splunktel.com,TRUE
sql_bob,customers,mysql-1.splunktel.com,TRUE
sql_bob,products,mysql-1.splunktel.com,TRUE
sql_bob,humanresources,mysql-1.splunktel.com,TRUE
sql_jane,sessions,mysql-1.splunktel.com,TRUE
sql_jane,customers,mysql-1.splunktel.com,TRUE
sql_jane,products,mysql-1.splunktel.com,TRUE
sql_jane,humanresources,mysql-1.splunktel.com,TRUE
svc_app_x,sessions,mysql-1.splunktel.com,TRUE
svc_app_x,customers,mysql-1.splunktel.com,TRUE
svc_app_x,products,mysql-1.splunktel.com,TRUE
svc_app_x,humanresources,mysql-1.splunktel.com,TRUE
svc_web,sessions,mysql-1.splunktel.com,TRUE
svc_web,customers,mysql-1.splunktel.com,TRUE
svc_web,products,mysql-1.splunktel.com,TRUE
svc_web,humanresources,mysql-1.splunktel.com,TRUE
adm_bob,sessions,mysql-1.splunktel.com,TRUE
adm_bob,customers,mysql-1.splunktel.com,TRUE
adm_bob,products,mysql-1.splunktel.com,TRUE
adm_bob,humanresources,mysql-1.splunktel.com,TRUE
sql_jamison,sessions,mysql-1.splunktel.com,TRUE
sql_jamison,customers,mysql-1.splunktel.com,TRUE
sql_jamison,products,mysql-1.splunktel.com,TRUE
sql_jamison,humanresources,mysql-1.splunktel.com,TRUE
sql_jamison_sc,sessions,mysql-1.splunktel.com,TRUE
sql_jamison_sc,customers,mysql-1.splunktel.com,TRUE
sql_jamison_sc,products,mysql-1.splunktel.com,TRUE
sql_jamison_sc,humanresources,mysql-1.splunktel.com,TRUE
svc_webstore,sessions,mysql-1.splunktel.com,TRUE
svc_webstore,customers,mysql-1.splunktel.com,TRUE
svc_webstore,products,mysql-1.splunktel.com,TRUE
svc_webstore,salestrack,mysql-1.splunktel.com,TRUE
sa_root,sessions,mysql-1.splunktel.com,TRUE
sa_root,customers,mysql-1.splunktel.com,TRUE
sa_root,products,mysql-1.splunktel.com,TRUE
sa_root,salestrack,mysql-1.splunktel.com,TRUE
sa_root,humanresources,mysql-1.splunktel.com,TRUE
sql_lott_je,sessions,mysql-1.splunktel.com,TRUE
sql_lott_je,customers,mysql-1.splunktel.com,TRUE
sql_lott_je,products,mysql-1.splunktel.com,TRUE
sql_lott_je,humanresources,mysql-1.splunktel.com,TRUE
sql_matta_ti,sessions,mysql-1.splunktel.com,TRUE
sql_matta_ti,customers,mysql-1.splunktel.com,TRUE
sql_matta_ti,products,mysql-1.splunktel.com,TRUE
sql_matta_ti,humanresources,mysql-1.splunktel.com,TRUE
