clientip, office, lon, lat
10.1.0.0/16,Plano Office,-96.70166,33.017876
10.2.1.0/16,Plano Office,-96.70166,33.017876
10.10.0.0/16,Plano Office,-96.70166,33.017876
10.11.0.0/24,Plano Office,-96.70166,33.017876
10.22.0.0/16,Plano Office,-96.70166,33.017876
10.81.0.0/16,Plano Office,-96.70166,33.017876
10.84.0.0/16,Plano Office,-96.70166,33.017876
10.88.0.0/16,Plano Office,-96.70166,33.017876
10.90.0.0/16,Plano Office,-96.70166,33.017876
10.91.0.0/16,Almaden Office,-121.844874,37.18899
10.100.0.0/16,Plano Office,-96.70166,33.017876
10.119.0.0/16,Plano Office,-96.70166,33.017876
10.122.0.0/16,Dublin Office,-6.273193,53.363665
10.145.0.0/16,Boca Raton Office,-80.128784,26.367264
10.147.0.0/16,Indianapolis Office,-86.108093,39.74521
10.148.0.0/16,Plano Office,-96.70166,33.017876
10.151.0.0/16,Plano Office,-96.70166,33.017876
10.151.0.0/16,Almaden Office,-121.844874,37.18899
10.152.0.0/16,Almaden Office,-121.844874,37.18899
10.155.0.0/16,Plano Office,-96.70166,33.017876
10.156.0.0/16,Almaden Office,-121.844874,37.18899
10.157.0.0/16,Almaden Office,-121.844874,37.18899
10.159.0.0/16,Plano Office,-96.70166,33.017876
10.160.0.0/16,Plano Office,-96.70166,33.017876
10.168.0.0/16,Almaden Office,-121.844874,37.18899
10.175.0.0/16,Plano Office,-96.70166,33.017876
10.176.0.0/16,Almaden Office,-121.844874,37.18899
10.177.0.0/16,Almaden Office,-121.844874,37.18899
10.184.0.0/16,Plano Office,-96.70166,33.017876
10.186.0.0/16,Almaden Office,-121.844874,37.18899
10.188.0.0/16,Almaden Office,-121.844874,37.18899
10.232.0.0/16,Plano Office,-96.70166,33.017876
192.168.0.0/16,Plano Office,-96.70166,33.017876
195.216.0.0/16,Almaden Office,-121.844874,37.18899
107.34.5.0/24,Almaden Office,-121.844874,37.18899
108.106.227.0/24,Almaden Office,-121.844874,37.18899
12.130.60.0/24,Almaden Office,-121.844874,37.18899
127.0.0.0/24,Plano Office,-96.70166,33.017876
128.241.220.0/24,Almaden Office,-121.844874,37.18899
130.253.37.0/24,Almaden Office,-121.844874,37.18899
141.146.8.0/24,Almaden Office,-121.844874,37.18899
172.16.0.0/24,Almaden Office,-121.844874,37.18899
201.42.223.0/24,Almaden Office,-121.844874,37.18899
210.191.151.0/24,Almaden Office,-121.844874,37.18899
210.217.174.0/24,Almaden Office,-121.844874,37.18899
24.15.129.0/24,Almaden Office,-121.844874,37.18899
27.35.11.0/24,Almaden Office,-121.844874,37.18899
36.2.34.0/24,Plano Office,-96.70166,33.017876
4.6.0.0/24,Plano Office,-96.70166,33.017876
5.0.0.0/24,Almaden Office,-121.844874,37.18899
6.0.0.0/24,Plano Office,-96.70166,33.017876
66.248.204.0/24,Almaden Office,-121.844874,37.18899
7.0.0.0/24,Plano Office,-96.70166,33.017876
71.239.187.0/24,Almaden Office,-121.844874,37.18899
74.125.19.0/24,Almaden Office,-121.844874,37.18899
