host,"machine_id"
"172.14.152.14","SF_Building_A_RTU_210124"
"172.14.152.14","SF_Building_A_RTU_348827"
"172.14.152.14","SF_Building_B_RTU_210114"
"172.14.152.14","SF_Building_B_RTU_348832"
"172.14.152.14","SF_Building_C_RTU_210119"
"172.14.152.15","SF_Building_A_RTU_210104"
"172.14.152.15","SF_Building_A_RTU_348842"
"172.14.152.16","SF_Building_B_RTU_348832"
"172.14.152.16","SF_Building_C_RTU_348852"
"172.14.152.17","SF_Building_C_RTU_210149"
"172.14.152.17","SF_Building_C_RTU_348852"
"172.14.152.18","SF_Building_B_RTU_210144"
"172.14.152.19","SF_Building_A_RTU_210104"
"172.14.152.19","SF_Building_A_RTU_210124"
"172.14.152.19","SF_Building_C_RTU_348852"
"172.14.152.22","SF_Building_A_RTU_348827"
"172.14.152.22","SF_Building_B_RTU_210144"
"172.14.152.22","SF_Building_B_RTU_348847"
"172.14.152.22","SF_Building_C_RTU_348837"
"172.14.152.23","SF_Building_A_RTU_210104"
"172.14.152.23","SF_Building_A_RTU_210124"
"172.14.152.23","SF_Building_A_RTU_348842"
"172.14.152.23","SF_Building_B_RTU_210144"
"172.14.152.23","SF_Building_B_RTU_348832"
"172.14.152.23","SF_Building_B_RTU_348847"
"172.14.152.23","SF_Building_C_RTU_348837"
"172.14.152.24","SF_Building_A_RTU_210124"
"172.14.152.24","SF_Building_B_RTU_210144"
"172.14.152.25","SF_Building_A_RTU_210104"
"172.14.152.25","SF_Building_B_RTU_210114"
"172.14.152.25","SF_Building_B_RTU_210129"
"172.14.152.25","SF_Building_C_RTU_210134"
"172.14.152.25","SF_Building_C_RTU_348837"
"172.14.152.26","SF_Building_A_RTU_348827"
"172.14.152.26","SF_Building_B_RTU_210129"
"172.14.152.26","SF_Building_B_RTU_348832"
"172.14.152.27","SF_Building_A_RTU_210139"
"172.14.152.27","SF_Building_A_RTU_348842"
"172.14.152.27","SF_Building_B_RTU_210114"
"172.14.152.27","SF_Building_C_RTU_210149"
"172.14.152.27","SF_Building_C_RTU_348837"
"172.14.152.29","SF_Building_A_RTU_210104"
"172.14.152.29","SF_Building_B_RTU_210114"
"172.14.152.29","SF_Building_C_RTU_210119"
"172.14.152.29","SF_Building_C_RTU_210134"
"172.14.152.29","SF_Building_C_RTU_210149"
"172.14.152.30","SF_Building_A_RTU_210139"
"172.14.152.30","SF_Building_B_RTU_210114"
"172.14.152.30","SF_Building_C_RTU_210149"
"172.14.152.31","SF_Building_A_RTU_210104"
"172.14.152.31","SF_Building_A_RTU_348827"
"172.14.152.31","SF_Building_C_RTU_210149"
"172.14.152.32","SF_Building_B_RTU_210114"
"172.14.152.32","SF_Building_C_RTU_348837"
"172.14.152.32","SF_Building_C_RTU_348852"
"172.14.152.33","SF_Building_C_RTU_210119"
"172.14.152.33","SF_Building_C_RTU_348852"
