"internal_ip","external_ip",user,"user_short","list_id"
"10.11.36.40","108.106.227.179","SplunkTel\hax0r",hax0r,0
"10.11.36.40","27.35.11.11","SplunkTel\hax0r",hax0r,0
"10.11.36.53","108.106.227.179","SplunkTel\hax0r",hax0r,0
"10.11.36.53","27.35.11.11","SplunkTel\hax0r",hax0r,0
"10.22.33.44","108.106.227.179","SplunkTel\hax0r",hax0r,0
"10.22.33.44","27.35.11.11","SplunkTel\hax0r",hax0r,0
"10.11.3.1","141.146.8.136","SplunkTel\adams_ry","adams_ry",1
"10.84.77.49","141.146.8.136","SplunkTel\adams_ry","adams_ry",1
"10.11.3.1","128.241.220.126","SplunkTel\anderson_ju","anderson_ju",1
"10.145.145.38","128.241.220.126","SplunkTel\anderson_ju","anderson_ju",1
"10.119.1.1","107.34.5.32","SplunkTel\babilon_bi","babilon_bi",1
"10.147.9.93","107.34.5.32","SplunkTel\babilon_bi","babilon_bi",1
"10.119.1.1","108.106.227.20","SplunkTel\bourg_de","bourg_de",1
"10.122.23.79","108.106.227.20","SplunkTel\bourg_de","bourg_de",1
"10.119.1.1","107.34.5.139","SplunkTel\campbell_an","campbell_an",1
"10.147.9.54","107.34.5.139","SplunkTel\campbell_an","campbell_an",1
"10.119.1.1","128.241.220.154","SplunkTel\chan_ko","chan_ko",1
"10.145.145.69","128.241.220.154","SplunkTel\chan_ko","chan_ko",1
"10.11.3.1","107.34.5.131","SplunkTel\dauria_an","dauria_an",1
"10.147.9.46","107.34.5.131","SplunkTel\dauria_an","dauria_an",1
"10.11.3.1","130.253.37.52","SplunkTel\diorio_pa","diorio_pa",1
"10.91.22.111","130.253.37.52","SplunkTel\diorio_pa","diorio_pa",1
"10.11.3.1","141.146.8.130","SplunkTel\ford_ro","ford_ro",1
"10.84.77.43","141.146.8.130","SplunkTel\ford_ro","ford_ro",1
"10.119.1.1","141.146.8.119","SplunkTel\fujara_ro","fujara_ro",1
"10.119.1.1","107.34.5.23","SplunkTel\harris_be","harris_be",1
"10.147.9.84","107.34.5.23","SplunkTel\harris_be","harris_be",1
"10.11.3.1","108.106.227.56","SplunkTel\lai_er","lai_er",1
"10.122.23.115","108.106.227.56","SplunkTel\lai_er","lai_er",1
"10.11.3.1","128.241.220.32","SplunkTel\lee_li","lee_li",1
"10.145.145.91","128.241.220.32","SplunkTel\lee_li","lee_li",1
"10.11.3.1","107.34.5.81","SplunkTel\lowe_ch","lowe_ch",1
"10.147.9.142","107.34.5.81","SplunkTel\lowe_ch","lowe_ch",1
"10.119.1.1","128.241.220.127","SplunkTel\makore_ju","makore_ju",1
"10.145.145.39","128.241.220.127","SplunkTel\makore_ju","makore_ju",1
"10.119.1.1","108.106.227.65","SplunkTel\rivera_er","rivera_er",1
"10.122.23.124","108.106.227.65","SplunkTel\rivera_er","rivera_er",1
"10.11.3.1","128.241.220.96","SplunkTel\settipane_ma","settipane_ma",1
"10.145.145.155","128.241.220.96","SplunkTel\settipane_ma","settipane_ma",1
"10.11.3.1","108.106.227.17","SplunkTel\soto_da","soto_da",1
"10.122.23.76","108.106.227.17","SplunkTel\soto_da","soto_da",1
"10.119.1.1","128.241.220.143","SplunkTel\sternberg_ke","sternberg_ke",1
"10.119.1.1","12.130.60.121","SplunkTel\valdovinos_hi","valdovinos_hi",1
"10.90.133.33","12.130.60.121","SplunkTel\valdovinos_hi","valdovinos_hi",1
"10.11.3.1","12.130.60.30","SplunkTel\yung_je","yung_je",1
"10.90.133.83","12.130.60.30","SplunkTel\yung_je","yung_je",1
"10.119.1.1","141.146.8.136","adams_ry",,1
"10.11.3.1","130.253.37.159","filippi_ni",,1
"10.11.3.1","12.130.60.151","timlin_ja",,1
