dbinstance,user,dbdetail,value
mysql_1.splunktel.com,hax0r,IsSystemObject,FALSE
mysql_1.splunktel.com,hax0r,CreateDate,2014-02-06T15:26:45.8900000
mysql_1.splunktel.com,hax0r,Language,us_english
mysql_1.splunktel.com,hax0r,LoginType,WindowsUser
mysql_1.splunktel.com,hax0r,MustChangePassword,FALSE
mysql_1.splunktel.com,hax0r,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,hax0r,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,sql_hax0r,IsSystemObject,FALSE
mysql_1.splunktel.com,sql_hax0r,CreateDate,2012-02-06T15:26:45.8900000
mysql_1.splunktel.com,sql_hax0r,Language,us_english
mysql_1.splunktel.com,sql_hax0r,LoginType,WindowsUser
mysql_1.splunktel.com,sql_hax0r,MustChangePassword,FALSE
mysql_1.splunktel.com,sql_hax0r,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,sql_hax0r,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,sql_bob,IsSystemObject,FALSE
mysql_1.splunktel.com,sql_bob,CreateDate,2012-02-06T15:26:45.8900000
mysql_1.splunktel.com,sql_bob,Language,us_english
mysql_1.splunktel.com,sql_bob,LoginType,WindowsUser
mysql_1.splunktel.com,sql_bob,MustChangePassword,FALSE
mysql_1.splunktel.com,sql_bob,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,sql_bob,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,sql_jane,IsSystemObject,FALSE
mysql_1.splunktel.com,sql_jane,CreateDate,2014-03-06T15:26:45.8900000
mysql_1.splunktel.com,sql_jane,Language,us_english
mysql_1.splunktel.com,sql_jane,LoginType,WindowsUser
mysql_1.splunktel.com,sql_jane,MustChangePassword,FALSE
mysql_1.splunktel.com,sql_jane,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,sql_jane,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,svc_app_x,IsSystemObject,FALSE
mysql_1.splunktel.com,svc_app_x,CreateDate,2014-02-06T15:26:45.8900000
mysql_1.splunktel.com,svc_app_x,Language,us_english
mysql_1.splunktel.com,svc_app_x,LoginType,WindowsUser
mysql_1.splunktel.com,svc_app_x,MustChangePassword,FALSE
mysql_1.splunktel.com,svc_app_x,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,svc_app_x,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,svc_web,IsSystemObject,FALSE
mysql_1.splunktel.com,svc_web,CreateDate,2014-02-06T15:26:45.8900000
mysql_1.splunktel.com,svc_web,Language,us_english
mysql_1.splunktel.com,svc_web,LoginType,WindowsUser
mysql_1.splunktel.com,svc_web,MustChangePassword,FALSE
mysql_1.splunktel.com,svc_web,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,svc_web,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,adm_bob,IsSystemObject,FALSE
mysql_1.splunktel.com,adm_bob,CreateDate,2014-02-06T15:26:45.8900000
mysql_1.splunktel.com,adm_bob,Language,us_english
mysql_1.splunktel.com,adm_bob,LoginType,WindowsUser
mysql_1.splunktel.com,adm_bob,MustChangePassword,FALSE
mysql_1.splunktel.com,adm_bob,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,adm_bob,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,sql_lott_je,IsSystemObject,FALSE
mysql_1.splunktel.com,sql_lott_je,CreateDate,2014-03-06T15:26:45.8900000
mysql_1.splunktel.com,sql_lott_je,Language,us_english
mysql_1.splunktel.com,sql_lott_je,LoginType,WindowsUser
mysql_1.splunktel.com,sql_lott_je,MustChangePassword,FALSE
mysql_1.splunktel.com,sql_lott_je,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,sql_lott_je,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,svc_webstore,IsSystemObject,FALSE
mysql_1.splunktel.com,svc_webstore,CreateDate,2014-02-06T15:26:45.8900000
mysql_1.splunktel.com,svc_webstore,Language,us_english
mysql_1.splunktel.com,svc_webstore,LoginType,WindowsUser
mysql_1.splunktel.com,svc_webstore,MustChangePassword,FALSE
mysql_1.splunktel.com,svc_webstore,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,svc_webstore,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,sql_jamison_sc,IsSystemObject,FALSE
mysql_1.splunktel.com,sql_jamison_sc,CreateDate,2014-02-06T15:26:45.8900000
mysql_1.splunktel.com,sql_jamison_sc,Language,us_english
mysql_1.splunktel.com,sql_jamison_sc,LoginType,WindowsUser
mysql_1.splunktel.com,sql_jamison_sc,MustChangePassword,FALSE
mysql_1.splunktel.com,sql_jamison_sc,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,sql_jamison_sc,PasswordPolicyEnforced,FALSE
mysql_1.splunktel.com,sql_jamison,IsSystemObject,FALSE
mysql_1.splunktel.com,sql_jamison,CreateDate,2018-02-06T15:26:45.8900000
mysql_1.splunktel.com,sql_jamison,Language,us_english
mysql_1.splunktel.com,sql_jamison,LoginType,WindowsUser
mysql_1.splunktel.com,sql_jamison,MustChangePassword,FALSE
mysql_1.splunktel.com,sql_jamison,PasswordExpirationEnabled,FALSE
mysql_1.splunktel.com,sql_jamison,PasswordPolicyEnforced,FALSE
