"Asset_ID",Device,Windfarm
"AWEC-01","Turbine_01","Alta Wind Energy Center"
"AWEC-02","Turbine_02","Alta Wind Energy Center"
"AWEC-03","Turbine_03","Alta Wind Energy Center"
"AWEC-04","Turbine_04","Alta Wind Energy Center"
"AWEC-05","Turbine_05","Alta Wind Energy Center"
"AWEC-06","Turbine_06","Alta Wind Energy Center"
"AWEC-07","Turbine_07","Alta Wind Energy Center"
"AWEC-08","Turbine_08","Alta Wind Energy Center"
"AWEC-09","Turbine_09","Alta Wind Energy Center"
"AWEC-10","Turbine_10","Alta Wind Energy Center"
"BWWF-01","Turbine_01","Bayannur Wulanyiligeng Wind Farm"
"BWWF-02","Turbine_02","Bayannur Wulanyiligeng Wind Farm"
"BWWF-03","Turbine_03","Bayannur Wulanyiligeng Wind Farm"
"BWWF-04","Turbine_04","Bayannur Wulanyiligeng Wind Farm"
"BWWF-05","Turbine_05","Bayannur Wulanyiligeng Wind Farm"
"BWWF-06","Turbine_06","Bayannur Wulanyiligeng Wind Farm"
"BWWF-07","Turbine_07","Bayannur Wulanyiligeng Wind Farm"
"BWWF-08","Turbine_08","Bayannur Wulanyiligeng Wind Farm"
"BWWF-09","Turbine_09","Bayannur Wulanyiligeng Wind Farm"
"BWWF-10","Turbine_10","Bayannur Wulanyiligeng Wind Farm"
"BCWF-01","Turbine_01","Biglow Canyon Wind Farm"
"BCWF-02","Turbine_02","Biglow Canyon Wind Farm"
"BCWF-03","Turbine_03","Biglow Canyon Wind Farm"
"BCWF-04","Turbine_04","Biglow Canyon Wind Farm"
"BCWF-05","Turbine_05","Biglow Canyon Wind Farm"
"BCWF-06","Turbine_06","Biglow Canyon Wind Farm"
"BCWF-07","Turbine_07","Biglow Canyon Wind Farm"
"BCWF-08","Turbine_08","Biglow Canyon Wind Farm"
"BCWF-09","Turbine_09","Biglow Canyon Wind Farm"
"BCWF-10","Turbine_10","Biglow Canyon Wind Farm"
"BGWF-01","Turbine_01","Buffalo Gap Wind Farm"
"BGWF-02","Turbine_02","Buffalo Gap Wind Farm"
"BGWF-03","Turbine_03","Buffalo Gap Wind Farm"
"BGWF-04","Turbine_04","Buffalo Gap Wind Farm"
"BGWF-05","Turbine_05","Buffalo Gap Wind Farm"
"BGWF-06","Turbine_06","Buffalo Gap Wind Farm"
"BGWF-07","Turbine_07","Buffalo Gap Wind Farm"
"BGWF-08","Turbine_08","Buffalo Gap Wind Farm"
"BGWF-09","Turbine_09","Buffalo Gap Wind Farm"
"BGWF-10","Turbine_10","Buffalo Gap Wind Farm"
"CRWF-01","Turbine_01","Capricorn Ridge Wind Farm"
"CRWF-02","Turbine_02","Capricorn Ridge Wind Farm"
"CRWF-03","Turbine_03","Capricorn Ridge Wind Farm"
"CRWF-04","Turbine_04","Capricorn Ridge Wind Farm"
"CRWF-05","Turbine_05","Capricorn Ridge Wind Farm"
"CRWF-06","Turbine_06","Capricorn Ridge Wind Farm"
"CRWF-07","Turbine_07","Capricorn Ridge Wind Farm"
"CRWF-08","Turbine_08","Capricorn Ridge Wind Farm"
"CRWF-09","Turbine_09","Capricorn Ridge Wind Farm"
"CRWF-10","Turbine_10","Capricorn Ridge Wind Farm"
"CCWF-01","Turbine_01","Cedar Creek Wind Farm"
"CCWF-02","Turbine_02","Cedar Creek Wind Farm"
"CCWF-03","Turbine_03","Cedar Creek Wind Farm"
"CCWF-04","Turbine_04","Cedar Creek Wind Farm"
"CCWF-05","Turbine_05","Cedar Creek Wind Farm"
"CCWF-06","Turbine_06","Cedar Creek Wind Farm"
"CCWF-07","Turbine_07","Cedar Creek Wind Farm"
"CCWF-08","Turbine_08","Cedar Creek Wind Farm"
"CCWF-09","Turbine_09","Cedar Creek Wind Farm"
"CCWF-10","Turbine_10","Cedar Creek Wind Farm"
"CWF-01","Turbine_01","Clyde Wind Farm"
"CWF-02","Turbine_02","Clyde Wind Farm"
"CWF-03","Turbine_03","Clyde Wind Farm"
"CWF-04","Turbine_04","Clyde Wind Farm"
"CWF-05","Turbine_05","Clyde Wind Farm"
"CWF-06","Turbine_06","Clyde Wind Farm"
"CWF-07","Turbine_07","Clyde Wind Farm"
"CWF-08","Turbine_08","Clyde Wind Farm"
"CWF-09","Turbine_09","Clyde Wind Farm"
"CWF-10","Turbine_10","Clyde Wind Farm"
"CLWF-01","Turbine_01","Crystal Lake Wind Farm"
"CLWF-02","Turbine_02","Crystal Lake Wind Farm"
"CLWF-03","Turbine_03","Crystal Lake Wind Farm"
"CLWF-04","Turbine_04","Crystal Lake Wind Farm"
"CLWF-05","Turbine_05","Crystal Lake Wind Farm"
"CLWF-06","Turbine_06","Crystal Lake Wind Farm"
"CLWF-07","Turbine_07","Crystal Lake Wind Farm"
"CLWF-08","Turbine_08","Crystal Lake Wind Farm"
"CLWF-09","Turbine_09","Crystal Lake Wind Farm"
"CLWF-10","Turbine_10","Crystal Lake Wind Farm"
"DWF-01","Turbine_01","Dabancheng Wind Farm"
"DWF-02","Turbine_02","Dabancheng Wind Farm"
"DWF-03","Turbine_03","Dabancheng Wind Farm"
"DWF-04","Turbine_04","Dabancheng Wind Farm"
"DWF-05","Turbine_05","Dabancheng Wind Farm"
"DWF-06","Turbine_06","Dabancheng Wind Farm"
"DWF-07","Turbine_07","Dabancheng Wind Farm"
"DWF-08","Turbine_08","Dabancheng Wind Farm"
"DWF-09","Turbine_09","Dabancheng Wind Farm"
"DWF-10","Turbine_10","Dabancheng Wind Farm"
"JWP-01","Turbine_01","Jaisalmer Wind Park"
"JWP-02","Turbine_02","Jaisalmer Wind Park"
"JWP-03","Turbine_03","Jaisalmer Wind Park"
"JWP-04","Turbine_04","Jaisalmer Wind Park"
"JWP-05","Turbine_05","Jaisalmer Wind Park"
"JWP-06","Turbine_06","Jaisalmer Wind Park"
"JWP-07","Turbine_07","Jaisalmer Wind Park"
