host,"machine_id"
"172.12.145.12","SF_Building_A_RTU_548827"
"172.12.145.12","SF_Building_A_RTU_720124"
"172.12.145.12","SF_Building_B_RTU_548832"
"172.12.145.12","SF_Building_B_RTU_720129"
"172.12.145.12","SF_Building_C_RTU_720119"
"172.12.145.14","SF_Building_A_RTU_720104"
"172.12.145.14","SF_Building_A_RTU_720139"
"172.12.145.14","SF_Building_B_RTU_720114"
"172.12.145.14","SF_Building_B_RTU_720144"
"172.12.145.14","SF_Building_C_RTU_720119"
"172.12.145.15","SF_Building_C_RTU_548837"
"172.12.145.15","SF_Building_C_RTU_720119"
"172.12.145.16","SF_Building_A_RTU_548827"
"172.12.145.16","SF_Building_B_RTU_720129"
"172.12.145.16","SF_Building_C_RTU_548837"
"172.12.145.17","SF_Building_A_RTU_720104"
"172.12.145.17","SF_Building_C_RTU_548852"
"172.12.145.17","SF_Building_C_RTU_720149"
"172.12.145.18","SF_Building_A_RTU_548827"
"172.12.145.18","SF_Building_B_RTU_548847"
"172.12.145.19","SF_Building_B_RTU_548847"
"172.12.145.19","SF_Building_B_RTU_720129"
"172.12.145.21","SF_Building_A_RTU_720104"
"172.12.145.21","SF_Building_A_RTU_720124"
"172.12.145.21","SF_Building_B_RTU_548847"
"172.12.145.21","SF_Building_C_RTU_720119"
"172.12.145.22","SF_Building_B_RTU_548832"
"172.12.145.22","SF_Building_B_RTU_548847"
"172.12.145.22","SF_Building_C_RTU_548837"
"172.12.145.22","SF_Building_C_RTU_720149"
"172.12.145.23","SF_Building_A_RTU_548842"
"172.12.145.23","SF_Building_A_RTU_720104"
"172.12.145.23","SF_Building_C_RTU_720119"
"172.12.145.24","SF_Building_C_RTU_548852"
"172.12.145.25","SF_Building_C_RTU_720119"
"172.12.145.26","SF_Building_B_RTU_548832"
"172.12.145.26","SF_Building_B_RTU_720114"
"172.12.145.26","SF_Building_B_RTU_720144"
"172.12.145.26","SF_Building_C_RTU_720149"
"172.12.145.27","SF_Building_A_RTU_548827"
"172.12.145.27","SF_Building_A_RTU_720139"
"172.12.145.27","SF_Building_C_RTU_548852"
"172.12.145.27","SF_Building_C_RTU_720149"
"172.12.145.29","SF_Building_A_RTU_720139"
"172.12.145.29","SF_Building_B_RTU_720129"
"172.12.145.30","SF_Building_C_RTU_548837"
"172.12.145.31","SF_Building_A_RTU_548842"
"172.12.145.32","SF_Building_B_RTU_548847"
"172.12.145.32","SF_Building_B_RTU_720129"
"172.12.145.32","SF_Building_C_RTU_548837"
"172.12.145.32","SF_Building_C_RTU_548852"
"172.12.145.33","SF_Building_A_RTU_548827"
"172.12.145.33","SF_Building_A_RTU_720139"
"172.12.145.33","SF_Building_B_RTU_720144"
"172.12.145.33","SF_Building_C_RTU_548852"
"172.12.145.33","SF_Building_C_RTU_720119"
