bunit,category,city,country,device,dns,host,ip,"is_expected",lat,long,mac,owner,"pci_domain",priority,rack,"requires_av",row,"should_timesync","should_update",x,y
,,,,C,,kepware1,"10.2.1.40",,,,"60-0D-61-84-0A-22",bgilmore,,low,,true,2,,,,
,,,,"PDU-01",,,,,,,,,,,1,,A,,,234,105
,,,,"PDU-02",,,,,,,,,,,2,,A,,,300,105
,,,,"PDU-03",,,,,,,,,,,3,,A,,,366,105
,,,,"PDU-04",,,,,,,,,,,4,,A,,,432,105
,,,,"PDU-05",,,,,,,,,,,5,,A,,,498,105
,,,,"PDU-06",,,,,,,,,,,1,,B,,,234,276
,,,,"PDU-07",,,,,,,,,,,2,,B,,,300,276
,,,,"PDU-08",,,,,,,,,,,3,,B,,,366,276
,,,,"PDU-09",,,,,,,,,,,4,,B,,,432,276
,,,,"PDU-10",,,,,,,,,,,5,,B,,,498,276
,,,,"PDU-11",,,,,,,,,,,1,,C,,,234,448
,,,,"PDU-12",,,,,,,,,,,2,,C,,,300,448
,,,,"PDU-13",,,,,,,,,,,3,,C,,,366,448
,,,,"PDU-14",,,,,,,,,,,4,,C,,,432,448
,,,,"PDU-15",,,,,,,,,,,5,,C,,,498,448
,,,,"CRAC-01",,,,,,,,,,,,,,,,101,136
,,,,"CRAC-02",,,,,,,,,,,,,,,,635,410
,,,,,,"webserver-01","10.2.1.33",yes,,,,,yes,medium,1,,A,,no,,
,,,,,,"webserver-02","10.2.1.34",yes,,,,,yes,medium,3,,B,,no,,
,,,,,,"webserver-03","10.2.1.35",yes,,,,,yes,medium,4,,C,,no,,
,,,,,,"mysql-03","10.2.2.3",yes,,,,,yes,high,3,,B,,no,,
,,,,,,"mysql-02","10.2.2.2",yes,,,,,yes,high,2,,A,,no,,
,,,,,,"mysql-04","10.2.2.4",yes,,,,,yes,high,4,,C,,no,,
,,,,,,"storage_webserver-02","10.2.3.33",yes,,,,,yes,medium,2,,A,,no,,
,,,,,,"storage_appserver-01","10.2.3.34",yes,,,,,yes,medium,1,,B,,no,,
,,,,,,"storage_exchange-03","10.2.3.35",yes,,,,,yes,high,2,,C,,no,,
,,,,,,"storage_db-01","10.2.3.36",yes,,,,,yes,critical,2,,A,,no,,
,,,,,,"nagios-01","10.2.4.91",yes,,,,,yes,medium,4,,B,,no,,
,,,,,,"network_span-01","10.2.5.1",no,,,,,yes,low,1,,A,,no,,
,,,,,,"websphere-01","10.2.3.63",yes,,,,,yes,medium,2,,A,,no,,
,,,,,,"websphere-02","10.2.3.64",yes,,,,,yes,medium,2,,B,,no,,
,,,,,,"websphere-03","10.2.3.65",yes,,,,,yes,medium,2,,C,,no,,
,,,,,,"git-01","10.2.8.1",yes,,,,,yes,low,2,,A,,no,,
,,,,,,"test-01","10.2.9.1",yes,,,,,yes,low,4,,C,,no,,
,,,,,,,,,,,,,,,,,,,,,
