ActivityId,DeploymentId,EventId,Level,Message,PartitionKey,Pid,PreciseTimeStamp,ProviderGuid,Role,RoleInstance,RowIndex,RowKey,TIMESTAMP,Tid,Timestamp,"_raw","_time",component,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dest,etag,eventtype,host,index,linecount,"object_category","object_id",package,"package_message","package_title",pid,"process_id",product,punct,signature,"signature_id","signature_message",source,sourcetype,"splunk_server","splunk_server_group",src,status,tag,"tag::eventtype","temp_epochtime",tid,timeendpos,timestartpos,user,vendor,"vendor_status"
,,,,"Security Update for Windows Server 2012 R2 (KB3010788).",,,,,,,,,,,,"2020-08-20 21:31:45:086	 494	 9nt	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 21:31:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Security Update for Windows Server 2012 R2 (KB3010788).","2020-08-20T21:31:45.086+0000",Report,21,20,31,august,45,thursday,2020,local,"ops-sys-003",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","ops-sys-003",windows,1,,,KB3010788,,"Security Update for Windows Server 2012 R2 (KB3010788).",494,494,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Security Update for Windows Server 2012 R2 (KB3010788).",KB3010788,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597959105.086",9nt,23,0,,Microsoft,"Installation Failure"
,,,,"Update for Windows 8.1 for x64-based Systems (KB3025417).",,,,,,,,,,,,"2020-08-20 21:11:45:086	 802	 54zi	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 21:11:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Update for Windows 8.1 for x64-based Systems (KB3025417).","2020-08-20T21:11:45.086+0000",Report,21,20,11,august,45,thursday,2020,local,"prod-pos-003",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","prod-pos-003",windows,1,,,KB3025417,,"Update for Windows 8.1 for x64-based Systems (KB3025417).",802,802,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Update for Windows 8.1 for x64-based Systems (KB3025417).",KB3025417,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597957905.086",54zi,23,0,,Microsoft,"Installation Failure"
,,,,"Security Update for Microsoft .NET Framework 4.5.1 and 4.5.2 on Windows 8.1 and Windows Server 2012 R2 x64-based Systems (KB2979576).",,,,,,,,,,,,"2020-08-20 20:51:45:086	 321	 24ae	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 20:51:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Security Update for Microsoft .NET Framework 4.5.1 and 4.5.2 on Windows 8.1 and Windows Server 2012 R2 x64-based Systems (KB2979576).","2020-08-20T20:51:45.086+0000",Report,20,20,51,august,45,thursday,2020,local,"prod-mfs-002",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","prod-mfs-002",windows,1,,,KB2979576,,"Security Update for Microsoft .NET Framework 4.5.1 and 4.5.2 on Windows 8.1 and Windows Server 2012 R2 x64-based Systems (KB2979576).",321,321,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Security Update for Microsoft .NET Framework 4.5.1 and 4.5.2 on Windows 8.1 and Windows Server 2012 R2 x64-based Systems (KB2979576).",KB2979576,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597956705.086",24ae,23,0,,Microsoft,"Installation Failure"
,,,,"Security Update for Windows 8 for x64-based Systems (KB2868626).",,,,,,,,,,,,"2020-08-20 20:31:45:086	 139	 93hu	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 20:31:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Security Update for Windows 8 for x64-based Systems (KB2868626).","2020-08-20T20:31:45.086+0000",Report,20,20,31,august,45,thursday,2020,local,"iis-srv-167",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","iis-srv-167",windows,1,,,KB2868626,,"Security Update for Windows 8 for x64-based Systems (KB2868626).",139,139,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Security Update for Windows 8 for x64-based Systems (KB2868626).",KB2868626,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597955505.086",93hu,23,0,,Microsoft,"Installation Failure"
,,,,"Update for Windows Server 2012 R2 (KB3146978).",,,,,,,,,,,,"2020-08-20 20:11:45:086	 177	 65lp	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 20:11:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Update for Windows Server 2012 R2 (KB3146978).","2020-08-20T20:11:45.086+0000",Report,20,20,11,august,45,thursday,2020,local,"web-srv-01",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","web-srv-01",windows,1,,,KB3146978,,"Update for Windows Server 2012 R2 (KB3146978).",177,177,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Update for Windows Server 2012 R2 (KB3146978).",KB3146978,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597954305.086",65lp,23,0,,Microsoft,"Installation Failure"
,,,,"Update for Windows 8.1 for x64-based Systems (KB3041857).",,,,,,,,,,,,"2020-08-20 20:08:45:086	 249	 16fc	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 20:08:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Update for Windows 8.1 for x64-based Systems (KB3041857).","2020-08-20T20:08:45.086+0000",Report,20,20,8,august,45,thursday,2020,local,"exch-cas-san-01",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","exch-cas-san-01",windows,1,,,KB3041857,,"Update for Windows 8.1 for x64-based Systems (KB3041857).",249,249,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Update for Windows 8.1 for x64-based Systems (KB3041857).",KB3041857,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597954125.086",16fc,23,0,,Microsoft,"Installation Failure"
,,,,"Security Update for Microsoft .NET Framework 3.5 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2840633).",,,,,,,,,,,,"2020-08-20 19:51:45:086	 236	 51ae	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 19:51:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Security Update for Microsoft .NET Framework 3.5 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2840633).","2020-08-20T19:51:45.086+0000",Report,19,20,51,august,45,thursday,2020,local,"prod-pos-003",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","prod-pos-003",windows,1,,,KB2840633,,"Security Update for Microsoft .NET Framework 3.5 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2840633).",236,236,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Security Update for Microsoft .NET Framework 3.5 on Windows 8 and Windows Server 2012 for x64-based Systems (KB2840633).",KB2840633,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597953105.086",51ae,23,0,,Microsoft,"Installation Failure"
,,,,"Security Update for Windows 8.1 for x64-based Systems (KB3071756).",,,,,,,,,,,,"2020-08-20 19:31:45:086	 788	 84zi	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 19:31:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Security Update for Windows 8.1 for x64-based Systems (KB3071756).","2020-08-20T19:31:45.086+0000",Report,19,20,31,august,45,thursday,2020,local,"o-db-srv-003",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","o-db-srv-003",windows,1,,,KB3071756,,"Security Update for Windows 8.1 for x64-based Systems (KB3071756).",788,788,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Security Update for Windows 8.1 for x64-based Systems (KB3071756).",KB3071756,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597951905.086",84zi,23,0,,Microsoft,"Installation Failure"
,,,,"Security Update for Windows 8.1 for x64-based Systems (KB3021674).",,,,,,,,,,,,"2020-08-20 19:31:45:086	 66	 5lp	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 19:31:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Security Update for Windows 8.1 for x64-based Systems (KB3021674).","2020-08-20T19:31:45.086+0000",Report,19,20,31,august,45,thursday,2020,local,"exch-cas-san-01",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","exch-cas-san-01",windows,1,,,KB3021674,,"Security Update for Windows 8.1 for x64-based Systems (KB3021674).",66,66,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Security Update for Windows 8.1 for x64-based Systems (KB3021674).",KB3021674,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597951905.086",5lp,23,0,,Microsoft,"Installation Failure"
,,,,"Definition Update for Windows Defender - KB2267602 (Definition 1.203.1452.0).",,,,,,,,,,,,"2020-08-20 19:14:45:086	 113	 44nt	Report	REPORT EVENT: {F0CB1999-8220-477E-A653-03F5E45B309C}	2020-08-20 19:14:50:836+0800	1	198	101	{25C1D556-3558-4FEB-8AAE-C7350438D446}	101	80080005	AutomaticUpdates	Failure	Content Install	Installation Failure: Windows failed to install the following update with error 0x80080005: Definition Update for Windows Defender - KB2267602 (Definition 1.203.1452.0).","2020-08-20T19:14:45.086+0000",Report,19,20,14,august,45,thursday,2020,local,"dc-san-01",,"Key_Events_On_Hosts Update_Failed batchd_index updatelog_Update_Failed windows_updatelog windows_updatelog_status windowsupdatelog_windows","dc-san-01",windows,1,,,KB2267602,,"Definition Update for Windows Defender - KB2267602 (Definition 1.203.1452.0).",113,113,Windows,"--_:::t_t_tt_:_{----}t--_:::+tttt{----}ttttt_t_:__","Definition Update for Windows Defender - KB2267602 (Definition 1.203.1452.0).",KB2267602,,"WindowsUpdate.log",WindowsUpdateLog,"ip-10-202-9-32.ec2.splunkit.io",,,failure,"Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","Key_Events_On_Hosts
Windows_Update
ms_ex_health_events
os
status
system
update
windows","1597950885.086",44nt,23,0,,Microsoft,"Installation Failure"
