ComplianceSummaryTimestamp,ComplianceType,"CompliantResourceCount.CapExceeded","CompliantResourceCount.CappedCount",ConfigRuleArn,ConfigRuleId,ConfigRuleInvokedTime,ConfigRuleName,ConfigRuleState,Description,"EvaluationResultIdentifier.EvaluationResultQualifier.ConfigRuleName","EvaluationResultIdentifier.EvaluationResultQualifier.ResourceId","EvaluationResultIdentifier.EvaluationResultQualifier.ResourceType","EvaluationResultIdentifier.OrderingTimestamp","NonCompliantResourceCount.CapExceeded","NonCompliantResourceCount.CappedCount",ResultRecordedTime,"Scope.ComplianceResourceTypes{}","Source.Owner","Source.SourceIdentifier","account_id","aws_account_id","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",description,enabled,eventtype,host,index,linecount,name,punct,region,source,sourcetype,"splunk_server","splunk_server_group","src_user",status,tag,"tag::eventtype",time,timeendpos,timestamp,timestartpos,"tmp_epochtime","user_id","_raw","_time"
,,,,"arn:aws:config:us-west-2:063605715280:config-rule/config-rule-slrb88","config-rule-slrb88",,"cloudtrail-enabled",ACTIVE,"Checks whether AWS CloudTrail is enabled in your AWS account. Optionally; you can specify which S3 bucket; SNS topic; and Amazon CloudWatch Logs ARN to use.",,,,,,,,"AWS::EC2::Instance",AWS,"CLOUD_TRAIL_ENABLED",063605715280,063605715280,,,,,,,,,"Checks whether AWS CloudTrail is enabled in your AWS account. Optionally; you can specify which S3 bucket; SNS topic; and Amazon CloudWatch Logs ARN to use.",1,"aws_config_rule_events","eventgen-hod",eventgen,1,"cloudtrail-enabled","{"""":_"":::--::-/--"",_"""":_""_________._;______;__;___","us-west-2","063605715280:us-west-2:configRule","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,AWS,ACTIVE,"inventory
network
snapshot
user","inventory
network
snapshot
user",,,none,,1600167385,063605715280,"{""ConfigRuleArn"": ""arn:aws:config:us-west-2:063605715280:config-rule/config-rule-slrb88"", ""Description"": ""Checks whether AWS CloudTrail is enabled in your AWS account. Optionally; you can specify which S3 bucket; SNS topic; and Amazon CloudWatch Logs ARN to use."", ""ConfigRuleName"": ""cloudtrail-enabled"", ""Source"": {""SourceIdentifier"": ""CLOUD_TRAIL_ENABLED"", ""Owner"": ""AWS""}, ""ConfigRuleId"": ""config-rule-slrb88"", ""Scope"": {""ComplianceResourceTypes"": [""AWS::EC2::Instance""]}, ""ConfigRuleState"": ""ACTIVE""}","2020-09-15T10:56:25.000+0000"
"2020-09-15 04:41:48.000000+08:00",,false,1,,,,"eip-attached",,,,,,,false,1,,,,,063605715280,063605715280,4,15,41,september,48,tuesday,2020,480,,0,"aws_config_rule_compliancesummary_events","eventgen-hod",eventgen,1,"eip-attached","{"""":_""--_::.+:"",_"""":_{"""":_,_"""":_},_"""":_""-"",_"""":_{""","us-west-2","063605715280:us-west-2:configRule:complianceSummary","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,,,"inventory
network
user","inventory
network
user",,64,,32,"1600116108.000000",063605715280,"{""ComplianceSummaryTimestamp"": ""2020-09-15 04:41:48.000000+08:00"", ""NonCompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}, ""ConfigRuleName"": ""eip-attached"", ""CompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}}","2020-09-14T20:41:48.000+0000"
"2020-09-15 04:15:21.000000+08:00",,false,1,,,,"encrypted-volumes",,,,,,,false,1,,,,,063605715280,063605715280,4,15,15,september,21,tuesday,2020,480,,0,"aws_config_rule_compliancesummary_events","eventgen-hod",eventgen,1,"encrypted-volumes","{"""":_""--_::.+:"",_"""":_{"""":_,_"""":_},_"""":_""-"",_"""":_{""","us-west-2","063605715280:us-west-2:configRule:complianceSummary","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,,,"inventory
network
user","inventory
network
user",,64,,32,"1600114521.000000",063605715280,"{""ComplianceSummaryTimestamp"": ""2020-09-15 04:15:21.000000+08:00"", ""NonCompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}, ""ConfigRuleName"": ""encrypted-volumes"", ""CompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}}","2020-09-14T20:15:21.000+0000"
"2020-09-15 01:32:44.000000+08:00",,false,1,,,,"eip-attached",,,,,,,false,1,,,,,063605715280,063605715280,1,15,32,september,44,tuesday,2020,480,,0,"aws_config_rule_compliancesummary_events","eventgen-hod",eventgen,1,"eip-attached","{"""":_""--_::.+:"",_"""":_{"""":_,_"""":_},_"""":_""-"",_"""":_{""","us-west-2","063605715280:us-west-2:configRule:complianceSummary","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,,,"inventory
network
user","inventory
network
user",,64,,32,"1600104764.000000",063605715280,"{""ComplianceSummaryTimestamp"": ""2020-09-15 01:32:44.000000+08:00"", ""NonCompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}, ""ConfigRuleName"": ""eip-attached"", ""CompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}}","2020-09-14T17:32:44.000+0000"
,"NON_COMPLIANT",,,,,"2020-09-15 01:13:01.000000+08:00",,,,"cloudtrail-enabled","i-33780497","AWS::EC2::Instance","2020-09-15 01:13:01.000000+08:00",,,"2020-09-15 01:13:01.000000+08:00",,,,063605715280,063605715280,1,15,13,september,1,tuesday,2020,480,,0,"aws_config_rule_compliancedetail_events","eventgen-hod",eventgen,1,,"{"""":_"""","""":""--_::.+:"","""":_{"""":_{"""":""-"",_"""":""::::"",","us-west-2","063605715280:us-west-2:configRule:complianceDetail","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,,,"inventory
snapshot
user","inventory
snapshot
user",,92,,60,"1600103581.000000",063605715280,"{""ComplianceType"": ""NON_COMPLIANT"",""ConfigRuleInvokedTime"":""2020-09-15 01:13:01.000000+08:00"",""EvaluationResultIdentifier"": {""EvaluationResultQualifier"": {""ResourceId"":""i-33780497"", ""ResourceType"":""AWS::EC2::Instance"", ""ConfigRuleName"":""cloudtrail-enabled""}, ""OrderingTimestamp"":""2020-09-15 01:13:01.000000+08:00""}, ""ResultRecordedTime"":""2020-09-15 01:13:01.000000+08:00""}","2020-09-14T17:13:01.000+0000"
,COMPLIANT,,,,,"2020-09-15 00:01:37.000000+08:00",,,,"cloudtrail-enabled","i-91b5c935","AWS::EC2::Instance","2020-09-15 00:01:37.000000+08:00",,,"2020-09-15 00:01:37.000000+08:00",,,,063605715280,063605715280,0,15,1,september,37,tuesday,2020,480,,0,"aws_config_rule_compliancedetail_events","eventgen-hod",eventgen,1,,"{"""":_"""","""":""--_::.+:"","""":_{"""":_{"""":""-"",_"""":""::::"",","us-west-2","063605715280:us-west-2:configRule:complianceDetail","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,,,"inventory
snapshot
user","inventory
snapshot
user",,88,,56,"1600099297.000000",063605715280,"{""ComplianceType"": ""COMPLIANT"",""ConfigRuleInvokedTime"":""2020-09-15 00:01:37.000000+08:00"",""EvaluationResultIdentifier"": {""EvaluationResultQualifier"": {""ResourceId"":""i-91b5c935"", ""ResourceType"":""AWS::EC2::Instance"", ""ConfigRuleName"":""cloudtrail-enabled""}, ""OrderingTimestamp"":""2020-09-15 00:01:37.000000+08:00""}, ""ResultRecordedTime"":""2020-09-15 00:01:37.000000+08:00""}","2020-09-14T16:01:37.000+0000"
"2020-09-14 20:49:22.000000+08:00",,false,1,,,,"cloudtrail-enabled",,,,,,,false,1,,,,,063605715280,063605715280,20,14,49,september,22,monday,2020,480,,0,"aws_config_rule_compliancesummary_events","eventgen-hod",eventgen,1,"cloudtrail-enabled","{"""":_""--_::.+:"",_"""":_{"""":_,_"""":_},_"""":_""-"",_"""":_{""","us-west-2","063605715280:us-west-2:configRule:complianceSummary","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,,,"inventory
network
user","inventory
network
user",,64,,32,"1600087762.000000",063605715280,"{""ComplianceSummaryTimestamp"": ""2020-09-14 20:49:22.000000+08:00"", ""NonCompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}, ""ConfigRuleName"": ""cloudtrail-enabled"", ""CompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}}","2020-09-14T12:49:22.000+0000"
"2020-09-14 20:37:49.000000+08:00",,false,1,,,,"cloudtrail-enabled",,,,,,,false,1,,,,,063605715280,063605715280,20,14,37,september,49,monday,2020,480,,0,"aws_config_rule_compliancesummary_events","eventgen-hod",eventgen,1,"cloudtrail-enabled","{"""":_""--_::.+:"",_"""":_{"""":_,_"""":_},_"""":_""-"",_"""":_{""","us-west-2","063605715280:us-west-2:configRule:complianceSummary","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,,,"inventory
network
user","inventory
network
user",,64,,32,"1600087069.000000",063605715280,"{""ComplianceSummaryTimestamp"": ""2020-09-14 20:37:49.000000+08:00"", ""NonCompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}, ""ConfigRuleName"": ""cloudtrail-enabled"", ""CompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}}","2020-09-14T12:37:49.000+0000"
,,,,"arn:aws:config:us-west-2:063605715280:config-rule/config-rule-drivmd","config-rule-drivmd",,"eip-attached",ACTIVE,"Checks whether Elastic IP addresses that are allocated for use in a VPC are attached to EC2 instances.",,,,,,,,"AWS::EC2::Instance",AWS,"EIP_ATTACHED",063605715280,063605715280,,,,,,,,,"Checks whether Elastic IP addresses that are allocated for use in a VPC are attached to EC2 instances.",1,"aws_config_rule_events","eventgen-hod",eventgen,1,"eip-attached","{"""":_"":::--::-/--"",_"""":_""_________________."",_"""":_","us-west-2","063605715280:us-west-2:configRule","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,AWS,ACTIVE,"inventory
network
snapshot
user","inventory
network
snapshot
user",,,none,,1600084502,063605715280,"{""ConfigRuleArn"": ""arn:aws:config:us-west-2:063605715280:config-rule/config-rule-drivmd"", ""Description"": ""Checks whether Elastic IP addresses that are allocated for use in a VPC are attached to EC2 instances."", ""ConfigRuleName"": ""eip-attached"", ""Source"": {""SourceIdentifier"": ""EIP_ATTACHED"", ""Owner"": ""AWS""}, ""ConfigRuleId"": ""config-rule-drivmd"", ""Scope"": {""ComplianceResourceTypes"": [""AWS::EC2::Instance""]}, ""ConfigRuleState"": ""ACTIVE""}","2020-09-14T11:55:02.000+0000"
"2020-09-14 19:10:31.000000+08:00",,false,1,,,,"cloudtrail-enabled",,,,,,,false,1,,,,,063605715280,063605715280,19,14,10,september,31,monday,2020,480,,0,"aws_config_rule_compliancesummary_events","eventgen-hod",eventgen,1,"cloudtrail-enabled","{"""":_""--_::.+:"",_"""":_{"""":_,_"""":_},_"""":_""-"",_"""":_{""","us-west-2","063605715280:us-west-2:configRule:complianceSummary","aws:config:rule","ip-10-202-0-194.ec2.splunkit.io",,,,"inventory
network
user","inventory
network
user",,64,,32,"1600081831.000000",063605715280,"{""ComplianceSummaryTimestamp"": ""2020-09-14 19:10:31.000000+08:00"", ""NonCompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}, ""ConfigRuleName"": ""cloudtrail-enabled"", ""CompliantResourceCount"": {""CappedCount"": 1, ""CapExceeded"": false}}","2020-09-14T11:10:31.000+0000"
