host,instance,"tmp_epochtime","win_storage_free","_time"
"win02.internal.tmi.com","C:",1624280460,"35.201839203784544","2021-06-21T13:01:00.000+0000"
"win02.internal.tmi.com","C:",1624280640,"38.73420745885209","2021-06-21T13:04:00.000+0000"
"win01.internal.tmi.com","C:",1624280760,"44.19526728192403","2021-06-21T13:06:00.000+0000"
"win02.internal.tmi.com","C:",1624280940,"44.40977975702742","2021-06-21T13:09:00.000+0000"
"win01.internal.tmi.com","C:",1624281120,"44.35063943435598","2021-06-21T13:12:00.000+0000"
"win02.internal.tmi.com","C:",1624281180,"40.38487592940193","2021-06-21T13:13:00.000+0000"
"win01.internal.tmi.com","C:",1624281420,"38.54301602631465","2021-06-21T13:17:00.000+0000"
"win01.internal.tmi.com","C:",1624281480,"37.26897992048793","2021-06-21T13:18:00.000+0000"
"win02.internal.tmi.com","C:",1624281540,"36.86347805305941","2021-06-21T13:19:00.000+0000"
"win02.internal.tmi.com","C:",1624281840,"36.10029412638395","2021-06-21T13:24:00.000+0000"
"win01.internal.tmi.com","C:",1624281900,"37.374139319871965","2021-06-21T13:25:00.000+0000"
"win01.internal.tmi.com","C:",1624282140,"41.17869303483719","2021-06-21T13:29:00.000+0000"
"win02.internal.tmi.com","C:",1624282140,"37.09630293304894","2021-06-21T13:29:00.000+0000"
"win01.internal.tmi.com","C:",1624282320,"36.20398015999138","2021-06-21T13:32:00.000+0000"
"win02.internal.tmi.com","C:",1624282500,"40.299104597008856","2021-06-21T13:35:00.000+0000"
"win02.internal.tmi.com","C:",1624282740,"39.42851571209228","2021-06-21T13:39:00.000+0000"
"win01.internal.tmi.com","C:",1624282860,"35.62552489348641","2021-06-21T13:41:00.000+0000"
"win01.internal.tmi.com","C:",1624283100,"36.28758414987533","2021-06-21T13:45:00.000+0000"
"win02.internal.tmi.com","C:",1624283160,"39.56453921476755","2021-06-21T13:46:00.000+0000"
"win01.internal.tmi.com","C:",1624283460,"41.56807504318199","2021-06-21T13:51:00.000+0000"
"win02.internal.tmi.com","C:",1624283460,"44.62825409716241","2021-06-21T13:51:00.000+0000"
"win01.internal.tmi.com","C:",1624283760,"37.573932395522945","2021-06-21T13:56:00.000+0000"
"win02.internal.tmi.com","C:",1624283760,"42.180970422079284","2021-06-21T13:56:00.000+0000"
"win02.internal.tmi.com","C:",1624283820,"44.166266238895936","2021-06-21T13:57:00.000+0000"
"win01.internal.tmi.com","C:",1624284120,"41.8835818403021","2021-06-21T14:02:00.000+0000"
"win02.internal.tmi.com","C:",1624284120,"45.200510951351475","2021-06-21T14:02:00.000+0000"
"win01.internal.tmi.com","C:",1624284420,"36.73344666899969","2021-06-21T14:07:00.000+0000"
"win02.internal.tmi.com","C:",1624284480,"37.4031307798168","2021-06-21T14:08:00.000+0000"
"win01.internal.tmi.com","C:",1624284660,"41.90684979360475","2021-06-21T14:11:00.000+0000"
"win02.internal.tmi.com","C:",1624284780,"43.776269969766595","2021-06-21T14:13:00.000+0000"
"win02.internal.tmi.com","C:",1624285020,"41.09917081180785","2021-06-21T14:17:00.000+0000"
"win01.internal.tmi.com","C:",1624285080,"44.10647762570443","2021-06-21T14:18:00.000+0000"
"win01.internal.tmi.com","C:",1624285380,"43.927238282794264","2021-06-21T14:23:00.000+0000"
"win02.internal.tmi.com","C:",1624285440,"43.35603679443033","2021-06-21T14:24:00.000+0000"
"win02.internal.tmi.com","C:",1624285680,"39.037436775875584","2021-06-21T14:28:00.000+0000"
"win01.internal.tmi.com","C:",1624285800,"37.38250300859244","2021-06-21T14:30:00.000+0000"
