"_time","ifs.percent.used"
"1606809600.000000","20.100"
"1606896000.000000","25.400"
"1606982400.000000","25.875"
"1607068800.000000","28.125"
"1607155200.000000","22.300"
"1607241600.000000","33.925"
"1607328000.000000","37.325"
"1607414400.000000","45.332"
"1607500800.000000","41.450"
"1607587200.000000","43.325"
"1607673600.000000","45.250"
"1607760000.000000","47.450"
"1607846400.000000","49.850"
"1607932800.000000","53.500"
"1608019200.000000","55.975"
"1608105600.000000","58.500"
"1608192000.000000","60.950"
"1608278400.000000","64.300"
"1608364800.000000","66.825"
"1608451200.000000","69.925"
