"_time","node.cpu.count","node.cpu.sys.max","node.cpu.user.max"
"1608614100.000000",4,"0.421","0.779"
"1608615000.000000",4,80,148
"1608615900.000000",4,"39.2","72.4"
"1608616800.000000",4,"1.26","2.34"
"1608617700.000000",4,"5.05","9.35"
"1608618600.000000",4,"25.7","47.5"
"1608619500.000000",4,120,222
"1608620400.000000",4,"0.00","0.00"
"1608621300.000000",4,"31.2","57.6"
"1608622200.000000",4,"32.8","60.8"
"1608623100.000000",4,"27.4","50.6"
"1608624000.000000",4,"1.26","2.34"
"1608624900.000000",4,"37.5","69.3"
"1608625800.000000",4,"6.74","12.5"
"1608626700.000000",4,"3.37","6.23"
"1608627600.000000",4,"14.7","27.3"
"1608628500.000000",4,"17.7","32.7"
"1608629400.000000",4,"10.9","20.3"
"1608630300.000000",4,"36.2","67.0"
"1608631200.000000",4,"9.26","17.1"
"1608632100.000000",4,"2.11","3.89"
"1608633000.000000",4,"0.842","1.56"
"1608633900.000000",4,"5.47","10.1"
"1608634800.000000",4,"4.63","8.57"
"1608635700.000000",4,"31.6","58.4"
"1608636600.000000",4,100,185
"1608637500.000000",4,"6.74","12.5"
"1608638400.000000",4,"29.9","55.3"
"1608639300.000000",4,"38.7","71.7"
"1608640200.000000",4,"37.1","68.5"
"1608641100.000000",4,"20.6","38.2"
"1608642000.000000",4,"5.47","10.1"
"1608642900.000000",4,100,185
"1608643800.000000",4,"14.7","27.3"
"1608644700.000000",4,"11.4","21.0"
"1608645600.000000",4,"13.9","25.7"
"1608646500.000000",4,"34.9","64.7"
"1608647400.000000",4,"38.7","71.7"
"1608648300.000000",4,"30.3","56.1"
"1608649200.000000",4,"33.7","62.3"
"1608650100.000000",4,"13.9","25.7"
"1608651000.000000",4,"22.7","42.1"
"1608651900.000000",4,"34.1","63.1"
"1608652800.000000",4,"37.1","68.5"
"1608653700.000000",4,"8.42","15.6"
"1608654600.000000",4,"18.5","34.3"
"1608655500.000000",4,"12.6","23.4"
"1608656400.000000",4,"17.7","32.7"
"1608657300.000000",4,"23.2","42.8"
"1608658200.000000",4,"25.7","47.5"
"1608659100.000000",4,"3.37","6.23"
"1608660000.000000",4,"36.2","67.0"
"1608660900.000000",4,"9.26","17.1"
"1608661800.000000",4,"4.63","8.57"
"1608662700.000000",4,"13.5","24.9"
"1608663600.000000",4,"6.32","11.7"
"1608664500.000000",4,"16.8","31.2"
"1608665400.000000",4,"11.8","21.8"
"1608666300.000000",4,"24.0","44.4"
"1608667200.000000",4,"35.4","65.4"
"1608668100.000000",4,"5.05","9.35"
"1608669000.000000",4,"8.84","16.4"
"1608669900.000000",4,"26.9","49.9"
"1608670800.000000",4,"10.9","20.3"
"1608671700.000000",4,"0.842","1.56"
"1608672600.000000",4,"38.7","71.7"
"1608673500.000000",4,"33.7","62.3"
"1608674400.000000",4,"3.79","7.01"
"1608675300.000000",4,"39.6","73.2"
"1608676200.000000",4,"16.4","30.4"
"1608677100.000000",4,"22.3","41.3"
"1608678000.000000",4,"39.6","73.2"
"1608678900.000000",4,"16.0","29.6"
"1608679800.000000",4,"13.5","24.9"
"1608680700.000000",4,"9.68","17.9"
"1608681600.000000",4,40,74
"1608682500.000000",4,"32.8","60.8"
"1608683400.000000",4,"6.32","11.7"
"1608684300.000000",4,"6.32","11.7"
"1608685200.000000",4,"34.1","63.1"
"1608686100.000000",4,"1.26","2.34"
"1608687000.000000",4,"8.42","15.6"
"1608687900.000000",4,"28.6","53.0"
"1608688800.000000",4,"18.9","35.1"
"1608689700.000000",4,"19.4","35.8"
"1608690600.000000",4,"34.5","63.9"
"1608691500.000000",4,"34.9","64.7"
"1608692400.000000",4,"30.7","56.9"
"1608693300.000000",4,"35.8","66.2"
"1608694200.000000",4,"21.5","39.7"
"1608695100.000000",4,60,111
"1608696000.000000",4,"17.7","32.7"
"1608696900.000000",4,"21.9","40.5"
"1608697800.000000",4,"21.5","39.7"
"1608698700.000000",4,"20.2","37.4"
"1608699600.000000",4,"15.2","28.0"
"1608700500.000000",4,"32.8","60.8"
"1608701400.000000",4,"35.8","66.2"
"1608702300.000000",4,"20.6","38.2"
"1608703200.000000",4,"0.00","0.00"
"1608704100.000000",4,"34.5","63.9"
"1608705000.000000",4,60,111
"1608705900.000000",4,"5.89","10.9"
"1608706800.000000",4,"14.7","27.3"
"1608707700.000000",4,"27.8","51.4"
"1608708600.000000",4,"29.9","55.3"
"1608709500.000000",4,"8.84","16.4"
"1608710400.000000",4,"7.16","13.2"
"1608711300.000000",4,"35.4","65.4"
"1608712200.000000",4,"15.2","28.0"
"1608713100.000000",4,"18.9","35.1"
"1608714000.000000",4,"38.3","70.9"
"1608714900.000000",4,"2.53","4.67"
"1608715800.000000",4,"17.3","31.9"
"1608716700.000000",4,"28.2","52.2"
"1608717600.000000",4,"27.4","50.6"
"1608718500.000000",4,80,148
"1608719400.000000",4,"0.421","0.779"
"1608720300.000000",4,"1.68","3.12"
"1608721200.000000",4,"14.3","26.5"
"1608722100.000000",4,"7.16","13.2"
"1608723000.000000",4,"24.4","45.2"
"1608723900.000000",4,"27.4","50.6"
"1608724800.000000",4,40,74
"1608725700.000000",4,"11.8","21.8"
"1608726600.000000",4,"2.11","3.89"
"1608727500.000000",4,"18.9","35.1"
"1608728400.000000",4,"3.37","6.23"
"1608729300.000000",4,"16.8","31.2"
"1608730200.000000",4,"39.6","73.2"
"1608731100.000000",4,"23.2","42.8"
"1608732000.000000",4,"27.8","51.4"
"1608732900.000000",4,120,222
"1608733800.000000",4,"39.6","73.2"
"1608734700.000000",4,"37.1","68.5"
"1608735600.000000",4,60,111
"1608736500.000000",4,"21.1","38.9"
"1608737400.000000",4,"34.5","63.9"
"1608738300.000000",4,"34.1","63.1"
"1608739200.000000",4,"16.8","31.2"
"1608740100.000000",4,"26.1","48.3"
"1608741000.000000",4,"6.74","12.5"
"1608741900.000000",4,100,185
"1608742800.000000",4,"13.1","24.1"
"1608743700.000000",4,"0.00","0.00"
"1608744600.000000",4,"0.842","1.56"
"1608745500.000000",4,"13.9","25.7"
"1608746400.000000",4,"18.1","33.5"
"1608747300.000000",4,"30.3","56.1"
"1608748200.000000",4,"23.6","43.6"
"1608749100.000000",4,"28.6","53.0"
"1608750000.000000",4,"8.42","15.6"
"1608750900.000000",4,"38.3","70.9"
"1608751800.000000",4,"23.2","42.8"
"1608752700.000000",4,"10.9","20.3"
"1608753600.000000",4,"36.2","67.0"
"1608754500.000000",4,"23.2","42.8"
"1608755400.000000",4,"6.32","11.7"
"1608756300.000000",4,"18.9","35.1"
"1608757200.000000",4,"24.8","46.0"
"1608758100.000000",4,"20.6","38.2"
"1608759000.000000",4,"19.8","36.6"
"1608759900.000000",4,"32.4","60.0"
"1608760800.000000",4,"1.68","3.12"
"1608761700.000000",4,"1.26","2.34"
"1608762600.000000",4,"24.0","44.4"
"1608763500.000000",4,"12.6","23.4"
"1608764400.000000",4,"24.8","46.0"
"1608765300.000000",4,"2.95","5.45"
"1608766200.000000",4,"29.9","55.3"
"1608767100.000000",4,"37.5","69.3"
"1608768000.000000",4,"8.00","14.8"
"1608768900.000000",4,"26.9","49.9"
"1608769800.000000",4,"1.68","3.12"
"1608770700.000000",4,40,74
"1608771600.000000",4,"7.16","13.2"
"1608772500.000000",4,"7.58","14.0"
"1608773400.000000",4,"15.6","28.8"
"1608774300.000000",4,"12.6","23.4"
"1608775200.000000",4,"37.5","69.3"
"1608776100.000000",4,"21.1","38.9"
"1608777000.000000",4,"10.9","20.3"
"1608777900.000000",4,"4.21","7.79"
"1608778800.000000",4,"39.6","73.2"
"1608779700.000000",4,"16.4","30.4"
"1608780600.000000",4,"8.84","16.4"
"1608781500.000000",4,"5.05","9.35"
"1608782400.000000",4,"21.5","39.7"
"1608783300.000000",4,"32.0","59.2"
"1608784200.000000",4,"3.37","6.23"
"1608785100.000000",4,"3.37","6.23"
"1608786000.000000",4,"36.6","67.8"
"1608786900.000000",4,"30.7","56.9"
"1608787800.000000",4,"34.5","63.9"
"1608788700.000000",4,"3.79","7.01"
"1608789600.000000",4,"31.2","57.6"
"1608790500.000000",4,100,185
"1608791400.000000",4,"3.37","6.23"
"1608792300.000000",4,"26.5","49.1"
"1608793200.000000",4,"19.8","36.6"
"1608794100.000000",4,"35.8","66.2"
"1608795000.000000",4,"30.7","56.9"
"1608795900.000000",4,"31.2","57.6"
"1608796800.000000",4,"29.9","55.3"
"1608797700.000000",4,"5.47","10.1"
"1608798600.000000",4,"29.9","55.3"
"1608799500.000000",4,"38.7","71.7"
