Arn,"AvailabilityZones{}.SubnetId","AvailabilityZones{}.ZoneName",CanonicalHostedZoneId,CodeSha256,CodeSize,CreateDate,CreatedTime,CreationDate,DNSName,Description,FunctionArn,FunctionName,Handler,IpAddressType,LastModified,LoadBalancerArn,LoadBalancerName,LocationConstraint,"LoggingEnabled.TargetBucket","LoggingEnabled.TargetPrefix",MemorySize,Name,PackageType,PasswordLastUsed,Path,RevisionId,Role,"Rules{}.Expiration.Days","Rules{}.ID","Rules{}.NoncurrentVersionExpiration.NoncurrentDays","Rules{}.Status",Runtime,Scheme,"SecurityGroups{}","State.Code","TagSet{}.Key","TagSet{}.Value","Tags{}.Key","Tags{}.Value",Timeout,"TracingConfig.Mode",Type,UserId,UserName,Version,VpcId,"_raw","_time","account_id",adefaultForAz,"allocation_id","ami_launch_index",architecture,"association_id","associations{}.id","associations{}.subnet_id","attach_data.attach_time","attach_data.deleteOnTermination","attach_data.device","attach_data.id","attach_data.instance_id","attach_data.status","availability_zone","availability_zones{}","available_ip_address_count","aws_account_id","cidr_block","classic_link_enabled","client_token","cpu_cores","create_time","created_time","custom_tag","custom_tag_str",default,description,"dhcp_options_id",dns,"dns_name",domain,"ebs_optimized",encrypted,eventtype,fingerprint,"group_name","health_check.healthy_threshold","health_check.interval","health_check.target","health_check.timeout","health_check.unhealthy_threshold",host,hypervisor,"hypervisor_name",id,identity,"image_id","image_name",index,"instance_id","instance_lifecycle","instance_profile","instance_profile.arn","instance_profile.id","instance_tenancy","instance_type","instances{}.id","instances{}.instance_id","instances{}.state",iops,ip,"ip_address","is_default","is_public",item,kernel,"kernel_id","key_name","launch_time",linecount,"listeners{}.instance_port","listeners{}.instance_protocol","listeners{}.load_balancer_port","listeners{}.protocol","listeners{}.ssl_certificate_id",location,mapPublicIpOnLaunch,"mem_capacity",monitored,monitoring,"monitoring_state",name,"network_interface_id","network_interface_owner_id","nt_host","owner_alias","owner_id",persistent,placement,"placement_group","placement_tenancy",platform,"power_state","previous_state","previous_state_code","private_dns_name","private_ip_address","product_codes{}",progress,"public_dns_name","public_ip","ramdisk_id",reason,region,"root_device_name","root_device_type","security_groups{}",size,"snapshot_id",source,sourceDestCheck,"source_security_group.name",sourcetype,"splunk_server","splunk_server_group","spot_instance_request_id","sriov_net_support",startDate,"start_time",state,"state_code",status,"storage_capacity","subnet_id","subnets{}",tag,"tag::eventtype","tags.Name","tags.Owner","tags.Project","tags.aws:autoscaling:groupName","tags.aws:cloudformation:logical-id","tags.aws:cloudformation:stack-id","tags.aws:cloudformation:stack-name","tags.aws:ec2:fleet-id","tags.aws:ec2launchtemplate:id","tags.aws:ec2launchtemplate:version","tags.elbv2.k8s.aws/cluster","tags.ingress.k8s.aws/resource","tags.ingress.k8s.aws/stack","tags.k8s.io/cluster-autoscaler/enabled","tags.k8s.io/cluster-autoscaler/splunktshirtco-prod","tags.kubernetes.io/cluster/splunktshirtco-prod","tags.kubernetes.io/cluster/team1-o11ydemo","tags.kubernetes.io/role/elb","tags.kubernetes.io/role/internal-elb","tags.sim_realm","tags.sim_token","tags{}.Key","tags{}.Value",timestamp,"tmp_epochtime",type,"user_id","user_name",vendor,"vendor_account","vendor_product","vendor_region","virtual_network_id","virtual_subnet_id","virtualization_type","vm_id","vm_name","vm_os","vm_size","volume_id","volume_size","vpc_id",zone
,,,,,,,,"2020-11-13T07:07:58.000Z",,,,,,,,,,"us-east-1",,,,"rs-dev-serverlessdeploymentbucket-3uzn0m7wsxx2",,,,,,,,,,,,,,"aws:cloudformation:stack-name
aws:cloudformation:logical-id
aws:cloudformation:stack-id
STAGE","rs-dev
ServerlessDeploymentBucket
arn:aws:cloudformation:us-east-1:247484057327:stack/rs-dev/e44e8430-257e-11eb-9e7d-0e4a688d3275
dev",,,,,,,,,,"{""Name"": ""rs-dev-serverlessdeploymentbucket-3uzn0m7wsxx2"", ""CreationDate"": ""2020-11-13T07:07:58.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-east-1"", ""TagSet"": [{""Key"": ""aws:cloudformation:stack-name"", ""Value"": ""rs-dev""}, {""Key"": ""aws:cloudformation:logical-id"", ""Value"": ""ServerlessDeploymentBucket""}, {""Key"": ""aws:cloudformation:stack-id"", ""Value"": ""arn:aws:cloudformation:us-east-1:247484057327:stack/rs-dev/e44e8430-257e-11eb-9e7d-0e4a688d3275""}, {""Key"": ""STAGE"", ""Value"": ""dev""}], ""region"": ""us-east-1""}","2021-10-01T20:37:36.318+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-east-1",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120656.3188295",,,,AWS,247484057327,,"us-east-1",,,,,,Unknown,,,,,
,,,,,,,,"2021-09-10T22:48:32.000Z",,,,,,,,,,"us-east-2",,,,notsplunktshirtcocom1,,,,,,,,,,,,,,,,,,,,,,,,,"{""Name"": ""notsplunktshirtcocom1"", ""CreationDate"": ""2021-09-10T22:48:32.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-east-2"", ""region"": ""us-east-2""}","2021-10-01T20:37:36.231+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-east-2",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120656.2312665",,,,AWS,247484057327,,"us-east-2",,,,,,Unknown,,,,,
,,,,,,,,"2021-09-17T21:44:32.000Z",,,,,,,,,,"us-east-2",,,,"notsplunktshirtco.com-accesslogging",,,,,,,,,,,,,,Project,notsplunktshirtco,,,,,,,,,,"{""Name"": ""notsplunktshirtco.com-accesslogging"", ""CreationDate"": ""2021-09-17T21:44:32.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-east-2"", ""TagSet"": [{""Key"": ""Project"", ""Value"": ""notsplunktshirtco""}], ""region"": ""us-east-2""}","2021-10-01T20:37:36.055+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-east-2",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120656.0551057",,,,AWS,247484057327,,"us-east-2",,,,,,Unknown,,,,,
,,,,,,,,"2021-09-21T20:42:38.000Z",,,,,,,,,,"us-east-2","notsplunktshirtco.com-accesslogging","",,"notsplunktshirtco.com",,,,,,,,,,,,,,Project,notsplunktshirtco,,,,,,,,,,"{""Name"": ""notsplunktshirtco.com"", ""CreationDate"": ""2021-09-21T20:42:38.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-east-2"", ""LoggingEnabled"": {""TargetBucket"": ""notsplunktshirtco.com-accesslogging"", ""TargetPrefix"": """"}, ""TagSet"": [{""Key"": ""Project"", ""Value"": ""notsplunktshirtco""}], ""region"": ""us-east-2""}","2021-10-01T20:37:35.925+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-east-2",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120655.925668",,,,AWS,247484057327,,"us-east-2",,,,,,Unknown,,,,,
,,,,,,,,"2021-09-29T00:48:15.000Z",,,,,,,,,,"us-west-2",,,,jontmp2,,,,,,,,,,,,,,,,,,,,,,,,,"{""Name"": ""jontmp2"", ""CreationDate"": ""2021-09-29T00:48:15.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-west-2"", ""region"": ""us-west-2""}","2021-10-01T20:37:35.784+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-west-2",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120655.7844765",,,,AWS,247484057327,,"us-west-2",,,,,,Unknown,,,,,
,,,,,,,,"2020-06-27T09:32:17.000Z",,,,,,,,,,"us-west-2",,,,"elbaccesslogs-strategics",,,,,,,,,,,,,,,,,,,,,,,,,"{""Name"": ""elbaccesslogs-strategics"", ""CreationDate"": ""2020-06-27T09:32:17.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-west-2"", ""region"": ""us-west-2""}","2021-10-01T20:37:35.336+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-west-2",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120655.3365216",,,,AWS,247484057327,,"us-west-2",,,,,,Unknown,,,,,
,,,,,,,,"2020-06-26T23:01:21.000Z",,,,,,,,,,"us-west-2",,,,"config-bucket-247484057327",,,,,,,,,,,,,,,,,,,,,,,,,"{""Name"": ""config-bucket-247484057327"", ""CreationDate"": ""2020-06-26T23:01:21.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-west-2"", ""region"": ""us-west-2""}","2021-10-01T20:37:34.874+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-west-2",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120654.8743951",,,,AWS,247484057327,,"us-west-2",,,,,,Unknown,,,,,
,,,,,,,,"2020-07-02T01:20:56.000Z",,,,,,,,,,"us-east-1",cloudtrailsuseast,"",,cloudtrailsuseast,,,,,,,,,,,,,,,,,,,,,,,,,"{""Name"": ""cloudtrailsuseast"", ""CreationDate"": ""2020-07-02T01:20:56.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-east-1"", ""LoggingEnabled"": {""TargetBucket"": ""cloudtrailsuseast"", ""TargetPrefix"": """"}, ""region"": ""us-east-1""}","2021-10-01T20:37:34.408+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-east-1",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120654.4084861",,,,AWS,247484057327,,"us-east-1",,,,,,Unknown,,,,,
,,,,,,,,"2020-06-26T04:44:10.000Z",,,,,,,,,,"us-west-2",,,,"cloudtrails-us-west-2",,,,,,,,,,,,,,,,,,,,,,,,,"{""Name"": ""cloudtrails-us-west-2"", ""CreationDate"": ""2020-06-26T04:44:10.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-west-2"", ""region"": ""us-west-2""}","2021-10-01T20:37:34.312+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-west-2",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120654.3121552",,,,AWS,247484057327,,"us-west-2",,,,,,Unknown,,,,,
,,,,,,,,"2020-06-30T23:26:01.000Z",,,,,,,,,,"us-east-1",,,,botnvpcflow,,,,,,,,,,,,,,,,,,,,,,,,,"{""Name"": ""botnvpcflow"", ""CreationDate"": ""2020-06-30T23:26:01.000Z"", ""account_id"": ""247484057327"", ""LocationConstraint"": ""us-east-1"", ""region"": ""us-east-1""}","2021-10-01T20:37:33.852+0000",247484057327,,,,,,,,,,,,,,,,,247484057327,,,,,,,,,,,,,,,,,,,,,,,,,"ip-172-31-22-94.ec2.internal",,,,,,,aws,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"us-east-1",,,,,,"us-east-2:s3_buckets",,,"aws:description","ip-172-31-29-27.ec2.internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,"1633120653.8525507",,,,AWS,247484057327,,"us-east-1",,,,,,Unknown,,,,,
