host,val,"tmp_epochtime"
"10.1.2.101:8888",1,1624645817
"10.1.2.102:8888",1,1624645817
"10.1.2.103:8888",1,1624645817
"10.1.2.104:8888",1,1624645817
"10.1.2.129:8888",1,1624645817
"10.1.2.130:8888",1,1624645817
"10.1.2.131:8888",1,1624645817
"10.1.2.132:8888",1,1624645817
"10.1.2.156:8888",1,1624645817
"10.1.2.157:8888",1,1624645817
"10.1.2.158:8888",1,1624645817
"10.1.2.159:8888",1,1624645817
"127.0.0.1:8088",1,1624646400
"apache-01.external.tmi.com",1,1624646539
"apache-02.external.tmi.com",1,1624646539
"apache-03.external.tmi.com",1,1624646539
"apache-04.external.tmi.com",1,1624646539
"auth-01.internal.tmi.com",1,1624646534
"auth-02.internal.tmi.com",1,1624646537
"auth-03.internal.tmi.com",1,1624646539
"auth-04.internal.tmi.com",1,1624646539
"bazookatron-01.internal.tmi.com",1,1624646532
"bazookatron-02.internal.tmi.com",1,1624646532
"cart-01.internal.tmi.com",1,1624646539
"cart-02.internal.tmi.com",1,1624646539
"cart-03.internal.tmi.com",1,1624646538
"cart-04.internal.tmi.com",1,1624646539
"catalog-01.internal.tmi.com",1,1624646539
"catalog-02.internal.tmi.com",1,1624646536
"catalog-03.internal.tmi.com",1,1624646536
"catalog-04.internal.tmi.com",1,1624646538
"corpweb-01.internal.tmi.com",1,1624646532
"dc-tmi-01.internal.tmi.com",1,1624645817
"filesrv-01.internal.tmi.com",1,1624646532
"filesrv-02.internal.tmi.com",1,1624646532
"hr-01.internal.tmi.com",1,1624646532
"hr-02.internal.tmi.com",1,1624646532
"i-0867530900",1,1624645817
"i-0867530901",1,1624645817
"i-0867530902",1,1624645817
"i-0867530903",1,1624645817
"i-0867530937",1,1624645817
"i-0867530938",1,1624645817
"i-0867530939",1,1624645817
"i-0867530940",1,1624645817
"i-0867530944",1,1624645817
"i-0867530945",1,1624645817
"i-0867530967",1,1624645817
"i-0867530968",1,1624645817
"i-0867530969",1,1624645817
"i-0867530970",1,1624645817
"ip-10-202-27-223.ec2.splunkit.io",1,1624646520
"mail-01.internal.tmi.com",1,1624646532
"mail-02.internal.tmi.com",1,1624646532
"mysql-01.internal.tmi.com",1,1624645817
"mysql-02.internal.tmi.com",1,1624645817
"mysql-03.internal.tmi.com",1,1624645817
"mysql-04.internal.tmi.com",1,1624645817
"splunk_sh-01",1,1624646539
"10.1.2.101:8888",0,1624645817
"10.1.2.102:8888",0,1624645817
"10.1.2.103:8888",0,1624645817
"10.1.2.104:8888",0,1624645817
"10.1.2.129:8888",0,1624645817
"10.1.2.130:8888",0,1624645817
"10.1.2.131:8888",0,1624645817
"10.1.2.132:8888",0,1624645817
"10.1.2.156:8888",0,1624645817
"10.1.2.157:8888",0,1624645817
"10.1.2.158:8888",0,1624645817
"10.1.2.159:8888",0,1624645817
"10.2.2.2",0,1624636393
"127.0.0.1:8088",0,1624646400
"apache-01.external.tmi.com",0,1624646530
"apache-02.external.tmi.com",0,1624646530
"apache-03.external.tmi.com",0,1624646530
"apache-04.external.tmi.com",0,1624646530
"auth-01.internal.tmi.com",0,1624646526
"auth-02.internal.tmi.com",0,1624646521
"auth-03.internal.tmi.com",0,1624646524
"auth-04.internal.tmi.com",0,1624646530
"bazookatron-01.internal.tmi.com",0,1624646472
"bazookatron-02.internal.tmi.com",0,1624646472
"cart-01.internal.tmi.com",0,1624646529
"cart-02.internal.tmi.com",0,1624646530
"cart-03.internal.tmi.com",0,1624646530
"cart-04.internal.tmi.com",0,1624646529
"catalog-01.internal.tmi.com",0,1624646525
"catalog-02.internal.tmi.com",0,1624646529
"catalog-03.internal.tmi.com",0,1624646530
"catalog-04.internal.tmi.com",0,1624646530
"corpweb-01.internal.tmi.com",0,1624646472
"dc-tmi-01.internal.tmi.com",0,1624645817
"filesrv-01.internal.tmi.com",0,1624646472
"filesrv-02.internal.tmi.com",0,1624646472
"hr-01.internal.tmi.com",0,1624646472
"hr-02.internal.tmi.com",0,1624646472
"i-0867530900",0,1624645817
"i-0867530901",0,1624645817
"i-0867530902",0,1624645817
"i-0867530903",0,1624645817
"i-0867530937",0,1624645817
"i-0867530938",0,1624645817
"i-0867530939",0,1624645817
"i-0867530940",0,1624645817
"i-0867530944",0,1624645817
"i-0867530945",0,1624645817
"i-0867530967",0,1624645817
"i-0867530968",0,1624645817
"i-0867530969",0,1624645817
"i-0867530970",0,1624645817
"ip-10-202-27-223.ec2.splunkit.io",0,1624646460
"mail-01.internal.tmi.com",0,1624646472
"mail-02.internal.tmi.com",0,1624646472
"mysql-01.internal.tmi.com",0,1624645817
"mysql-02.internal.tmi.com",0,1624645817
"mysql-03.internal.tmi.com",0,1624645817
"mysql-04.internal.tmi.com",0,1624645817
"splunk_sh-01",0,1624646529
