TYPE,icmp_code,CODE,icmp_code_description
0,Echo Reply,0,No Code
1,Unassigned,,
2,Unassigned,,
3,Destination Unreachable,0,Net Unreachable
3,Destination Unreachable,1,Host Unreachable
3,Destination Unreachable,2,Protocol Unreachable
3,Destination Unreachable,3,Port Unreachable
3,Destination Unreachable,4,Fragmentation Needed and Don't Fragment was Set
3,Destination Unreachable,5,Source Route Failed
3,Destination Unreachable,6,Destination Network Unknown
3,Destination Unreachable,7,Destination Host Unknown
3,Destination Unreachable,8,Source Host Isolated
3,Destination Unreachable,9,Communication with Destination Network is Administratively Prohibited
3,Destination Unreachable,10,Communication with Destination Host is Administratively Prohibited
3,Destination Unreachable,11,Destination Network Unreachable for Type of Service
3,Destination Unreachable,12,Destination Host Unreachable for Type of Service
3,Destination Unreachable,13,Communication Administratively Prohibited
3,Destination Unreachable,14,Host Precedence Violation
3,Destination Unreachable,15,Precedence cutoff in effect
4,Source Quench (Deprecated),0,No Code
5,Redirect,0,Redirect Datagram for the Network (or subnet)
5,Redirect,1,Redirect Datagram for the Host
5,Redirect,2,Redirect Datagram for the Type of Service and Network
5,Redirect,3,Redirect Datagram for the Type of Service and Host
6,Alternate Host Address (Deprecated),0,Alternate Address for Host
7,Unassigned,,
8,Echo,0,No Code
9,Router Advertisement,0,Normal router advertisement
9,Router Advertisement,16,Does not route common traffic
10,Router Solicitation,0,No Code
11,Time Exceeded,0,Time to Live exceeded in Transit
11,Time Exceeded,1,Fragment Reassembly Time Exceeded
12,Parameter Problem,0,Pointer indicates the error
12,Parameter Problem,1,Missing a Required Option
12,Parameter Problem,2,Bad Length
13,Timestamp,0,No Code
14,Timestamp Reply,0,No Code
15,Information Request (Deprecated),0,No Code
16,Information Reply (Deprecated),0,No Code
17,Address Mask Request (Deprecated),0,No Code
18,Address Mask Reply (Deprecated),0,No Code
19,Reserved (for Security),,
20,Reserved (for Robustness Experiment),,
21,Reserved (for Robustness Experiment),,
22,Reserved (for Robustness Experiment),,
23,Reserved (for Robustness Experiment),,
24,Reserved (for Robustness Experiment),,
25,Reserved (for Robustness Experiment),,
26,Reserved (for Robustness Experiment),,
27,Reserved (for Robustness Experiment),,
28,Reserved (for Robustness Experiment),,
29,Reserved (for Robustness Experiment),,
30,Traceroute (Deprecated),,
31,Datagram Conversion Error (Deprecated),,
32,Mobile Host Redirect (Deprecated),,
33,IPv6 Where-Are-You (Deprecated),,
34,IPv6 I-Am-Here (Deprecated),,
35,Mobile Registration Request (Deprecated),,
36,Mobile Registration Reply (Deprecated),,
37,Domain Name Request (Deprecated),,
38,Domain Name Reply (Deprecated),,
39,SKIP (Deprecated),,
40,Photuris,0,Bad SPI
40,Photuris,1,Authentication Failed
40,Photuris,2,Decompression Failed
40,Photuris,3,Decryption Failed
40,Photuris,4,Need Authentication
40,Photuris,5,Need Authorization
41,ICMP messages utilized by experimental mobility protocols such as Seamoby,,
42-252,Unassigned,,
253,RFC3692-style Experiment 1,,
254,RFC3692-style Experiment 2,,
255,Reserved,,
