rule,description,impact
1,"Finds html breaking injections including whitespace attacks",4
2,"Finds attribute breaking injections including whitespace attacks",4
3,"Finds unquoted attribute breaking injections",2
4,"Detects url-, name-, JSON, and referrer-contained payload attacks",5
5,"Detects hash-contained xss payload attacks, setter usage and property overloading",5
6,"Detects self contained xss via with(), common loops and regex to string conversion",5
7,"Detects JavaScript with(), ternary operators and XML predicate attacks",5
8,"Detects self-executing JavaScript functions",5
9,"Detects the IE octal, hex and unicode entities",2
10,"Detects basic directory traversal",5
11,"Detects specific directory and path traversal",5
12,"Detects etc/passwd inclusion attempts",5
13,"Detects halfwidth/fullwidth encoded unicode HTML breaking attempts",3
14,"Detects possible includes, VBSCript/JScript encodeed and packed functions",5
15,"Detects JavaScript DOM/miscellaneous properties and methods",6
16,"Detects possible includes and typical script methods",5
17,"Detects JavaScript object properties and methods",4
18,"Detects JavaScript array properties and methods",4
19,"Detects JavaScript string properties and methods",4
20,"Detects JavaScript language constructs",4
21,"Detects very basic XSS probings",3
22,"Detects advanced XSS probings via Script(), RexExp, constructors and XML namespaces",5
23,"Detects JavaScript location/document property access and window access obfuscation",5
24,"Detects basic obfuscated JavaScript script injections",5
25,"Detects obfuscated JavaScript script injections",5
26,"Detects JavaScript cookie stealing and redirection attempts",4
27,"Detects data: URL injections, VBS injections and common URI schemes",5
28,"Detects IE firefoxurl injections, cache poisoning attempts and local file inclusion/execution",5
29,"Detects bindings and behavior injections",4
30,"Detects common XSS concatenation patterns 1/2",4
31,"Detects common XSS concatenation patterns 2/2",4
32,"Detects possible event handlers",4
33,"Detects obfuscated script tags and XML wrapped HTML",4
34,"Detects attributes in closing tags and conditional compilation tokens",4
35,"Detects common comment types",3
37,"Detects base href injections and XML entity injections",5
38,"Detects possibly malicious html elements including some attributes",4
39,"Detects nullbytes and other dangerous characters",5
40,"Detects MySQL comments, conditions and ch(a)r injections",6
41,"Detects conditional SQL injection attempts",6
42,"Detects classic SQL injection probings 1/2",6
43,"Detects classic SQL injection probings 2/2",6
44,"Detects basic SQL authentication bypass attempts 1/3",7
45,"Detects basic SQL authentication bypass attempts 2/3",7
46,"Detects basic SQL authentication bypass attempts 3/3",7
47,"Detects concatenated basic SQL injection and SQLLFI attempts",5
48,"Detects chained SQL injection attempts 1/2",6
49,"Detects chained SQL injection attempts 2/2",6
50,"Detects SQL benchmark and sleep injection attempts including conditional queries",4
51,"Detects MySQL UDF injection and other data/structure manipulation attempts",6
52,"Detects MySQL charset switch and MSSQL DoS attempts",6
53,"Detects MySQL and PostgreSQL stored procedure/function injections",7
54,"Detects Postgres pg_sleep injection, waitfor delay attacks and database shutdown attempts",5
55,"Detects MSSQL code execution and information gathering attempts",5
56,"Detects MATCH AGAINST, MERGE, EXECUTE IMMEDIATE and HAVING injections",5
57,"Detects MySQL comment-/space-obfuscated injections and backtick termination",5
58,"Detects code injection attempts 1/3",7
59,"Detects code injection attempts 2/3",7
60,"Detects code injection attempts 3/3",7
62,"Detects common function declarations and special JS operators",5
63,"Detects common mail header injections",5
64,"Detects perl echo shellcode injection and LDAP vectors",5
65,"Detects basic XSS DoS attempts",5
67,"Detects unknown attack vectors based on PHPIDS Centrifuge detection",7
68,"Finds attribute breaking injections including obfuscated attributes",4
69,"Finds basic VBScript injection attempts",4
70,"Finds basic MongoDB SQL injection attempts",4
71,"Finds malicious attribute injection attempts and MHTML attacks",6
72,"Detects blind sqli tests using sleep() or benchmark().",4
73,"An attacker is trying to locate a file to read or write.",4
75,"Looking for a format string attack",4
76,"Looking for basic sql injection. Common attack string for mysql, oracle and others.",3
77,"Looking for integer overflow attacks, these are taken from skipfish, except 2.2250738585072007e-308 is the "magic number" crash",3
78,"Detects SQL comment filter evasion",4
