"L6_sourcetype_category","L7_sourcetype",Product,Vendor,"data_descriptor_url","data_descriptor_display","install_docs","splunk_add_on","_mkv_child"
"Endpoint data","mobileiron*","Ivanti MobileIron Sentry",Ivanti,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,6171,27
"Endpoint data","morphisec*","morphisec eptp",Morphisec,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4900,28
"Endpoint data","mwb:*","Malwarebytes ThreatDown",Malwarebytes,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4165,29
"Endpoint data","panda*","Panda Defense Adaptive Defense 360","WatchGuard Technologies","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5336,30
"Endpoint data","pixm*",pixm,Pixm,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4340,31
"Endpoint data","powershell:scriptexecution*",,,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,,32
"Endpoint data","sandfly*","Sandfly Security","Sandfly Security","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5015,33
"Endpoint data","symantec*","symantec cloud email",Symantec,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4743|6696",34
"Endpoint data","symantec:ep*","symantec cloud email
Symantec Endpoint Protection","Symantec
Symantec","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4743|6696
2772",35
"Endpoint data","syslog_app_control*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,36
"Endpoint data","syslog_audit_log*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,37
"Endpoint data","syslog_device*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,38
"Endpoint data","syslog_exploit*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,39
"Endpoint data","syslog_optics*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,40
"Endpoint data","syslog_protect*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/","3233|3709",41
"Endpoint data","syslog_script_control*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,42
"Endpoint data","syslog_threat*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,43
"Endpoint data",threat,"CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3233|3709",44
"Endpoint data","threat_indicator","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3233|3709",45
"Endpoint data",threats,"SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",46
"Endpoint data","vmray*",VMRay,VMRay,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5563,47
"Endpoint data","vmware:airwatch*","VMware AirWatch",VMware,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/VMWare/airwatch/",5986,48
"Endpoint data","vmware:cb*","VMware Carbon Black Endpoint",VMware,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,2790,49
"Endpoint data","watchguard*","WatchGuard Endpoint Security","WatchGuard Technologies","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3978|7128",50
"Endpoint data","*defender*","Microsoft Defender for Endpoint",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4128|4623|5038|5518|6207",0
"Endpoint data","*etintel*","Proofpoint - ET",Proofpoint,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,2915,1
"Endpoint data","*gemsecurity*","Gem Security","Gem Security","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,6719,2
"Endpoint data","*sentinel*","SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",3
"Endpoint data","*sophos*","Sophos XG (Sophos Firewall)",Sophos,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"1214|1854|3612|4647|5378|6186|6187|6247|6582",4
"Endpoint data","*tanium*",Tanium,Tanium,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4439,5
"Endpoint data","*wineventlog:*windows*defender*","Microsoft Defender for Endpoint
Microsoft Windows","Microsoft
Microsoft","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4128|4623|5038|5518|6207
742",6
"Endpoint data",activities,"SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",7
"Endpoint data",agents,"SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",8
"Endpoint data","apex*","Trend Micro Apex One as a Service","Trend Micro","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5431,9
"Endpoint data","bit9:carbonblack*","VMware Carbon Black Endpoint",VMware,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,2790,10
"Endpoint data","cb:*","Carbon Black Endpoint",VMware,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5295,11
"Endpoint data","cisco*secureendpoint*","Cisco Secure Endpoint (formerly AMP for Endpoints)",Cisco,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3670|3686|6481",12
"Endpoint data","cisco:amp*","Cisco Secure Endpoint (Formerly AMP for Endpoints)",Cisco,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3670|3686|6481",13
"Endpoint data","cmdreporter*","Jamf Compliance Reporter",Jamf,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4722,14
"Endpoint data","compreporter:*","Jamf Compliance Reporter",Jamf,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4722|6135",15
"Endpoint data","cybertriage*","Cyber Triage automated Digital Forensics and Incident Response (DFIR)","Cyber Triage","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,3868,16
"Endpoint data","cylanceprotect*","Enosys CylancePROTECT",Enosys,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4829,17
"Endpoint data","deepsecurity*","Deep Security","Trend Micro","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Trend/deepsecurity/","1936|5349|5350|5431|5553",18
"Endpoint data","endpoint*",Generic,Generic,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,,19
"Endpoint data",event,"CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3233|3709",20
"Endpoint data",groups,"SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",21
"Endpoint data","ivanti*","Ivanti Application Control",Ivanti,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3877|4653",22
"Endpoint data","jamf*","Jamf Pro and Jamf Protect",Jamf,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4729|6912",23
"Endpoint data","kaspersky*",kaspersky,"Kaspersky Lab","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4656|6817",24
"Endpoint data","mcafee:epo*","McAfee ePO",McAfee,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5085,25
"Endpoint data","mcafee:wg*","McAfee Web Gateway (WG)",McAfee,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,3009,26
"Endpoint data","mobileiron*","Ivanti MobileIron Sentry",Ivanti,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,6171,27
"Endpoint data","morphisec*","morphisec eptp",Morphisec,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4900,28
"Endpoint data","mwb:*","Malwarebytes ThreatDown",Malwarebytes,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4165,29
"Endpoint data","panda*","Panda Defense Adaptive Defense 360","WatchGuard Technologies","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5336,30
"Endpoint data","pixm*",pixm,Pixm,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4340,31
"Endpoint data","powershell:scriptexecution*",,,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,,32
"Endpoint data","sandfly*","Sandfly Security","Sandfly Security","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5015,33
"Endpoint data","symantec*","symantec cloud email",Symantec,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4743|6696",34
"Endpoint data","symantec:ep*","symantec cloud email
Symantec Endpoint Protection","Symantec
Symantec","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4743|6696
2772",35
"Endpoint data","syslog_app_control*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,36
"Endpoint data","syslog_audit_log*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,37
"Endpoint data","syslog_device*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,38
"Endpoint data","syslog_exploit*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,39
"Endpoint data","syslog_optics*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,40
"Endpoint data","syslog_protect*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/","3233|3709",41
"Endpoint data","syslog_script_control*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,42
"Endpoint data","syslog_threat*","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Cylance/protect/",3709,43
"Endpoint data",threat,"CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3233|3709",44
"Endpoint data","threat_indicator","CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3233|3709",45
"Endpoint data",threats,"SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",46
"Endpoint data","vmray*",VMRay,VMRay,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5563,47
"Endpoint data","vmware:airwatch*","VMware AirWatch",VMware,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/VMWare/airwatch/",5986,48
"Endpoint data","vmware:cb*","VMware Carbon Black Endpoint",VMware,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,2790,49
"Endpoint data","watchguard*","WatchGuard Endpoint Security","WatchGuard Technologies","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3978|7128",50
"Endpoint data","*defender*","Microsoft Defender for Endpoint",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4128|4623|5038|5518|6207",0
"Endpoint data","*etintel*","Proofpoint - ET",Proofpoint,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,2915,1
"Endpoint data","*gemsecurity*","Gem Security","Gem Security","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,6719,2
"Endpoint data","*sentinel*","SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",3
"Endpoint data","*sophos*","Sophos XG (Sophos Firewall)",Sophos,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"1214|1854|3612|4647|5378|6186|6187|6247|6582",4
"Endpoint data","*tanium*",Tanium,Tanium,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4439,5
"Endpoint data","*wineventlog:*windows*defender*","Microsoft Defender for Endpoint
Microsoft Windows","Microsoft
Microsoft","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4128|4623|5038|5518|6207
742",6
"Endpoint data",activities,"SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",7
"Endpoint data",agents,"SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",8
"Endpoint data","apex*","Trend Micro Apex One as a Service","Trend Micro","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5431,9
"Endpoint data","bit9:carbonblack*","VMware Carbon Black Endpoint",VMware,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,2790,10
"Endpoint data","cb:*","Carbon Black Endpoint",VMware,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5295,11
"Endpoint data","cisco*secureendpoint*","Cisco Secure Endpoint (formerly AMP for Endpoints)",Cisco,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3670|3686|6481",12
"Endpoint data","cisco:amp*","Cisco Secure Endpoint (Formerly AMP for Endpoints)",Cisco,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3670|3686|6481",13
"Endpoint data","cmdreporter*","Jamf Compliance Reporter",Jamf,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4722,14
"Endpoint data","compreporter:*","Jamf Compliance Reporter",Jamf,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4722|6135",15
"Endpoint data","cybertriage*","Cyber Triage automated Digital Forensics and Incident Response (DFIR)","Cyber Triage","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,3868,16
"Endpoint data","cylanceprotect*","Enosys CylancePROTECT",Enosys,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,4829,17
"Endpoint data","deepsecurity*","Deep Security","Trend Micro","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data","https://splunk.github.io/splunk-connect-for-syslog/main/sources/vendor/Trend/deepsecurity/","1936|5349|5350|5431|5553",18
"Endpoint data","endpoint*",Generic,Generic,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,,19
"Endpoint data",event,"CylancePROTECT Enterprise",BlackBerry,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3233|3709",20
"Endpoint data",groups,"SentinelOne Surface Protection",Microsoft,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"5435|5436",21
"Endpoint data","ivanti*","Ivanti Application Control",Ivanti,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"3877|4653",22
"Endpoint data","jamf*","Jamf Pro and Jamf Protect",Jamf,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4729|6912",23
"Endpoint data","kaspersky*",kaspersky,"Kaspersky Lab","https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,"4656|6817",24
"Endpoint data","mcafee:epo*","McAfee ePO",McAfee,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,5085,25
"Endpoint data","mcafee:wg*","McAfee Web Gateway (WG)",McAfee,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,3009,26
"Endpoint data","mobileiron*","Ivanti MobileIron Sentry",Ivanti,"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint Data",,6171,27
