factor,points,description
bulletproof_asn,60,ASN known for hosting malicious infrastructure
asn_high_threat,70,ASN with HIGH/CRITICAL threat level from API reputation
asn_medium_threat,40,ASN with MEDIUM/SUSPICIOUS threat level from API reputation
high_cohosting,30,IP hosts >500 domains (shared infrastructure)
low_cohosting,15,IP hosts <5 domains (dedicated infrastructure)
suspicious_spf,20,SPF record includes unexpected IPs or domains
threat_feed_low,40,Listed in 1 threat feed
threat_feed_medium,60,Listed in 2-3 threat feeds
threat_feed_high,80,Listed in 4+ threat feeds
threat_category_c2,70,Command and control infrastructure
threat_category_malware,60,Malware distribution
threat_category_phishing,50,Phishing infrastructure
threat_category_tor,30,Tor exit node
threat_category_scanner,25,Network scanning source
threat_category_bruteforce,40,Brute force attack source
threat_category_anonymizer,20,Anonymization service
threat_category_blacklist,20,General blacklist
threat_category_spam,25,Spam source
threat_category_proxy,20,Open proxy
threat_category_vpn,15,VPN exit node
threat_whitelist,-30,Reputation whitelist (reduces risk)
known_cdn,-20,ASN belongs to known CDN/SaaS provider
shared_ns_threat,50,Nameserver shared with known C2 infrastructure
newly_registered_domain,35,Domain registered within the last 30 days
privacy_proxied_whois,15,WHOIS data is privacy-proxied or redacted
suspicious_link_profile,25,Domain linked primarily by suspicious/threat-listed domains
no_inbound_links,10,Domain has no legitimate inbound links (isolation signal)
hostname_threat_high,50,HOSTNAME node has HIGH/CRITICAL threat level
prefix_threat,30,Network prefix has threat indicators
bgp_hijack_detected,70,BGP route hijack detected (announcing ASN differs from registered ASN)
registrar_changed,20,Domain registrar has changed (possible domain hijacking)
