epoch,_time,check_start_num,customer
1551417936,2019/03/01 00:25:36 EST,238,Aaron
1551408926,2019/02/28 21:55:26 EST,386,Acton
1551475146,2019/03/01 16:19:06 EST,152,Aimee
1551419749,2019/03/01 00:55:49 EST,333,Ali
1551467089,2019/03/01 14:04:49 EST,136,Aline
1551484232,2019/03/01 18:50:32 EST,192,Allistair
1551449294,2019/03/01 09:08:14 EST,329,Althea
1551471443,2019/03/01 15:17:23 EST,120,Alvin
1551470810,2019/03/01 15:06:50 EST,342,Amelia
1551444505,2019/03/01 07:48:25 EST,305,Amery
1551477528,2019/03/01 16:58:48 EST,137,Amy
1551410649,2019/02/28 22:24:09 EST,374,Ann
1551442317,2019/03/01 07:11:57 EST,132,Anthony
1551451523,2019/03/01 09:45:23 EST,325,Arden
1551480298,2019/03/01 17:44:58 EST,297,Baker
1551442888,2019/03/01 07:21:28 EST,230,Barclay
1551411775,2019/02/28 22:42:55 EST,226,Barrett
1551481041,2019/03/01 17:57:21 EST,401,Barry
1551450817,2019/03/01 09:33:37 EST,389,Blake
1551427437,2019/03/01 03:03:57 EST,187,Blossom
1551432836,2019/03/01 04:33:56 EST,239,Boris
1551399188,2019/02/28 19:13:08 EST,327,Bradley
1551438377,2019/03/01 06:06:17 EST,279,Brennan
1551455204,2019/03/01 10:46:44 EST,125,Bruno
1551478447,2019/03/01 17:14:07 EST,144,Cade
1551471915,2019/03/01 15:25:15 EST,328,Cain
1551414781,2019/02/28 23:33:01 EST,284,Caldwell
1551457879,2019/03/01 11:31:19 EST,100,Calista
1551470593,2019/03/01 15:03:13 EST,384,Callie
1551420779,2019/03/01 01:12:59 EST,351,Cally
1551457603,2019/03/01 11:26:43 EST,222,Calvin
1551461596,2019/03/01 12:33:16 EST,170,Cameron
1551416093,2019/02/28 23:54:53 EST,308,Cara
1551473455,2019/03/01 15:50:55 EST,199,Carlos
1551467829,2019/03/01 14:17:09 EST,108,Carson
1551469993,2019/03/01 14:53:13 EST,101,Caryn
1551468288,2019/03/01 14:24:48 EST,298,Cassidy
1551465977,2019/03/01 13:46:17 EST,263,Cathleen
1551462395,2019/03/01 12:46:35 EST,133,Cecilia
1551411759,2019/02/28 22:42:39 EST,353,Chancellor
1551445068,2019/03/01 07:57:48 EST,158,Channing
1551411651,2019/02/28 22:40:51 EST,217,Charity
1551479949,2019/03/01 17:39:09 EST,258,Chava
1551436873,2019/03/01 05:41:13 EST,179,Chiquita
1551442045,2019/03/01 07:07:25 EST,214,Christian
1551437057,2019/03/01 05:44:17 EST,153,Christine
1551402076,2019/02/28 20:01:16 EST,282,Christopher
1551482076,2019/03/01 18:14:36 EST,231,Ciaran
1551422985,2019/03/01 01:49:45 EST,149,Claire
1551401978,2019/02/28 19:59:38 EST,292,Clark
1551401235,2019/02/28 19:47:15 EST,126,Claudia
1551434855,2019/03/01 05:07:35 EST,117,Clayton
1551481215,2019/03/01 18:00:15 EST,347,Clinton
1551469802,2019/03/01 14:50:02 EST,257,Colby
1551412748,2019/02/28 22:59:08 EST,209,Constance
1551407053,2019/02/28 21:24:13 EST,256,Cruz
