epoch,_time,customer,amount,action,branch
1554100507,2019/04/01 02:35:07 EDT,Sacha,305,withdrawal,branch5
1554111162,2019/04/01 05:32:42 EDT,Belle,319,withdrawal,branch4
1554102268,2019/04/01 03:04:28 EDT,Josephine,384,withdrawal,branch1
1554102609,2019/04/01 03:10:09 EDT,Zeus,331,withdrawal,branch5
1554080320,2019/03/31 20:58:40 EDT,Seth,330,withdrawal,branch5
1554094368,2019/04/01 00:52:48 EDT,Jelani,353,withdrawal,branch5
1554092242,2019/04/01 00:17:22 EDT,Ira,322,withdrawal,branch5
1554099737,2019/04/01 02:22:17 EDT,Cecilia,217,withdrawal,branch1
1554110418,2019/04/01 05:20:18 EDT,Buffy,389,withdrawal,branch2
1554110807,2019/04/01 05:26:47 EDT,Ginger,236,withdrawal,branch1
1554102762,2019/04/01 03:12:42 EDT,Wallace,269,withdrawal,branch3
1554086511,2019/03/31 22:41:51 EDT,Jamal,267,withdrawal,branch4
1554098258,2019/04/01 01:57:38 EDT,Lysandra,256,withdrawal,branch2
1554080117,2019/03/31 20:55:17 EDT,Stacy,222,withdrawal,branch2
1554103386,2019/04/01 03:23:06 EDT,Celeste,194,withdrawal,branch3
1554097818,2019/04/01 01:50:18 EDT,Heather,152,withdrawal,branch4
1554107483,2019/04/01 04:31:23 EDT,Florence,242,withdrawal,branch3
1554107074,2019/04/01 04:24:34 EDT,Aubrey,372,withdrawal,branch4
1554099787,2019/04/01 02:23:07 EDT,Tucker,447,withdrawal,branch4
1554099797,2019/04/01 02:23:17 EDT,Tucker,547,withdrawal,branch1
1554089508,2019/03/31 23:31:48 EDT,Ezra,417,withdrawal,branch2
1554089408,2019/03/31 23:30:08 EDT,Courtney,345,withdrawal,branch5
1554111812,2019/04/01 05:43:32 EDT,Macey,479,withdrawal,branch3
1554097751,2019/04/01 01:49:11 EDT,Wesley,476,withdrawal,branch4
1554110954,2019/04/01 05:29:14 EDT,Christen,276,withdrawal,branch4
1554096879,2019/04/01 01:34:39 EDT,Emi,481,withdrawal,branch4
1554077817,2019/03/31 20:16:57 EDT,Cyrus,434,withdrawal,branch4
1554107473,2019/04/01 04:31:13 EDT,Forrest,411,withdrawal,branch3
1554082069,2019/03/31 21:27:49 EDT,Zelda,482,withdrawal,branch3
1554098047,2019/04/01 01:54:07 EDT,Stuart,325,withdrawal,branch2
1554111653,2019/04/01 05:40:53 EDT,Emi,100,withdrawal,branch4
1554116413,2019/04/01 07:00:13 EDT,Blythe,409,withdrawal,branch4
1554085319,2019/03/31 22:21:59 EDT,Hayes,494,withdrawal,branch1
1554106377,2019/04/01 04:12:57 EDT,Chester,146,withdrawal,branch2
1554104310,2019/04/01 03:38:30 EDT,Devin,146,withdrawal,branch5
1554087987,2019/03/31 23:06:27 EDT,Cedric,295,withdrawal,branch3
1554084775,2019/03/31 22:12:55 EDT,Adrian,313,withdrawal,branch4
1554100057,2019/04/01 02:27:37 EDT,Emerald,311,withdrawal,branch5
1554099738,2019/04/01 02:22:18 EDT,Marcia,307,withdrawal,branch1
1554081738,2019/03/31 21:22:18 EDT,Keefe,369,withdrawal,branch2
1554099850,2019/04/01 02:24:10 EDT,Audrey,345,withdrawal,branch1
1554093242,2019/04/01 00:34:02 EDT,Colette,263,withdrawal,branch5
1554106265,2019/04/01 04:11:05 EDT,Leo,105,withdrawal,branch5
1554109493,2019/04/01 05:04:53 EDT,Ima,112,withdrawal,branch3
1554101326,2019/04/01 02:48:46 EDT,Acton,493,withdrawal,branch1
1554100845,2019/04/01 02:40:45 EDT,Hammett,212,withdrawal,branch4
1554114932,2019/04/01 06:35:32 EDT,Isabelle,302,withdrawal,branch3
1554116205,2019/04/01 06:56:45 EDT,Iola,220,withdrawal,branch3
1554111766,2019/04/01 05:42:46 EDT,Oliver,492,withdrawal,branch2
1554092621,2019/04/01 00:23:41 EDT,Imani,433,withdrawal,branch1
1554098083,2019/04/01 01:54:43 EDT,Leah,159,withdrawal,branch4
1554104292,2019/04/01 03:38:12 EDT,Jolene,262,withdrawal,branch3
1554078956,2019/03/31 20:35:56 EDT,Wayne,258,withdrawal,branch1
1554089210,2019/03/31 23:26:50 EDT,Paki,107,withdrawal,branch4
1554106471,2019/04/01 04:14:31 EDT,Stone,123,withdrawal,branch5
1554112156,2019/04/01 05:49:16 EDT,Penelope,283,withdrawal,branch5
1554079243,2019/03/31 20:40:43 EDT,Emmanuel,260,withdrawal,branch1
1554113368,2019/04/01 06:09:28 EDT,Kuame,226,withdrawal,branch3
1554109136,2019/04/01 04:58:56 EDT,Mallory,411,withdrawal,branch1
1554111256,2019/04/01 05:34:16 EDT,Maia,363,withdrawal,branch5
1554080381,2019/03/31 20:59:41 EDT,Mira,437,withdrawal,branch1
1554111238,2019/04/01 05:33:58 EDT,Sade,155,withdrawal,branch1
1554115408,2019/04/01 06:43:28 EDT,Bertha,401,withdrawal,branch1
1554077488,2019/03/31 20:11:28 EDT,Branden,372,withdrawal,branch4
1554090688,2019/03/31 23:51:28 EDT,Ethan,318,withdrawal,branch1
1554103800,2019/04/01 03:30:00 EDT,Paki,118,withdrawal,branch3
1554089269,2019/03/31 23:27:49 EDT,Theodore,291,withdrawal,branch3
1554102778,2019/04/01 03:12:58 EDT,Lars,151,withdrawal,branch4
1554104128,2019/04/01 03:35:28 EDT,Jack,416,withdrawal,branch5
1554078734,2019/03/31 20:32:14 EDT,Imelda,184,withdrawal,branch1
1554079340,2019/03/31 20:42:20 EDT,Natalie,365,withdrawal,branch4
1554105941,2019/04/01 04:05:41 EDT,Jasper,104,withdrawal,branch2
1554105951,2019/04/01 04:05:51 EDT,Jasper,204,withdrawal,branch3
1554104257,2019/04/01 03:37:37 EDT,Kiona,279,withdrawal,branch5
1554091471,2019/04/01 00:04:31 EDT,Emery,293,withdrawal,branch2
1554106004,2019/04/01 04:06:44 EDT,Remedios,212,withdrawal,branch1
1554087761,2019/03/31 23:02:41 EDT,Lois,130,withdrawal,branch4
1554081671,2019/03/31 21:21:11 EDT,Yoshio,412,withdrawal,branch5
1554080470,2019/03/31 21:01:10 EDT,Sopoline,255,withdrawal,branch2
1554102567,2019/04/01 03:09:27 EDT,Shaeleigh,325,withdrawal,branch5
1554078822,2019/03/31 20:33:42 EDT,Holmes,274,withdrawal,branch5
1554082701,2019/03/31 21:38:21 EDT,Jason,316,withdrawal,branch3
1554104223,2019/04/01 03:37:03 EDT,Bevis,133,withdrawal,branch3
1554091616,2019/04/01 00:06:56 EDT,Alexandra,219,withdrawal,branch3
1554104823,2019/04/01 03:47:03 EDT,Penelope,170,withdrawal,branch2
1554113455,2019/04/01 06:10:55 EDT,Macey,134,withdrawal,branch5
1554077026,2019/03/31 20:03:46 EDT,Malachi,236,withdrawal,branch3
1554077824,2019/03/31 20:17:04 EDT,Kay,401,withdrawal,branch5
1554103795,2019/04/01 03:29:55 EDT,Drake,332,withdrawal,branch2
1554114168,2019/04/01 06:22:48 EDT,Tad,293,withdrawal,branch1
1554097355,2019/04/01 01:42:35 EDT,Ayanna,157,withdrawal,branch5
1554099433,2019/04/01 02:17:13 EDT,Aurora,125,withdrawal,branch2
1554084831,2019/03/31 22:13:51 EDT,Elliott,382,withdrawal,branch1
1554111652,2019/04/01 05:40:52 EDT,Olga,117,withdrawal,branch1
1554090711,2019/03/31 23:51:51 EDT,Cameron,465,withdrawal,branch1
1554087335,2019/03/31 22:55:35 EDT,Gareth,170,withdrawal,branch4
1554103815,2019/04/01 03:30:15 EDT,Keith,261,withdrawal,branch4
1554081422,2019/03/31 21:17:02 EDT,Marshall,455,withdrawal,branch5
1554093560,2019/04/01 00:39:20 EDT,Ishmael,238,withdrawal,branch3
1554077431,2019/03/31 20:10:31 EDT,Bruno,336,withdrawal,branch4
1554084056,2019/03/31 22:00:56 EDT,Roary,484,withdrawal,branch2
1554098280,2019/04/01 01:58:00 EDT,Dolan,351,withdrawal,branch4
1554102106,2019/04/01 03:01:46 EDT,Jeanette,205,withdrawal,branch4
1554113225,2019/04/01 06:07:05 EDT,Riley,432,withdrawal,branch4
1554094609,2019/04/01 00:56:49 EDT,Kelsey,477,withdrawal,branch1
1554112144,2019/04/01 05:49:04 EDT,Nerea,351,withdrawal,branch4
1554103276,2019/04/01 03:21:16 EDT,Kelly,301,withdrawal,branch4
1554106017,2019/04/01 04:06:57 EDT,Emerald,332,withdrawal,branch3
1554093912,2019/04/01 00:45:12 EDT,Shad,237,withdrawal,branch1
1554078719,2019/03/31 20:31:59 EDT,Ashely,275,withdrawal,branch1
1554103631,2019/04/01 03:27:11 EDT,Julian,150,withdrawal,branch3
1554079551,2019/03/31 20:45:51 EDT,Burke,444,withdrawal,branch1
1554111629,2019/04/01 05:40:29 EDT,Byron,424,withdrawal,branch2
1554104536,2019/04/01 03:42:16 EDT,Celeste,476,withdrawal,branch2
1554095549,2019/04/01 01:12:29 EDT,Maisie,270,withdrawal,branch5
1554088970,2019/03/31 23:22:50 EDT,Ramona,441,withdrawal,branch4
1554079269,2019/03/31 20:41:09 EDT,Clayton,199,withdrawal,branch2
1554097732,2019/04/01 01:48:52 EDT,Phelan,269,withdrawal,branch5
1554101875,2019/04/01 02:57:55 EDT,Brynn,427,withdrawal,branch5
1554112532,2019/04/01 05:55:32 EDT,Garrison,357,withdrawal,branch3
1554114127,2019/04/01 06:22:07 EDT,Raymond,262,withdrawal,branch1
1554107788,2019/04/01 04:36:28 EDT,Leonard,198,withdrawal,branch1
1554101646,2019/04/01 02:54:06 EDT,Otto,373,withdrawal,branch5
1554084347,2019/03/31 22:05:47 EDT,Vivian,101,withdrawal,branch2
1554107963,2019/04/01 04:39:23 EDT,Charity,313,withdrawal,branch4
1554090056,2019/03/31 23:40:56 EDT,Asher,379,withdrawal,branch2
