epoch,_time,customer,os,location,vendor,helpSection,responseTime
1555112177,2019/04/12 19:36:17 EDT,Julian,IOS 12.2,garden,SplunkPay,login,1
1555097264,2019/04/12 15:27:44 EDT,Lucy,IOS 11,garden,MoonPay,bill submit,5
1555102207,2019/04/12 16:50:07 EDT,Addison,IOS 12.2,oaktree,ButterCupPay,bill review,5
1555120831,2019/04/12 22:00:31 EDT,Elizabeth,IOS 12.2,rose,SplunkPay,login,1
1555078706,2019/04/12 10:18:26 EDT,James,Android 7.1,oaktree,ButterCupPay,bill pay,4
1555089815,2019/04/12 13:23:35 EDT,Alvin,Android 8.0,rose,SplunkPay,bill entry,5
1555080806,2019/04/12 10:53:26 EDT,MacKenzie,Android 7.1,oaktree,SplunkPay,login,4
1555088308,2019/04/12 12:58:28 EDT,Quentin,IOS 10.4,rose,ButterCupPay,bill submit,5
1555082942,2019/04/12 11:29:02 EDT,Brent,IOS 11,rose,SplunkPay,bill entry,4
1555106604,2019/04/12 18:03:24 EDT,Serena,IOS 11,rose,ButterCupPay,bill review,5
1555105890,2019/04/12 17:51:30 EDT,Kibo,Android 8.0,rabbit hole,SplunkPay,bill pay,3
1555118609,2019/04/12 21:23:29 EDT,Zorita,Android 7.1,barnsville,ButterCupPay,bill pay,2
1555090884,2019/04/12 13:41:24 EDT,Adele,Android 7.1,rose,ButterCupPay,login,1
1555093049,2019/04/12 14:17:29 EDT,Mari,IOS 11,garden,MoonPay,bill review,2
1555087711,2019/04/12 12:48:31 EDT,Sybil,IOS 12.2,barnsville,ButterCupPay,bill pay,3
1555094814,2019/04/12 14:46:54 EDT,Miranda,IOS 12.2,garden,MoonPay,login,3
1555111716,2019/04/12 19:28:36 EDT,Sawyer,Android 8.0,rabbit hole,ButterCupPay,bill pay,2
1555120610,2019/04/12 21:56:50 EDT,Grady,IOS 12.2,garden,MoonPay,bill review,4
1555103432,2019/04/12 17:10:32 EDT,Brennan,Android 8.0,barnsville,ButterCupPay,bill review,1
1555078753,2019/04/12 10:19:13 EDT,Stuart,IOS 10.4,rose,MoonPay,bill entry,3
1555118005,2019/04/12 21:13:25 EDT,Noble,Android 7.1,rose,ButterCupPay,login,5
1555110838,2019/04/12 19:13:58 EDT,Marsden,IOS 10.4,rabbit hole,MoonPay,bill entry,5
1555078003,2019/04/12 10:06:43 EDT,Jenette,IOS 12.2,garden,SplunkPay,bill submit,1
1555101426,2019/04/12 16:37:06 EDT,Michelle,Windows 10,barnsville,MoonPay,login,4
1555117432,2019/04/12 21:03:52 EDT,Ryder,IOS 10.4,garden,MoonPay,login,1
1555122442,2019/04/12 22:27:22 EDT,Ayanna,IOS 11,garden,MoonPay,login,5
1555095203,2019/04/12 14:53:23 EDT,Carl,Android 7.1,barnsville,SplunkPay,bill entry,3
1555103240,2019/04/12 17:07:20 EDT,Nissim,Android 8.0,barnsville,MoonPay,login,4
1555114957,2019/04/12 20:22:37 EDT,Hope,IOS 10.4,barnsville,ButterCupPay,bill entry,5
1555113458,2019/04/12 19:57:38 EDT,Alika,IOS 12.2,oaktree,SplunkPay,bill review,3
1555092449,2019/04/12 14:07:29 EDT,Zeph,IOS 11,garden,MoonPay,bill entry,5
1555122707,2019/04/12 22:31:47 EDT,Cullen,IOS 10.4,rose,ButterCupPay,bill review,3
1555097796,2019/04/12 15:36:36 EDT,Samuel,Windows 10,rabbit hole,SplunkPay,bill entry,3
1555090616,2019/04/12 13:36:56 EDT,Barclay,Windows 10,barnsville,SplunkPay,bill pay,5
1555081499,2019/04/12 11:04:59 EDT,Madison,IOS 12.2,garden,MoonPay,bill pay,1
1555104401,2019/04/12 17:26:41 EDT,Benedict,Android 8.0,rose,SplunkPay,bill pay,5
1555079586,2019/04/12 10:33:06 EDT,Kimberley,Android 7.1,oaktree,ButterCupPay,bill review,5
1555095229,2019/04/12 14:53:49 EDT,Paki,Android 7.1,oaktree,ButterCupPay,bill review,1
1555075821,2019/04/12 09:30:21 EDT,Alisa,IOS 11,rabbit hole,ButterCupPay,bill entry,5
1555076468,2019/04/12 09:41:08 EDT,Alvin,IOS 10.4,oaktree,SplunkPay,login,5
1555097562,2019/04/12 15:32:42 EDT,Price,Android 7.1,rose,MoonPay,bill entry,1
1555116443,2019/04/12 20:47:23 EDT,Henry,IOS 10.4,garden,ButterCupPay,login,4
1555082215,2019/04/12 11:16:55 EDT,Sylvia,Android 8.0,rabbit hole,MoonPay,bill review,5
1555086177,2019/04/12 12:22:57 EDT,Alisa,IOS 12.2,garden,SplunkPay,bill entry,3
1555115604,2019/04/12 20:33:24 EDT,Berk,IOS 10.4,rose,MoonPay,login,1
1555107940,2019/04/12 18:25:40 EDT,Kermit,IOS 10.4,barnsville,MoonPay,bill submit,5
1555108269,2019/04/12 18:31:09 EDT,Dane,IOS 12.2,oaktree,SplunkPay,bill entry,5
1555113666,2019/04/12 20:01:06 EDT,Audrey,IOS 11,rabbit hole,SplunkPay,bill pay,5
1555088178,2019/04/12 12:56:18 EDT,Cassady,Android 7.1,rabbit hole,MoonPay,bill pay,2
1555112451,2019/04/12 19:40:51 EDT,Maya,Android 8.0,garden,MoonPay,login,4
1555106466,2019/04/12 18:01:06 EDT,Latifah,Android 8.0,rose,MoonPay,bill pay,2
1555116765,2019/04/12 20:52:45 EDT,Gwendolyn,Android 7.1,barnsville,SplunkPay,bill submit,3
1555101921,2019/04/12 16:45:21 EDT,Cullen,IOS 12.2,barnsville,MoonPay,bill review,3
1555112311,2019/04/12 19:38:31 EDT,Geoffrey,Android 7.1,rose,SplunkPay,bill pay,2
1555105743,2019/04/12 17:49:03 EDT,Dominique,Windows 10,rabbit hole,ButterCupPay,login,2
1555086610,2019/04/12 12:30:10 EDT,Clarke,Android 7.1,oaktree,ButterCupPay,bill review,5
1555114713,2019/04/12 20:18:33 EDT,Idola,Android 8.0,oaktree,SplunkPay,bill pay,4
1555108351,2019/04/12 18:32:31 EDT,Keane,IOS 10.4,oaktree,ButterCupPay,bill submit,4
1555080903,2019/04/12 10:55:03 EDT,Ori,IOS 12.2,garden,MoonPay,bill submit,5
1555092557,2019/04/12 14:09:17 EDT,TaShya,IOS 12.2,rabbit hole,SplunkPay,bill submit,5
1555120047,2019/04/12 21:47:27 EDT,Mufutau,Android 8.0,garden,MoonPay,bill entry,3
1555078395,2019/04/12 10:13:15 EDT,Sydnee,IOS 11,barnsville,ButterCupPay,login,2
1555097346,2019/04/12 15:29:06 EDT,Remedios,Android 7.1,garden,MoonPay,bill entry,3
1555094429,2019/04/12 14:40:29 EDT,Ina,IOS 10.4,rabbit hole,SplunkPay,bill review,1
1555114940,2019/04/12 20:22:20 EDT,Samantha,IOS 10.4,garden,SplunkPay,login,5
1555121213,2019/04/12 22:06:53 EDT,Neville,IOS 10.4,rabbit hole,ButterCupPay,bill submit,4
1555080742,2019/04/12 10:52:22 EDT,Indigo,Windows 10,oaktree,MoonPay,login,3
1555108837,2019/04/12 18:40:37 EDT,Moana,Windows 10,garden,ButterCupPay,login,4
1555089096,2019/04/12 13:11:36 EDT,Yolanda,Windows 10,rabbit hole,SplunkPay,login,4
1555111879,2019/04/12 19:31:19 EDT,Tate,Android 7.1,rabbit hole,MoonPay,bill pay,4
1555100111,2019/04/12 16:15:11 EDT,Mark,IOS 12.2,rabbit hole,MoonPay,bill submit,2
1555075123,2019/04/12 09:18:43 EDT,Dillon,IOS 11,garden,SplunkPay,login,5
1555123887,2019/04/12 22:51:27 EDT,Stuart,Windows 10,rose,ButterCupPay,bill pay,3
1555095222,2019/04/12 14:53:42 EDT,Keely,IOS 10.4,barnsville,MoonPay,login,4
1555075298,2019/04/12 09:21:38 EDT,Wilma,IOS 11,rabbit hole,ButterCupPay,bill submit,5
1555100807,2019/04/12 16:26:47 EDT,Ella,Android 8.0,barnsville,ButterCupPay,bill submit,5
1555089042,2019/04/12 13:10:42 EDT,Lael,Android 7.1,rose,MoonPay,login,3
1555113273,2019/04/12 19:54:33 EDT,Alan,Windows 10,oaktree,ButterCupPay,bill submit,2
1555105652,2019/04/12 17:47:32 EDT,Germaine,Android 8.0,rose,SplunkPay,bill entry,2
1555079370,2019/04/12 10:29:30 EDT,Astra,IOS 12.2,oaktree,SplunkPay,bill entry,1
1555085702,2019/04/12 12:15:02 EDT,Tatum,Android 8.0,oaktree,SplunkPay,bill pay,4
1555115459,2019/04/12 20:30:59 EDT,Kylynn,IOS 10.4,barnsville,MoonPay,bill review,5
1555111482,2019/04/12 19:24:42 EDT,Shelly,IOS 10.4,oaktree,SplunkPay,login,1
1555104097,2019/04/12 17:21:37 EDT,Hedley,Android 8.0,oaktree,ButterCupPay,login,2
1555108528,2019/04/12 18:35:28 EDT,Andrew,IOS 12.2,oaktree,MoonPay,login,2
1555110849,2019/04/12 19:14:09 EDT,Kyle,Windows 10,garden,SplunkPay,bill review,5
1555082925,2019/04/12 11:28:45 EDT,Evangeline,IOS 11,rabbit hole,MoonPay,bill pay,5
1555093822,2019/04/12 14:30:22 EDT,Barclay,IOS 10.4,garden,ButterCupPay,bill review,2
1555087371,2019/04/12 12:42:51 EDT,Simone,Android 8.0,garden,ButterCupPay,login,4
1555110089,2019/04/12 19:01:29 EDT,Hope,IOS 10.4,garden,MoonPay,bill entry,2
1555113050,2019/04/12 19:50:50 EDT,Adrian,Android 8.0,rose,ButterCupPay,bill submit,3
1555085508,2019/04/12 12:11:48 EDT,Keefe,Android 7.1,rose,SplunkPay,bill entry,1
1555081687,2019/04/12 11:08:07 EDT,Emi,Android 8.0,garden,ButterCupPay,bill entry,2
1555086168,2019/04/12 12:22:48 EDT,Amir,IOS 11,rose,MoonPay,bill submit,4
1555100344,2019/04/12 16:19:04 EDT,Quinlan,Android 7.1,rose,MoonPay,bill review,2
1555104448,2019/04/12 17:27:28 EDT,Robin,IOS 10.4,garden,MoonPay,bill submit,3
1555092804,2019/04/12 14:13:24 EDT,Roanna,Android 7.1,garden,ButterCupPay,login,5
1555123234,2019/04/12 22:40:34 EDT,Petra,IOS 12.2,rabbit hole,ButterCupPay,bill submit,1
1555094094,2019/04/12 14:34:54 EDT,Emmanuel,IOS 10.4,barnsville,ButterCupPay,bill submit,3
1555093083,2019/04/12 14:18:03 EDT,Kyla,Android 8.0,garden,SplunkPay,bill review,2
1555117567,2019/04/12 21:06:07 EDT,Orlando,Android 8.0,garden,SplunkPay,bill review,4
1555123065,2019/04/12 22:37:45 EDT,Virginia,IOS 12.2,barnsville,MoonPay,bill submit,5
1555104704,2019/04/12 17:31:44 EDT,Rose,Windows 10,rose,SplunkPay,bill pay,2
1555082914,2019/04/12 11:28:34 EDT,Perry,Android 8.0,rabbit hole,MoonPay,bill review,5
1555076965,2019/04/12 09:49:25 EDT,Tanisha,IOS 12.2,garden,SplunkPay,bill review,2
1555112943,2019/04/12 19:49:03 EDT,Craig,Android 7.1,garden,ButterCupPay,bill pay,3
1555085092,2019/04/12 12:04:52 EDT,Adam,Android 8.0,garden,ButterCupPay,bill pay,2
1555101597,2019/04/12 16:39:57 EDT,Slade,IOS 12.2,rose,MoonPay,bill review,2
1555120207,2019/04/12 21:50:07 EDT,Martina,Android 7.1,oaktree,ButterCupPay,bill review,4
1555104362,2019/04/12 17:26:02 EDT,Maggy,Windows 10,rose,ButterCupPay,login,2
1555120237,2019/04/12 21:50:37 EDT,Zoe,IOS 11,rose,SplunkPay,login,5
1555084018,2019/04/12 11:46:58 EDT,Farrah,Windows 10,rose,ButterCupPay,login,3
1555100379,2019/04/12 16:19:39 EDT,Byron,Windows 10,rose,MoonPay,bill entry,2
1555106921,2019/04/12 18:08:41 EDT,Amal,Android 7.1,garden,MoonPay,bill submit,4
1555094195,2019/04/12 14:36:35 EDT,Philip,IOS 12.2,barnsville,SplunkPay,bill review,2
1555101419,2019/04/12 16:36:59 EDT,Maia,Windows 10,rose,ButterCupPay,bill pay,5
1555088324,2019/04/12 12:58:44 EDT,Lillith,IOS 11,garden,MoonPay,bill submit,3
1555088668,2019/04/12 13:04:28 EDT,Dalton,IOS 11,garden,SplunkPay,login,4
1555104130,2019/04/12 17:22:10 EDT,Christian,Android 7.1,oaktree,ButterCupPay,bill pay,4
1555114761,2019/04/12 20:19:21 EDT,Lucius,Android 8.0,rose,SplunkPay,bill submit,1
1555075432,2019/04/12 09:23:52 EDT,Indira,Android 8.0,rose,MoonPay,bill submit,3
1555102670,2019/04/12 16:57:50 EDT,Bell,Windows 10,garden,ButterCupPay,bill pay,5
1555098032,2019/04/12 15:40:32 EDT,Elijah,IOS 12.2,oaktree,MoonPay,bill submit,4
1555120937,2019/04/12 22:02:17 EDT,Marsden,Android 7.1,oaktree,ButterCupPay,bill review,4
1555088724,2019/04/12 13:05:24 EDT,Jarrod,IOS 10.4,rabbit hole,MoonPay,bill entry,3
1555076337,2019/04/12 09:38:57 EDT,Tallulah,Windows 10,rabbit hole,SplunkPay,bill entry,2
1555122224,2019/04/12 22:23:44 EDT,May,IOS 12.2,barnsville,SplunkPay,bill submit,1
1555112696,2019/04/12 19:44:56 EDT,Chase,Windows 10,garden,SplunkPay,bill review,2
1555115409,2019/04/12 20:30:09 EDT,Beck,IOS 12.2,rabbit hole,MoonPay,bill pay,3
1555078118,2019/04/12 10:08:38 EDT,Irma,IOS 11,barnsville,ButterCupPay,bill pay,4
1555083466,2019/04/12 11:37:46 EDT,Jocelyn,Android 8.0,garden,MoonPay,login,4
1555109690,2019/04/12 18:54:50 EDT,Garrett,Windows 10,rose,SplunkPay,login,3
1555108477,2019/04/12 18:34:37 EDT,Asher,IOS 10.4,rose,MoonPay,login,4
1555084347,2019/04/12 11:52:27 EDT,Macon,Android 8.0,oaktree,MoonPay,login,4
1555119992,2019/04/12 21:46:32 EDT,Suki,Android 7.1,barnsville,ButterCupPay,bill pay,2
1555086214,2019/04/12 12:23:34 EDT,Trevor,IOS 12.2,rose,MoonPay,bill review,5
1555105236,2019/04/12 17:40:36 EDT,Minerva,IOS 12.2,oaktree,ButterCupPay,bill pay,1
1555114389,2019/04/12 20:13:09 EDT,Basil,Android 8.0,rabbit hole,SplunkPay,bill entry,5
1555096361,2019/04/12 15:12:41 EDT,Nerea,Android 7.1,oaktree,SplunkPay,login,5
1555104052,2019/04/12 17:20:52 EDT,Colt,Android 8.0,garden,MoonPay,bill submit,1
1555114166,2019/04/12 20:09:26 EDT,Dolan,Android 8.0,oaktree,ButterCupPay,login,2
1555075057,2019/04/12 09:17:37 EDT,Steel,IOS 11,oaktree,ButterCupPay,bill entry,4
1555096990,2019/04/12 15:23:10 EDT,Amos,Android 8.0,rabbit hole,MoonPay,bill review,4
1555122309,2019/04/12 22:25:09 EDT,Mallory,IOS 11,rose,SplunkPay,bill entry,4
1555114792,2019/04/12 20:19:52 EDT,Justine,Windows 10,rose,SplunkPay,bill pay,5
1555086430,2019/04/12 12:27:10 EDT,Portia,IOS 10.4,garden,SplunkPay,login,4
1555087887,2019/04/12 12:51:27 EDT,Byron,IOS 11,oaktree,ButterCupPay,bill pay,1
1555107772,2019/04/12 18:22:52 EDT,Leroy,IOS 11,barnsville,MoonPay,bill submit,5
1555115136,2019/04/12 20:25:36 EDT,Magee,IOS 12.2,rabbit hole,ButterCupPay,login,4
